prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a cooking pot in China,China,"Are there any visible markings, patterns, or logos on the cooking pot?","{'yes': 0.044, 'no': 0.956}",0.2603406250124503,0.2603406250124503,1.197761466632466,2,0.1977614666324658
A photo of a cooking pot in China,China,Does the pot have a lid on it?,"{'yes': 0.164, 'no': 0.836}",0.6437935214851034,0.6437935214851034,1.562432129054953,2,0.562432129054953
A photo of a cooking pot in China,China,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.8669354838709677, 'no handles': 0.0967741935483871, 'single handle': 0.036290322580645164}",0.6782693438867844,0.427940309993563,1.6002189815913386,3,0.3001094907956693
A photo of a cooking pot in China,China,Is any food or liquid visible inside the pot?,"{'yes': 0.8835341365461847, 'no': 0.11646586345381527}",0.519116045184046,0.519116045184046,1.433076917274094,2,0.433076917274094
A photo of a cooking pot in China,China,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'yes': 0.86, 'no': 0.14}",0.584238811642856,0.584238811642856,1.499247754121369,2,0.4992477541213687
A photo of a cooking pot in China,China,Is the pot taller than it is wide?,"{'yes': 0.024096385542168676, 'no': 0.9759036144578314}",0.1638605128691584,0.1638605128691584,1.1202808944746514,2,0.1202808944746514
A photo of a cooking pot in China,China,What is the primary color of the cooking pot?,"{'copper': 0.039525691699604744, 'brown': 0.02766798418972332, 'orange': 0.0, 'blue': 0.0, 'black': 0.6324110671936759, 'red': 0.019762845849802372, 'silver': 0.2766798418972332, 'green': 0.0, 'white': 0.003952569169960474}",1.401812893880716,0.4422227318447259,2.6423340992906184,9,0.2052917624113273
A photo of a cooking pot in China,China,What material does the pot appear to be made of?,"{'copper': 0.012195121951219513, 'enamel': 0.016260162601626018, 'ceramic': 0.008130081300813009, 'cast iron': 0.7560975609756098, 'stainless steel': 0.2073170731707317}",1.0062050792871928,0.4333489402633738,2.008620591862821,5,0.2521551479657052
A photo of a cooking pot in Colombia,Colombia,"Are there any visible markings, patterns, or logos on the cooking pot?","{'yes': 0.02, 'no': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a cooking pot in Colombia,Colombia,Does the pot have a lid on it?,"{'yes': 0.172, 'no': 0.828}",0.6622595460438849,0.6622595460438849,1.5825592848885126,2,0.5825592848885126
A photo of a cooking pot in Colombia,Colombia,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.908, 'no handles': 0.036, 'single handle': 0.056}",0.5319490825147871,0.3356225035436175,1.4458812637076623,3,0.2229406318538311
A photo of a cooking pot in Colombia,Colombia,Is any food or liquid visible inside the pot?,"{'yes': 0.8577235772357723, 'no': 0.14227642276422764}",0.5901696500128583,0.5901696500128583,1.5054237634386451,2,0.5054237634386451
A photo of a cooking pot in Colombia,Colombia,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'yes': 0.656, 'no': 0.344}",0.9285950940151024,0.9285950940151024,1.903421528798229,2,0.903421528798229
A photo of a cooking pot in Colombia,Colombia,Is the pot taller than it is wide?,"{'yes': 0.05220883534136546, 'no': 0.9477911646586346}",0.2957068477900538,0.2957068477900538,1.2274862362809666,2,0.2274862362809666
A photo of a cooking pot in Colombia,Colombia,What is the primary color of the cooking pot?,"{'copper': 0.019762845849802372, 'brown': 0.019762845849802372, 'orange': 0.019762845849802372, 'blue': 0.0, 'black': 0.7193675889328063, 'red': 0.007905138339920948, 'silver': 0.2015810276679842, 'green': 0.007905138339920948, 'white': 0.003952569169960474}",1.2852021186468026,0.4054361280036711,2.437161944875325,9,0.1796452431094156
A photo of a cooking pot in Colombia,Colombia,What material does the pot appear to be made of?,"{'copper': 0.0040650406504065045, 'enamel': 0.024390243902439025, 'ceramic': 0.0, 'cast iron': 0.8495934959349594, 'stainless steel': 0.12195121951219512}",0.7329431578697805,0.3156614364948006,1.662026238126128,5,0.1655065595315319
A photo of a cooking pot in Egypt,Egypt,"Are there any visible markings, patterns, or logos on the cooking pot?","{'yes': 0.084, 'no': 0.916}",0.4161189512518705,0.4161189512518705,1.334333181880462,2,0.334333181880462
A photo of a cooking pot in Egypt,Egypt,Does the pot have a lid on it?,"{'yes': 0.408, 'no': 0.592}",0.9754383526853788,0.9754383526853788,1.966238534010851,2,0.966238534010851
A photo of a cooking pot in Egypt,Egypt,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.936, 'no handles': 0.028, 'single handle': 0.036}",0.4063996692624841,0.256409643179301,1.3253741340876797,3,0.1626870670438397
A photo of a cooking pot in Egypt,Egypt,Is any food or liquid visible inside the pot?,"{'yes': 0.4089068825910931, 'no': 0.5910931174089069}",0.9759229184089132,0.9759229184089132,1.9668990560165904,2,0.9668990560165902
A photo of a cooking pot in Egypt,Egypt,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'yes': 0.24, 'no': 0.76}",0.7950402793845223,0.7950402793845223,1.7351258175456956,2,0.7351258175456956
A photo of a cooking pot in Egypt,Egypt,Is the pot taller than it is wide?,"{'yes': 0.012048192771084338, 'no': 0.9879518072289156}",0.0940844388326734,0.0940844388326734,1.067387808860562,2,0.0673878088605619
A photo of a cooking pot in Egypt,Egypt,What is the primary color of the cooking pot?,"{'copper': 0.13740458015267176, 'brown': 0.4618320610687023, 'orange': 0.04580152671755725, 'blue': 0.0, 'black': 0.2748091603053435, 'red': 0.019083969465648856, 'silver': 0.061068702290076333, 'green': 0.0, 'white': 0.0}",1.9793636795943728,0.6244197192973855,3.94319123587143,9,0.3678989044839287
A photo of a cooking pot in Egypt,Egypt,What material does the pot appear to be made of?,"{'copper': 0.03162055335968379, 'enamel': 0.007905138339920948, 'ceramic': 0.15019762845849802, 'cast iron': 0.7628458498023716, 'stainless steel': 0.04743083003952569}",1.1300884216814655,0.4867025917683668,2.188721543488977,5,0.2971803858722442
A photo of a cooking pot in India,India,"Are there any visible markings, patterns, or logos on the cooking pot?","{'yes': 0.04, 'no': 0.96}",0.2422921890824148,0.2422921890824148,1.182870542802813,2,0.182870542802813
A photo of a cooking pot in India,India,Does the pot have a lid on it?,"{'yes': 0.116, 'no': 0.884}",0.5177526267252631,0.5177526267252631,1.431723228172233,2,0.4317232281722329
A photo of a cooking pot in India,India,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.8634538152610441, 'no handles': 0.05220883534136546, 'single handle': 0.08433734939759036}",0.7061631976266267,0.4455393722598,1.631459526900752,3,0.3157297634503759
A photo of a cooking pot in India,India,Is any food or liquid visible inside the pot?,"{'yes': 0.94, 'no': 0.06}",0.3274449191544762,0.3274449191544762,1.2547891148657844,2,0.2547891148657843
A photo of a cooking pot in India,India,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'yes': 0.82, 'no': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a cooking pot in India,India,Is the pot taller than it is wide?,"{'yes': 0.032, 'no': 0.968}",0.2043246709802796,0.2043246709802796,1.1521468978151337,2,0.1521468978151334
A photo of a cooking pot in India,India,What is the primary color of the cooking pot?,"{'copper': 0.07905138339920949, 'brown': 0.023715415019762844, 'orange': 0.011857707509881422, 'blue': 0.0, 'black': 0.35177865612648224, 'red': 0.011857707509881422, 'silver': 0.5217391304347826, 'green': 0.0, 'white': 0.0}",1.5890868117783954,0.501301075279498,3.0085885341497725,9,0.2510735667687215
A photo of a cooking pot in India,India,What material does the pot appear to be made of?,"{'copper': 0.05555555555555555, 'enamel': 0.017094017094017096, 'ceramic': 0.004273504273504274, 'cast iron': 0.5128205128205128, 'stainless steel': 0.41025641025641024}",1.387078446600125,0.5973821711595305,2.615484910302893,5,0.4038712275757232
A photo of a cooking pot in Indonesia,Indonesia,"Are there any visible markings, patterns, or logos on the cooking pot?","{'yes': 0.012, 'no': 0.988}",0.0937779098477716,0.0937779098477716,1.0671610453823115,2,0.0671610453823117
A photo of a cooking pot in Indonesia,Indonesia,Does the pot have a lid on it?,"{'yes': 0.096, 'no': 0.904}",0.4561861025695263,0.4561861025695263,1.3719102487578487,2,0.3719102487578487
A photo of a cooking pot in Indonesia,Indonesia,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.904, 'no handles': 0.06, 'single handle': 0.036}",0.5478117668503228,0.3456307430624189,1.4618667014175604,3,0.2309333507087801
A photo of a cooking pot in Indonesia,Indonesia,Is any food or liquid visible inside the pot?,"{'yes': 0.928, 'no': 0.072}",0.3733433210798535,0.3733433210798535,1.295351219549342,2,0.2953512195493419
A photo of a cooking pot in Indonesia,Indonesia,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'yes': 0.78, 'no': 0.22}",0.7601675029619657,0.7601675029619657,1.6936872575238315,2,0.6936872575238315
A photo of a cooking pot in Indonesia,Indonesia,Is the pot taller than it is wide?,"{'yes': 0.012048192771084338, 'no': 0.9879518072289156}",0.0940844388326734,0.0940844388326734,1.067387808860562,2,0.0673878088605619
A photo of a cooking pot in Indonesia,Indonesia,What is the primary color of the cooking pot?,"{'copper': 0.03162055335968379, 'brown': 0.03162055335968379, 'orange': 0.003952569169960474, 'blue': 0.0, 'black': 0.6205533596837944, 'red': 0.007905138339920948, 'silver': 0.30039525691699603, 'green': 0.003952569169960474, 'white': 0.0}",1.3818159122528162,0.435914386499394,2.605961757043642,9,0.2007452196304552
