prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a dog in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.2391304347826087, 'crowded': 0.04782608695652174, 'moderately busy': 0.7130434782608696}",1.0512854387433654,0.6632872627996131,2.072375508252511,3,0.5361877541262554
A photo of a dog in China,China,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.6138613861386139, 'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'moderate (some houses/buildings, not crowded)': 0.38613861386138615}",0.962262395824924,0.6071199762688995,1.9483628710094671,3,0.4741814355047336
A photo of a dog in China,China,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.2708333333333333, 'trees / forest / plants': 0.7291666666666666, 'waterbody': 0.0, 'open ground / fields': 0.0}",0.8426578772022391,0.4213289386011195,1.7933509910353715,4,0.2644503303451238
A photo of a dog in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7935222672064778, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.20647773279352227}",0.7346958879120984,0.4635414955103434,1.664046660672263,3,0.3320233303361315
A photo of a dog in China,China,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.12048192771084337, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.012048192771084338, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.05220883534136546, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.8152610441767069}",0.9072689485546512,0.4536344742773255,1.8754917912553648,4,0.2918305970851216
A photo of a dog in China,China,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.14, 'paved road': 0.852, 'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.008}",0.6497120658573776,0.3248560329286888,1.568855051294986,4,0.1896183504316619
A photo of a dog in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.7916666666666666, 'crowded': 0.0, 'moderately busy': 0.20833333333333334}",0.7382848661434506,0.4658058886614237,1.6681914464799614,3,0.3340957232399807
A photo of a dog in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.10443037974683544, 'trees / forest / plants': 0.5822784810126582, 'waterbody': 0.00949367088607595, 'open ground / fields': 0.3037974683544304}",1.38064247784573,0.690321238922865,2.603843026585362,4,0.5346143421951206
A photo of a dog in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.13617021276595745, 'natural (trees, sky, soil, water, mountains)': 0.25957446808510637, 'mixed (both natural and built elements visible)': 0.6042553191489362}",1.3359251654543574,0.8428749354300262,2.524373118175636,3,0.7621865590878178
A photo of a dog in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.44206008583690987, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.12017167381974249, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.43776824034334766}",1.4096673592526625,0.7048336796263313,2.656758991314545,4,0.5522529971048485
