prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a car in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.9541666666666667, 'moderately busy': 0.041666666666666664, 'crowded': 0.004166666666666667}",0.2885699771790443,0.1820673845896955,1.2214289771658924,3,0.1107144885829461
A photo of a car in China,China,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.04093567251461988, 'mountains / hills': 0.005847953216374269, 'trees / forest / plants': 0.9532163742690059, 'open ground / fields': 0.0}",0.2980035464995302,0.1490017732497651,1.229441889521658,4,0.0764806298405526
A photo of a car in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.408, 'mixed (both natural and built elements visible)': 0.592, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.9754383526853788,0.6154330794839344,1.966238534010851,3,0.4831192670054255
A photo of a car in China,China,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.7279693486590039, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.2413793103448276, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.03065134099616858}",0.9825374112695978,0.6199120867670651,1.975937632675106,3,0.487968816337553
A photo of a car in China,China,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.4875, 'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.0, 'paved road': 0.5125}",0.9995491108252484,0.4997745554126241,1.999375032545978,4,0.3331250108486593
A photo of a car in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.9656652360515021, 'moderately busy': 0.02145922746781116, 'crowded': 0.012875536480686695}",0.2484552605322476,0.1567578163011432,1.1879344745697296,3,0.0939672372848647
A photo of a car in Colombia,Colombia,How dense is the built environment in the background?,"{'sparse / open (fields, wide spaces, few or no buildings)': 0.22340425531914893, 'moderate (some houses/buildings, not crowded)': 0.22340425531914893, 'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.5531914893617021}",1.4386293080601402,0.9076740348150608,2.710632083266227,3,0.8553160416331136
A photo of a car in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.0, 'mountains / hills': 0.3677811550151976, 'trees / forest / plants': 0.6261398176291794, 'open ground / fields': 0.0060790273556231}",0.998413195285488,0.499206597642744,1.9978014308849457,4,0.3326004769616486
A photo of a car in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.18, 'mixed (both natural and built elements visible)': 0.728, 'natural (trees, sky, soil, water, mountains)': 0.092}",1.0954085293008495,0.6911258334518576,2.1367357919037744,3,0.5683678959518872
A photo of a car in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.6430678466076696, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0058997050147492625, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.35103244837758113}",0.9834674317646176,0.6204988643688043,1.9772118139031811,3,0.4886059069515907
