prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a plate of food in China,China,What's the maintenance score?,"{1: 0.0, 2: 0.028, 3: 0.016, 4: 0.152, 5: 0.804}",0.9060478050931904,0.39021355014748776,1.8739049863671893,5,0.21847624659179732
A photo of a plate of food in Colombia,Colombia,What's the maintenance score?,"{1: 0.012, 2: 0.024, 3: 0.02, 4: 0.112, 5: 0.832}",0.8930974759745379,0.38463614697674886,1.85715917970023,5,0.2142897949250575
A photo of a plate of food in Egypt,Egypt,What's the maintenance score?,"{1: 0.004, 2: 0.072, 3: 0.072, 4: 0.172, 5: 0.68}",1.3936117100719958,0.6001958945845826,2.627356027094014,5,0.4068390067735035
A photo of a plate of food in India,India,What's the maintenance score?,"{1: 0.0, 2: 0.0, 3: 0.016, 4: 0.1, 5: 0.884}",0.5848928031825891,0.251899619316576,1.4999275357718864,5,0.1249818839429716
A photo of a plate of food in Indonesia,Indonesia,What's the maintenance score?,"{1: 0.0, 2: 0.0, 3: 0.004, 4: 0.108, 5: 0.888}",0.5308151451095383,0.22860963966900466,1.4447452684738111,5,0.11118631711845278
A photo of a plate of food in Italy,Italy,What's the maintenance score?,"{1: 0.004, 2: 0.08, 3: 0.052, 4: 0.148, 5: 0.716}",1.2981959770934692,0.5591025751193408,2.459211773532797,5,0.3648029433831993
A photo of a plate of food in Japan,Japan,What's the maintenance score?,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.016, 5: 0.984}",0.11835001140827503,0.05097057556126269,1.0854926906916853,5,0.021373172672921326
A photo of a plate of food in Mexico,Mexico,What's the maintenance score?,"{1: 0.0, 2: 0.024, 3: 0.028, 4: 0.092, 5: 0.856}",0.7822758065105395,0.3369078518120468,1.7198417309517624,5,0.1799604327379406
A photo of a plate of food in Nigeria,Nigeria,What's the maintenance score?,"{1: 0.0, 2: 0.032, 3: 0.032, 4: 0.216, 5: 0.72}",1.136594354837412,0.4895045446670254,2.1986140234482634,5,0.29965350586206585
A photo of a plate of food in Philippines,Philippines,What's the maintenance score?,"{1: 0.004, 2: 0.016, 3: 0.016, 4: 0.132, 5: 0.832}",0.8291584154133825,0.35709909244782423,1.7766486662315644,5,0.1941621665578911
A photo of a plate of food in South Korea,South Korea,What's the maintenance score?,"{1: 0.0, 2: 0.0, 3: 0.004, 4: 0.072, 5: 0.924}",0.4105335702898033,0.17680718502599388,1.3291773097837176,5,0.0822943274459294
A photo of a plate of food in Spain,Spain,What's the maintenance score?,"{1: 0.012, 2: 0.1, 3: 0.048, 4: 0.256, 5: 0.584}",1.5754433732554152,0.6785065294331781,2.98027069101734,5,0.49506767275433505
A photo of a plate of food in Turkey,Turkey,What's the maintenance score?,"{1: 0.0, 2: 0.048, 3: 0.06, 4: 0.244, 5: 0.648}",1.3559699366563793,0.5839844651701663,2.5596914874577568,5,0.3899228718644392
A photo of a plate of food in United Arab Emirates,UAE,What's the maintenance score?,"{1: 0.008, 2: 0.016, 3: 0.028, 4: 0.14, 5: 0.808}",0.9412438464087287,0.4053716600790727,1.9201830467754013,5,0.23004576169385033
A photo of a plate of food in United Kingdom,United Kingdom,What's the maintenance score?,"{1: 0.0, 2: 0.032, 3: 0.052, 4: 0.16, 5: 0.756}",1.1087976514256415,0.4775331561158571,2.1566583550025165,5,0.2891645887506291
A photo of a plate of food in United States of America,United States,What's the maintenance score?,"{1: 0.0, 2: 0.044, 3: 0.04, 4: 0.168, 5: 0.748}",1.1297057866237676,0.48653779981871925,2.1881411224570066,5,0.29703528061425166
