prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a bag in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.7455357142857143, 'crowded': 0.16517857142857142, 'quiet / empty': 0.08928571428571429}",1.0561631663915991,0.6663647663027019,2.0793940330327474,3,0.5396970165163737
A photo of a bag in China,China,How dense is the built environment in the background?,"{'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9274193548387096, 'moderate (some houses/buildings, not crowded)': 0.07258064516129033}",0.3754811420676497,0.2369022244354716,1.2972721257109567,3,0.1486360628554783
A photo of a bag in China,China,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.06302521008403361, 'waterbody': 0.0, 'none of the above': 0.5966386554621849, 'trees / forest / plants': 0.3403361344537815, 'open ground / fields': 0.0}",1.22508961146993,0.5276173771993399,2.3376996963463617,5,0.3344249240865904
A photo of a bag in China,China,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.8264462809917356, 'mixed (both natural and built elements visible)': 0.17355371900826447}",0.6657699740033016,0.4200540856331787,1.5864147252844387,3,0.2932073626422193
A photo of a bag in China,China,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.12062256809338522, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.10894941634241245, 'none of the above': 0.0933852140077821, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.6770428015564203}",1.4169191338841791,0.7084595669420897,2.670146935000241,4,0.5567156450000804
A photo of a bag in China,China,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.0, 'paved road': 0.7831325301204819, 'natural ground / grass (wild, non-constructed)': 0.0, 'tiled / courtyard-style surface': 0.21686746987951808}",0.7544062039636578,0.3772031019818289,1.6869371261932988,4,0.2289790420644329
A photo of a bag in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.3710691823899371, 'crowded': 0.018867924528301886, 'quiet / empty': 0.610062893081761}",1.073748533229868,0.6774598974684345,2.104895386845173,3,0.5524476934225866
A photo of a bag in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.017241379310344827, 'waterbody': 0.0, 'none of the above': 0.6120689655172413, 'trees / forest / plants': 0.3275862068965517, 'open ground / fields': 0.04310344827586207}",1.2574384824540763,0.5415492776123524,2.390708914341502,5,0.3476772285853755
A photo of a bag in Colombia,Colombia,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.7868852459016393, 'mixed (both natural and built elements visible)': 0.21311475409836064}",0.7473944462440387,0.4715533937894273,1.678758199580462,3,0.3393790997902309
A photo of a bag in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.109375, 'none of the above': 0.11979166666666667, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.7708333333333334}",1.0053807872797509,0.5026903936398754,2.0074732828688218,4,0.3358244276229405
A photo of a bag in Colombia,Colombia,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.06837606837606838, 'paved road': 0.8247863247863247, 'natural ground / grass (wild, non-constructed)': 0.03418803418803419, 'tiled / courtyard-style surface': 0.07264957264957266}",0.9351891790107753,0.4675945895053875,1.9121413557374536,4,0.3040471185791512
A photo of a bag in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.016736401673640166, 'crowded': 0.0, 'quiet / empty': 0.9832635983263598}",0.1227016094754141,0.0774160962291442,1.0887718029525528,3,0.0443859014762764
A photo of a bag in Egypt,Egypt,How dense is the built environment in the background?,"{'sparse / open (fields, wide spaces, few or no buildings)': 0.8230088495575221, 'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.10619469026548672, 'moderate (some houses/buildings, not crowded)': 0.07079646017699115}",0.8453000293027915,0.533324939181956,1.7966383438515032,3,0.3983191719257516
A photo of a bag in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.25165562913907286, 'waterbody': 0.0, 'none of the above': 0.033112582781456956, 'trees / forest / plants': 0.0033112582781456954, 'open ground / fields': 0.7119205298013245}",1.0399834325955424,0.4478964852036008,2.056204040449663,5,0.2640510101124157
A photo of a bag in Egypt,Egypt,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.18699186991869918, 'built structures (walls, windows, houses, buildings, fences)': 0.21544715447154472, 'mixed (both natural and built elements visible)': 0.5975609756097561}",1.3733459331383548,0.8664848111633455,2.5907071296758777,3,0.7953535648379388
A photo of a bag in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.004132231404958678, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.0, 'none of the above': 0.9917355371900827, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.004132231404958678}",0.0773188449355678,0.0386594224677839,1.05505546538555,4,0.0183518217951833
A photo of a bag in Egypt,Egypt,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.00816326530612245, 'paved road': 0.0, 'natural ground / grass (wild, non-constructed)': 0.9836734693877551, 'tiled / courtyard-style surface': 0.00816326530612245}",0.1366121021396286,0.0683060510698143,1.0993205349242623,4,0.0331068449747541
