prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a stove in China,China,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.017094017094017096, 'open ground / fields': 0.03418803418803419, 'waterbody': 0.0, 'trees / forest / plants': 0.02564102564102564, 'none of the above': 0.9230769230769231}",0.5089737987644466,0.2192030838014116,1.423037616768981,5,0.1057594041922452
A photo of a stove in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9418604651162791, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.05813953488372093}",0.3200148627475465,0.2019068984925133,1.2483434093584984,3,0.1241717046792492
A photo of a stove in China,China,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.11510791366906475, 'paved road': 0.17985611510791366, 'tiled / courtyard-style surface': 0.5899280575539568, 'natural ground / grass (wild, non-constructed)': 0.11510791366906475}",1.6123535250756589,0.8061767625378293,3.0575021750845397,4,0.6858340583615131
A photo of a stove in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.14189189189189189, 'open ground / fields': 0.06756756756756757, 'waterbody': 0.0, 'trees / forest / plants': 0.3581081081081081, 'none of the above': 0.43243243243243246}",1.7159551837432931,0.7390216723427583,3.285140750950258,5,0.5712851877375645
A photo of a stove in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7, 'natural (trees, sky, soil, water, mountains)': 0.04, 'mixed (both natural and built elements visible)': 0.26}",1.0512437511965642,0.6632609608859829,2.072315626572478,3,0.536157813286239
A photo of a stove in Colombia,Colombia,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.20218579234972678, 'paved road': 0.01639344262295082, 'tiled / courtyard-style surface': 0.366120218579235, 'natural ground / grass (wild, non-constructed)': 0.41530054644808745}",1.620753779197606,0.810376889598803,3.0753567550540994,4,0.6917855850180331
A photo of a stove in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.0970873786407767, 'open ground / fields': 0.6310679611650486, 'waterbody': 0.0, 'trees / forest / plants': 0.009708737864077669, 'none of the above': 0.2621359223300971}",1.3170330383081037,0.5672152558074772,2.491531887587671,5,0.3728829718969177
A photo of a stove in Egypt,Egypt,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.6175115207373272, 'natural (trees, sky, soil, water, mountains)': 0.018433179723502304, 'mixed (both natural and built elements visible)': 0.3640552995391705}",1.0663686028254349,0.6728036797969911,2.094155543987734,3,0.5470777719938673
A photo of a stove in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.07913669064748201, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.007194244604316547, 'none of the above': 0.9136690647482014, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0}",0.4598281013200878,0.2299140506600439,1.3753779306030878,4,0.1251259768676959
A photo of a stove in Egypt,Egypt,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.10576923076923077, 'paved road': 0.0, 'tiled / courtyard-style surface': 0.03365384615384615, 'natural ground / grass (wild, non-constructed)': 0.8605769230769231}",0.6938916210510648,0.3469458105255324,1.6176411708082843,4,0.2058803902694281
A photo of a stove in India,India,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.0, 'open ground / fields': 0.17333333333333334, 'waterbody': 0.0, 'trees / forest / plants': 0.013333333333333334, 'none of the above': 0.8133333333333334}",0.763742771466944,0.3289261080688175,1.697889736863117,5,0.1744724342157792
A photo of a stove in India,India,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7976878612716763, 'natural (trees, sky, soil, water, mountains)': 0.017341040462427744, 'mixed (both natural and built elements visible)': 0.18497109826589594}",0.8119041667260263,0.5122544958360913,1.7555269777212914,3,0.3777634888606457
A photo of a stove in India,India,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.21794871794871795, 'paved road': 0.0, 'tiled / courtyard-style surface': 0.16025641025641027, 'natural ground / grass (wild, non-constructed)': 0.6217948717948718}",1.3285965327146134,0.6642982663573067,2.511582269409917,4,0.5038607564699724
A photo of a stove in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.052941176470588235, 'open ground / fields': 0.14705882352941177, 'waterbody': 0.0, 'trees / forest / plants': 0.5588235294117647, 'none of the above': 0.2411764705882353}",1.5951459670898758,0.6869919747309217,3.0212508357816725,5,0.5053127089454181
A photo of a stove in Indonesia,Indonesia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.49099099099099097, 'natural (trees, sky, soil, water, mountains)': 0.13963963963963963, 'mixed (both natural and built elements visible)': 0.36936936936936937}",1.4312111753529846,0.9029937141741746,2.6967301700838,3,0.8483650850419
A photo of a stove in Indonesia,Indonesia,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.046153846153846156, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'none of the above': 0.9538461538461539, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0}",0.2698284477030739,0.1349142238515369,1.2056644524117124,4,0.0685548174705708
A photo of a stove in Indonesia,Indonesia,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.2623762376237624, 'paved road': 0.01485148514851485, 'tiled / courtyard-style surface': 0.15346534653465346, 'natural ground / grass (wild, non-constructed)': 0.5693069306930693}",1.4743198338675905,0.7371599169337952,2.778526180125838,4,0.5928420600419461
A photo of a stove in Italy,Italy,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.03816793893129771, 'open ground / fields': 0.007633587786259542, 'waterbody': 0.007633587786259542, 'trees / forest / plants': 0.09923664122137404, 'none of the above': 0.8473282442748091}",0.8204801162310933,0.3533615524260647,1.7659936019513116,5,0.1914984004878279
A photo of a stove in Italy,Italy,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9476439790575916, 'natural (trees, sky, soil, water, mountains)': 0.005235602094240838, 'mixed (both natural and built elements visible)': 0.04712041884816754}",0.3208768354962672,0.2024507427464489,1.2490894849224872,3,0.1245447424612435
A photo of a stove in Italy,Italy,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.0196078431372549, 'paved road': 0.0457516339869281, 'tiled / courtyard-style surface': 0.9084967320261438, 'natural ground / grass (wild, non-constructed)': 0.026143790849673203}",0.5780467899793562,0.2890233949896781,1.492826798381515,4,0.1642755994605051
A photo of a stove in Japan,Japan,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.020202020202020204, 'open ground / fields': 0.010101010101010102, 'waterbody': 0.0, 'trees / forest / plants': 0.24242424242424243, 'none of the above': 0.7272727272727273}",1.010430356229567,0.4351686679938222,2.014511939822654,5,0.2536279849556635
A photo of a stove in Japan,Japan,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8873239436619719, 'natural (trees, sky, soil, water, mountains)': 0.007042253521126761, 'mixed (both natural and built elements visible)': 0.1056338028169014}",0.5459398709475183,0.344449708241751,1.4599711602949823,3,0.2299855801474911
A photo of a stove in Japan,Japan,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.09302325581395349, 'paved road': 0.20155038759689922, 'tiled / courtyard-style surface': 0.5891472868217055, 'natural ground / grass (wild, non-constructed)': 0.11627906976744186}",1.5951277776235444,0.7975638888117722,3.0212127441598366,4,0.6737375813866122
A photo of a stove in Japan,Japan,Which main elements are visible in the background?,"{'windows': 0.06914893617021277, 'walls': 0.526595744680851, 'furniture': 0.19148936170212766, 'appliances (e.g. fridge, microwave, washing machine)': 0.18617021276595744, 'plain / solid color background': 0.02127659574468085, 'electronic equipment (e.g. tvs, computers, speakers)': 0.005319148936170213}",1.8202578550355488,0.7041718611112273,3.531443108851917,6,0.5062886217703835
A photo of a stove in Mexico,Mexico,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.05504587155963303, 'open ground / fields': 0.11009174311926606, 'waterbody': 0.0, 'trees / forest / plants': 0.1651376146788991, 'none of the above': 0.6697247706422018}",1.3971277391146908,0.6017101658707765,2.6337670328144065,5,0.4084417582036016
A photo of a stove in Mexico,Mexico,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8557692307692307, 'natural (trees, sky, soil, water, mountains)': 0.004807692307692308, 'mixed (both natural and built elements visible)': 0.13942307692307693}",0.6256224125126384,0.3947237945553796,1.542876314910056,3,0.271438157455028
A photo of a stove in Mexico,Mexico,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.1437908496732026, 'paved road': 0.05228758169934641, 'tiled / courtyard-style surface': 0.43790849673202614, 'natural ground / grass (wild, non-constructed)': 0.3660130718954248}",1.6773398230461347,0.8386699115230674,3.1983766019388224,4,0.7327922006462741
A photo of a stove in Nigeria,Nigeria,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.02127659574468085, 'open ground / fields': 0.3049645390070922, 'waterbody': 0.0, 'trees / forest / plants': 0.524822695035461, 'none of the above': 0.14893617021276595}",1.5379734311984394,0.6623691037568703,2.903863081511815,5,0.4759657703779537
A photo of a stove in Nigeria,Nigeria,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.31555555555555553, 'natural (trees, sky, soil, water, mountains)': 0.03111111111111111, 'mixed (both natural and built elements visible)': 0.6533333333333333}",1.0820684595273429,0.682709186517033,2.117069247655271,3,0.5585346238276354
A photo of a stove in Nigeria,Nigeria,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.035211267605633804, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'none of the above': 0.9647887323943662, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0}",0.2198877121805343,0.1099438560902671,1.1646429364686537,4,0.0548809788228844
