prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a storefront in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.8, 'moderately busy': 0.2, 'crowded': 0.0}",0.7219280948873623,0.4554859150035952,1.6493848884661175,3,0.3246924442330589
A photo of a storefront in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.08205128205128205, 'built structures (walls, windows, houses, buildings, fences)': 0.9179487179487179, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.4093660874403702,0.2582812446692645,1.3281021248316531,3,0.1640510624158265
A photo of a storefront in China,China,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.7544910179640718, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.005988023952095809, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.23952095808383234}",0.8446959442316333,0.532943803936874,1.7958862131657214,3,0.3979431065828607
A photo of a storefront in China,China,What type of road or terrain is visible?,"{'paved road': 0.8925233644859814, 'natural ground / grass (wild, non-constructed)': 0.0, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.10747663551401869}",0.4922574950733931,0.2461287475366965,1.4066442381641435,4,0.1355480793880478
A photo of a storefront in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.9148936170212766, 'moderately busy': 0.0851063829787234, 'crowded': 0.0}",0.419921097375718,0.2649407144867177,1.33785438401511,3,0.168927192007555
A photo of a storefront in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.085, 'built structures (walls, windows, houses, buildings, fences)': 0.915, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.4195564962385469,0.2647106767810905,1.3375163211644645,3,0.1687581605822321
A photo of a storefront in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.6, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.4}",0.9709505944546686,0.6126016192893442,1.9601317042077893,3,0.4800658521038946
A photo of a storefront in Colombia,Colombia,What type of road or terrain is visible?,"{'paved road': 0.9819819819819819, 'natural ground / grass (wild, non-constructed)': 0.0, 'dirt / gravel road (man-made)': 0.0045045045045045045, 'tiled / courtyard-style surface': 0.013513513513513514}",0.1447804145323879,0.0723902072661939,1.105562368340599,4,0.035187456113533
A photo of a storefront in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.9166666666666666, 'moderately busy': 0.08333333333333333, 'crowded': 0.0}",0.4138168503036337,0.2610893633857883,1.3322056912494478,3,0.1661028456247238
A photo of a storefront in Egypt,Egypt,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.09580838323353294, 'built structures (walls, windows, houses, buildings, fences)': 0.8922155688622755, 'natural (trees, sky, soil, water, mountains)': 0.011976047904191617}",0.54744016343895,0.3453962874136551,1.461490208339144,3,0.230745104169572
A photo of a storefront in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.6146788990825688, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.3853211009174312}",0.9617136136083146,0.6067737332402099,1.947621880342228,3,0.4738109401711139
A photo of a storefront in Egypt,Egypt,What type of road or terrain is visible?,"{'paved road': 0.7125748502994012, 'natural ground / grass (wild, non-constructed)': 0.03592814371257485, 'dirt / gravel road (man-made)': 0.23353293413173654, 'tiled / courtyard-style surface': 0.017964071856287425}",1.1149697842359485,0.5574848921179741,2.165904727929567,4,0.3886349093098557
A photo of a storefront in India,India,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.05228758169934641, 'built structures (walls, windows, houses, buildings, fences)': 0.9477124183006536, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.296036090717714,0.1867779777647849,1.227766397555141,3,0.1138831987775704
A photo of a storefront in India,India,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.5088757396449705, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.4911242603550296}",0.999772680624343,0.6307863310137922,1.999684893257026,3,0.4998424466285129
A photo of a storefront in India,India,What type of road or terrain is visible?,"{'paved road': 0.7612903225806451, 'natural ground / grass (wild, non-constructed)': 0.0064516129032258064, 'dirt / gravel road (man-made)': 0.23225806451612904, 'tiled / courtyard-style surface': 0.0}",0.8356780834895892,0.4178390417447946,1.7846956695140757,4,0.2615652231713585
A photo of a storefront in Indonesia,Indonesia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.87, 'moderately busy': 0.13, 'crowded': 0.0}",0.557438185027989,0.3517043367110296,1.4716536585164863,3,0.2358268292582431
