prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a house in China,China,Are there any trees visible near the house?,"{'no': 0.164, 'yes': 0.836}",0.6437935214851034,0.6437935214851034,1.562432129054953,2,0.562432129054953
A photo of a house in China,China,Do the windows on the house have shutters?,"{'no': 0.907258064516129, 'yes': 0.09274193548387097}",0.4455564192048404,0.4455564192048404,1.3618392499369236,2,0.3618392499369236
A photo of a house in China,China,Does the house have a porch or a balcony?,"{'no': 0.52, 'yes': 0.48}",0.9988455359952018,0.9988455359952018,1.9984002132308607,2,0.9984002132308608
A photo of a house in China,China,Is a door on the house open or closed?,"{'closed': 0.502127659574468, 'open': 0.4978723404255319}",0.9999869379864652,0.9999869379864652,1.9999818922862649,2,0.9999818922862648
A photo of a house in China,China,Is the house single-storey or multi-storey?,"{'single-storey': 0.07112970711297072, 'multi-storey': 0.9288702928870293}",0.3701254245875298,0.3701254245875298,1.2924651897032158,2,0.2924651897032158
A photo of a house in China,China,Is the roof of the house flat or sloped?,"{'flat': 0.0, 'sloped': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in China,China,Is there a chimney on the house?,"{'no': 0.976, 'yes': 0.024}",0.1633455431834023,0.1633455431834023,1.11988108181015,2,0.1198810818101501
A photo of a house in China,China,Is there a fence on the property?,"{'no': 0.448, 'yes': 0.552}",0.992183779438731,0.992183779438731,1.98919371703583,2,0.98919371703583
A photo of a house in China,China,"Is there a garage visible, attached to the house?","{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in China,China,What is the main color of the house's exterior?,"{'beige': 0.13654618473895583, 'yellow': 0.7309236947791165, 'brown': 0.028112449799196786, 'gray': 0.04417670682730924, 'white': 0.060240963855421686}",1.310600517159585,0.564444919739499,2.4804476633679173,5,0.3701119158419793
A photo of a house in China,China,What is the primary exterior material of the house?,"{'stone': 0.09722222222222222, 'metal': 0.0, 'glass': 0.0, 'concrete': 0.21296296296296297, 'brick': 0.6388888888888888, 'wood': 0.05092592592592592}",1.433810471157107,0.5546736058094075,2.701593233717962,6,0.3403186467435923
A photo of a house in China,China,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.6713615023474179, 'grass': 0.27699530516431925, 'dirt/gravel': 0.051643192488262914}",1.1197270433400703,0.7064691075218472,2.17305854534961,3,0.586529272674805
A photo of a house in Colombia,Colombia,Are there any trees visible near the house?,"{'no': 0.1, 'yes': 0.9}",0.4689955935892812,0.4689955935892812,1.384145488461686,2,0.3841454884616859
A photo of a house in Colombia,Colombia,Do the windows on the house have shutters?,"{'no': 0.728744939271255, 'yes': 0.27125506072874495}",0.8432598101271382,0.8432598101271382,1.794099383593883,2,0.794099383593883
A photo of a house in Colombia,Colombia,Does the house have a porch or a balcony?,"{'no': 0.664, 'yes': 0.336}",0.9209394481940656,0.9209394481940656,1.8933477945117885,2,0.8933477945117883
A photo of a house in Colombia,Colombia,Is a door on the house open or closed?,"{'closed': 0.7325102880658436, 'open': 0.2674897119341564}",0.8378394231166109,0.8378394231166109,1.7873713731058982,2,0.7873713731058982
A photo of a house in Colombia,Colombia,Is the house single-storey or multi-storey?,"{'single-storey': 0.44214876033057854, 'multi-storey': 0.5578512396694215}",0.9903216127011032,0.9903216127011032,1.98662781039396,2,0.9866278103939596
A photo of a house in Colombia,Colombia,Is the roof of the house flat or sloped?,"{'flat': 0.0056179775280898875, 'sloped': 0.9943820224719101}",0.0500807210524059,0.0500807210524059,1.0353228501596343,2,0.0353228501596345
A photo of a house in Colombia,Colombia,Is there a chimney on the house?,"{'no': 0.956, 'yes': 0.044}",0.2603406250124503,0.2603406250124503,1.197761466632466,2,0.1977614666324658
A photo of a house in Colombia,Colombia,Is there a fence on the property?,"{'no': 0.336, 'yes': 0.664}",0.9209394481940656,0.9209394481940656,1.8933477945117885,2,0.8933477945117883
A photo of a house in Colombia,Colombia,"Is there a garage visible, attached to the house?","{'no': 0.972, 'yes': 0.028}",0.1842605933396551,0.1842605933396551,1.1362344837624294,2,0.1362344837624294
A photo of a house in Colombia,Colombia,What is the main color of the house's exterior?,"{'beige': 0.028455284552845527, 'yellow': 0.8495934959349594, 'brown': 0.0040650406504065045, 'gray': 0.0040650406504065045, 'white': 0.11382113821138211}",0.7673296237257412,0.330470881253954,1.7021163103047274,5,0.1755290775761818
A photo of a house in Colombia,Colombia,What is the primary exterior material of the house?,"{'stone': 0.03225806451612903, 'metal': 0.0, 'glass': 0.0, 'concrete': 0.9247311827956989, 'brick': 0.043010752688172046, 'wood': 0.0}",0.459442075553796,0.1777364566896503,1.3750099662866275,6,0.0750019932573255
A photo of a house in Colombia,Colombia,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.746938775510204, 'grass': 0.16326530612244897, 'dirt/gravel': 0.08979591836734693}",1.0535453275270816,0.664713093873022,2.075624294741407,3,0.5378121473707036
A photo of a house in Egypt,Egypt,Are there any trees visible near the house?,"{'no': 0.8714859437751004, 'yes': 0.1285140562248996}",0.5533488499779122,0.5533488499779122,1.467488146328604,2,0.467488146328604
A photo of a house in Egypt,Egypt,Do the windows on the house have shutters?,"{'no': 0.9673469387755103, 'yes': 0.0326530612244898}",0.2075271227213974,0.2075271227213974,1.1547072400244691,2,0.1547072400244693
A photo of a house in Egypt,Egypt,Does the house have a porch or a balcony?,"{'no': 0.2875, 'yes': 0.7125}",0.8654698974285927,0.8654698974285927,1.821932988845526,2,0.821932988845526
A photo of a house in Egypt,Egypt,Is a door on the house open or closed?,"{'closed': 0.09444444444444444, 'open': 0.9055555555555556}",0.4511333327690002,0.4511333327690002,1.3671137937116289,2,0.3671137937116286
A photo of a house in Egypt,Egypt,Is the house single-storey or multi-storey?,"{'single-storey': 0.0, 'multi-storey': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in Egypt,Egypt,Is there a chimney on the house?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in Egypt,Egypt,Is there a fence on the property?,"{'no': 0.9061224489795918, 'yes': 0.09387755102040816}",0.4492818274963059,0.4492818274963059,1.3653604121715524,2,0.3653604121715523
A photo of a house in Egypt,Egypt,"Is there a garage visible, attached to the house?","{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in Egypt,Egypt,What is the main color of the house's exterior?,"{'beige': 0.9565217391304348, 'yellow': 0.023715415019762844, 'brown': 0.019762845849802372, 'gray': 0.0, 'white': 0.0}",0.3012373735116396,0.1297358751870621,1.2322007966551924,5,0.0580501991637981
A photo of a house in Egypt,Egypt,What is the primary exterior material of the house?,"{'stone': 0.9959349593495935, 'metal': 0.0, 'glass': 0.0, 'concrete': 0.0, 'brick': 0.0040650406504065045, 'wood': 0.0}",0.0381393221862732,0.0147543038537824,1.026788698718432,6,0.0053577397436864
A photo of a house in Egypt,Egypt,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.0796812749003984, 'grass': 0.00796812749003984, 'dirt/gravel': 0.9123505976095617}",0.46709642497887,0.2947050323060272,1.3823245934583803,3,0.1911622967291902
A photo of a house in India,India,Are there any trees visible near the house?,"{'no': 0.06, 'yes': 0.94}",0.3274449191544762,0.3274449191544762,1.2547891148657844,2,0.2547891148657843
