prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a stove in China,China,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.608, 'yes': 0.392}",0.9660780975952254,0.9660780975952254,1.953522805362164,2,0.9535228053621636
A photo of a stove in China,China,Does the stove have a backguard or splash guard?,"{'no': 0.64, 'yes': 0.36}",0.9426831892554922,0.9426831892554922,1.9220997241070776,2,0.922099724107078
A photo of a stove in China,China,Does the stove's oven door have a glass window?,"{'no': 0.9688888888888889, 'yes': 0.03111111111111111}",0.1999337811913784,0.1999337811913784,1.1486456316641571,2,0.1486456316641571
A photo of a stove in China,China,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.805668016194332, 'built-in': 0.19433198380566802}",0.7104461808850759,0.7104461808850759,1.6363100988940926,2,0.6363100988940926
A photo of a stove in China,China,Is there a digital clock or timer display on the stove?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in China,China,Is there a range hood or vent above the stove?,"{'no': 0.812, 'yes': 0.188}",0.6972688157923281,0.6972688157923281,1.621432331342122,2,0.621432331342122
A photo of a stove in China,China,Is there an oven integrated below the cooktop?,"{'no': 0.751004016064257, 'yes': 0.24899598393574296}",0.8096829150280234,0.8096829150280234,1.7528261526724207,2,0.7528261526724207
A photo of a stove in China,China,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.2, 'yes': 0.8}",0.7219280948873623,0.7219280948873623,1.6493848884661175,2,0.6493848884661177
A photo of a stove in China,China,What is the primary color of the stove?,"{'green': 0.0, 'gray': 0.43, 'blue': 0.0, 'white': 0.01, 'black': 0.19, 'cream': 0.023333333333333334, 'silver': 0.2866666666666667, 'red': 0.06}",1.9319958983495515,0.6439986327831838,3.815827353596606,8,0.4022610505138008
A photo of a stove in China,China,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.5205479452054794, 'stainless steel': 0.4794520547945205}",0.9987813930727558,0.9987813930727558,1.9983113653615896,2,0.9983113653615896
A photo of a stove in China,China,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'gas burners': 0.8734939759036144, 'electric coils': 0.09036144578313253, 'flat glass/ceramic top': 0.03614457831325301}",0.6569674314034295,0.4145002995998392,1.576764752513138,3,0.288382376256569
A photo of a stove in Colombia,Colombia,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.5943775100401606, 'yes': 0.40562248995983935}",0.974144671541913,0.974144671541913,1.9644761757107776,2,0.9644761757107778
A photo of a stove in Colombia,Colombia,Does the stove have a backguard or splash guard?,"{'no': 0.656, 'yes': 0.344}",0.9285950940151024,0.9285950940151024,1.903421528798229,2,0.903421528798229
A photo of a stove in Colombia,Colombia,Does the stove's oven door have a glass window?,"{'no': 0.9380165289256198, 'yes': 0.06198347107438017}",0.3352687515342413,0.3352687515342413,1.261612405612388,2,0.2616124056123878
A photo of a stove in Colombia,Colombia,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.6491935483870968, 'built-in': 0.35080645161290325}",0.9347862236316626,0.9347862236316626,1.911607355114409,2,0.911607355114409
A photo of a stove in Colombia,Colombia,Is there a digital clock or timer display on the stove?,"{'no': 0.992, 'yes': 0.008}",0.0672215447583068,0.0672215447583068,1.0476970023725325,2,0.0476970023725324
A photo of a stove in Colombia,Colombia,Is there a range hood or vent above the stove?,"{'no': 0.728, 'yes': 0.272}",0.8443198937773437,0.8443198937773437,1.7954181615000324,2,0.7954181615000324
A photo of a stove in Colombia,Colombia,Is there an oven integrated below the cooktop?,"{'no': 0.5789473684210527, 'yes': 0.42105263157894735}",0.9819407868640976,0.9819407868640976,1.9751206555240497,2,0.9751206555240496
A photo of a stove in Colombia,Colombia,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.588, 'yes': 0.412}",0.9775387286988187,0.9775387286988187,1.9691032059273064,2,0.9691032059273066
A photo of a stove in Colombia,Colombia,What is the primary color of the stove?,"{'green': 0.0, 'gray': 0.3639705882352941, 'blue': 0.007352941176470588, 'white': 0.0, 'black': 0.3161764705882353, 'cream': 0.007352941176470588, 'silver': 0.19852941176470587, 'red': 0.10661764705882353}",1.967571487324646,0.6558571624415487,3.911092039490137,8,0.4158702913557338
A photo of a stove in Colombia,Colombia,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.7385321100917431, 'stainless steel': 0.26146788990825687}",0.8289533698051665,0.8289533698051665,1.7763961748114874,2,0.7763961748114874
A photo of a stove in Colombia,Colombia,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'gas burners': 0.944954128440367, 'electric coils': 0.045871559633027525, 'flat glass/ceramic top': 0.009174311926605505}",0.3432375837282263,0.2165588041181123,1.2686002958448723,3,0.1343001479224362
A photo of a stove in Egypt,Egypt,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.612, 'yes': 0.388}",0.9634967421655788,0.9634967421655788,1.9500305718231083,2,0.9500305718231083
A photo of a stove in Egypt,Egypt,Does the stove have a backguard or splash guard?,"{'no': 0.7550200803212851, 'yes': 0.24497991967871485}",0.803224093888435,0.803224093888435,1.7449964408705598,2,0.7449964408705598
A photo of a stove in Egypt,Egypt,Does the stove's oven door have a glass window?,"{'no': 0.948936170212766, 'yes': 0.05106382978723404}",0.2908989563910344,0.2908989563910344,1.223402353363802,2,0.2234023533638021
A photo of a stove in Egypt,Egypt,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.606425702811245, 'built-in': 0.39357429718875503}",0.9670674727854413,0.9670674727854413,1.9548629568306872,2,0.9548629568306872
A photo of a stove in Egypt,Egypt,Is there a digital clock or timer display on the stove?,"{'no': 0.996, 'yes': 0.004}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a stove in Egypt,Egypt,Is there a range hood or vent above the stove?,"{'no': 0.816, 'yes': 0.184}",0.6887498056988564,0.6887498056988564,1.611886103081181,2,0.6118861030811811
A photo of a stove in Egypt,Egypt,Is there an oven integrated below the cooktop?,"{'no': 0.6024096385542169, 'yes': 0.39759036144578314}",0.9695235828220428,0.9695235828220428,1.9581938394765408,2,0.9581938394765412
A photo of a stove in Egypt,Egypt,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.656, 'yes': 0.344}",0.9285950940151024,0.9285950940151024,1.903421528798229,2,0.903421528798229
A photo of a stove in Egypt,Egypt,What is the primary color of the stove?,"{'green': 0.0, 'gray': 0.3003533568904594, 'blue': 0.0, 'white': 0.014134275618374558, 'black': 0.303886925795053, 'cream': 0.0812720848056537, 'silver': 0.2579505300353357, 'red': 0.04240282685512368}",2.1221293867460465,0.7073764622486821,4.35336017618371,8,0.47905145374053
A photo of a stove in Egypt,Egypt,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.6555023923444976, 'stainless steel': 0.3444976076555024}",0.9290577183515112,0.9290577183515112,1.9040319906743837,2,0.9040319906743834
A photo of a stove in Egypt,Egypt,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'gas burners': 0.8405797101449275, 'electric coils': 0.13043478260869565, 'flat glass/ceramic top': 0.028985507246376812}",0.7419705041639663,0.4681312673494613,1.6724586061366624,3,0.3362293030683312
A photo of a stove in India,India,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.64, 'yes': 0.36}",0.9426831892554922,0.9426831892554922,1.9220997241070776,2,0.922099724107078
A photo of a stove in India,India,Does the stove have a backguard or splash guard?,"{'no': 0.652, 'yes': 0.348}",0.932269191548067,0.932269191548067,1.9082751317187612,2,0.9082751317187614
A photo of a stove in India,India,Does the stove's oven door have a glass window?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in India,India,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.6935483870967742, 'built-in': 0.3064516129032258}",0.8890349038123858,0.8890349038123858,1.851936849308204,2,0.851936849308204
A photo of a stove in India,India,Is there a digital clock or timer display on the stove?,"{'no': 0.992, 'yes': 0.008}",0.0672215447583068,0.0672215447583068,1.0476970023725325,2,0.0476970023725324
A photo of a stove in India,India,Is there a range hood or vent above the stove?,"{'no': 0.904, 'yes': 0.096}",0.4561861025695263,0.4561861025695263,1.3719102487578487,2,0.3719102487578487
A photo of a stove in India,India,Is there an oven integrated below the cooktop?,"{'no': 0.7701612903225806, 'yes': 0.22983870967741934}",0.7777300323134144,0.7777300323134144,1.7144312262932997,2,0.7144312262932997
A photo of a stove in India,India,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.196, 'yes': 0.804}",0.7138555955076475,0.7138555955076475,1.640181642546222,2,0.6401816425462219
A photo of a stove in India,India,What is the primary color of the stove?,"{'green': 0.0, 'gray': 0.4425087108013937, 'blue': 0.003484320557491289, 'white': 0.003484320557491289, 'black': 0.1951219512195122, 'cream': 0.013937282229965157, 'silver': 0.20905923344947736, 'red': 0.13240418118466898}",1.981598522136809,0.6605328407122697,3.949304267624549,8,0.4213291810892213
A photo of a stove in India,India,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.6865671641791045, 'stainless steel': 0.31343283582089554}",0.8970964164730477,0.8970964164730477,1.8623140954545383,2,0.8623140954545383
