prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a backyard in China,China,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.0, 'open ground / fields': 0.0, 'trees / forest / plants': 1.0, 'waterbody': 0.0}",-0.0,-0.0,1.0,4,0.0
A photo of a backyard in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.8247422680412371, 'built structures (walls, windows, houses, buildings, fences)': 0.061855670103092786, 'natural (trees, sky, soil, water, mountains)': 0.1134020618556701}",0.833750260740466,0.5260378465491207,1.7823124359983349,3,0.3911562179991673
A photo of a backyard in China,China,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0, 'none of the above': 0.3418803418803419, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.042735042735042736, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.6153846153846154}",1.154797502713509,0.5773987513567544,2.226530697732845,4,0.4088435659109484
A photo of a backyard in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.26609442060085836, 'moderately busy': 0.1459227467811159, 'quiet / empty': 0.5879828326180258}",1.3639101652032504,0.8605315044252926,2.57381822120504,3,0.7869091106025199
A photo of a backyard in Colombia,Colombia,How dense is the built environment in the background?,"{'moderate (some houses/buildings, not crowded)': 0.15384615384615385, 'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.7455621301775148, 'sparse / open (fields, wide spaces, few or no buildings)': 0.10059171597633136}",1.06457428046021,0.671671588429272,2.0915525999988627,3,0.5457762999994313
A photo of a backyard in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.4765957446808511, 'open ground / fields': 0.0, 'trees / forest / plants': 0.5234042553191489, 'waterbody': 0.0}",0.9984189234706246,0.4992094617353123,1.997809363122083,4,0.3326031210406943
A photo of a backyard in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.7741935483870968, 'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.22580645161290322}",0.7706290693639405,0.4862128088287926,1.7060135075092058,3,0.3530067537546029
A photo of a backyard in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.009174311926605505, 'none of the above': 0.41284403669724773, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.5642201834862385, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.013761467889908258}",1.1399689562972903,0.5699844781486452,2.203762810994389,4,0.401254270331463
A photo of a backyard in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'moderately busy': 0.008695652173913044, 'quiet / empty': 0.991304347826087}",0.0720164716854138,0.045437334733564,1.051184910715096,3,0.0255924553575479
A photo of a backyard in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.01694915254237288, 'open ground / fields': 0.211864406779661, 'trees / forest / plants': 0.7711864406779662, 'waterbody': 0.0}",0.8631030747648117,0.4315515373824058,1.8189464553759755,4,0.2729821517919917
