prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a dog in China,China,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.116, 'floppy (whole ear droops down)': 0.08, 'folded (ear starts upright but bends partway)': 0.804}",0.905058681928441,0.5710284511568193,1.872620662564689,3,0.4363103312823445
A photo of a dog in China,China,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.84, 'yes': 0.16}",0.6343095546405662,0.6343095546405662,1.552194722472226,2,0.5521947224722259
A photo of a dog in China,China,"Does the dog have short, medium, or long fur?","{'long': 0.004, 'medium': 0.596, 'short': 0.4}",1.0056173705567488,0.6344739197925465,2.0078025094468384,3,0.5039012547234192
A photo of a dog in China,China,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.168, 'multiple colors/patterns': 0.832}",0.6531091121418667,0.6531091121418667,1.5725535132218376,2,0.5725535132218376
A photo of a dog in China,China,Is the dog alone or with other animals or people?,"{'with other animals': 0.004, 'with other animals and people': 0.012, 'with people': 0.764, 'alone': 0.22}",0.8857099730586961,0.442854986529348,1.8476736672115983,4,0.2825578890705327
A photo of a dog in China,China,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in China,China,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.336, 'yes': 0.664}",0.9209394481940656,0.9209394481940656,1.8933477945117885,2,0.8933477945117883
A photo of a dog in China,China,Is the dog's mouth open or closed?,"{'closed': 0.4939759036144578, 'open': 0.5060240963855421}",0.9998952874186192,0.9998952874186192,1.9998548428068013,2,0.9998548428068011
A photo of a dog in China,China,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.1862348178137652, 'eating': 0.0, 'standing': 0.5870445344129555, 'playing': 0.020242914979757085, 'running': 0.008097165991902834, 'walking': 0.17408906882591094, 'lying down': 0.024291497975708502}",1.6422155394318756,0.5849689779261117,3.1214482319414687,7,0.3535747053235781
A photo of a dog in Colombia,Colombia,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.07142857142857142, 'floppy (whole ear droops down)': 0.03571428571428571, 'folded (ear starts upright but bends partway)': 0.8928571428571429}",0.5896261811873141,0.3720127011957916,1.5048567712604517,3,0.2524283856302258
A photo of a dog in Colombia,Colombia,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.764, 'yes': 0.236}",0.7883249003933805,0.7883249003933805,1.7270680156220035,2,0.7270680156220035
A photo of a dog in Colombia,Colombia,"Does the dog have short, medium, or long fur?","{'long': 0.008, 'medium': 0.244, 'short': 0.748}",0.8656073183007906,0.546137412025168,1.822106541493872,3,0.4110532707469361
A photo of a dog in Colombia,Colombia,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.156, 'multiple colors/patterns': 0.844}",0.6246538232507122,0.6246538232507122,1.5418408140972275,2,0.5418408140972277
A photo of a dog in Colombia,Colombia,Is the dog alone or with other animals or people?,"{'with other animals': 0.012, 'with other animals and people': 0.004, 'with people': 0.276, 'alone': 0.708}",0.9737472551238964,0.4868736275619482,1.9639350997787612,4,0.3213116999262538
A photo of a dog in Colombia,Colombia,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Colombia,Colombia,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.132, 'yes': 0.868}",0.5628977911449632,0.5628977911449632,1.4772334041229542,2,0.4772334041229542
A photo of a dog in Colombia,Colombia,Is the dog's mouth open or closed?,"{'closed': 0.56, 'open': 0.44}",0.9895875212220556,0.9895875212220556,1.9856172048699805,2,0.9856172048699804
A photo of a dog in Colombia,Colombia,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.4139344262295082, 'eating': 0.0, 'standing': 0.5655737704918032, 'playing': 0.00819672131147541, 'running': 0.0, 'walking': 0.012295081967213115, 'lying down': 0.0}",1.1265954429092713,0.4013013937274279,2.183428733777199,7,0.1972381222961998
A photo of a dog in Egypt,Egypt,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.0784313725490196, 'floppy (whole ear droops down)': 0.11372549019607843, 'folded (ear starts upright but bends partway)': 0.807843137254902}",0.8934157138934077,0.5636825562036355,1.8575688876742056,3,0.4287844438371029
A photo of a dog in Egypt,Egypt,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.872, 'yes': 0.128}",0.5519275534566073,0.5519275534566073,1.4660431363466553,2,0.4660431363466553
A photo of a dog in Egypt,Egypt,"Does the dog have short, medium, or long fur?","{'long': 0.0, 'medium': 0.064, 'short': 0.936}",0.3431229071320203,0.2164864512415276,1.2684994616574572,3,0.1342497308287286
A photo of a dog in Egypt,Egypt,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.228, 'multiple colors/patterns': 0.772}",0.7745085286615678,0.7745085286615678,1.710607213267905,2,0.7106072132679053
A photo of a dog in Egypt,Egypt,Is the dog alone or with other animals or people?,"{'with other animals': 0.008, 'with other animals and people': 0.0, 'with people': 0.064, 'alone': 0.928}",0.4095779211837,0.20478896059185,1.328297146989687,4,0.1094323823298956
A photo of a dog in Egypt,Egypt,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Egypt,Egypt,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.12, 'yes': 0.88}",0.5293608652873644,0.5293608652873644,1.4432896557346917,2,0.4432896557346915
A photo of a dog in Egypt,Egypt,Is the dog's mouth open or closed?,"{'closed': 0.82, 'open': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a dog in Egypt,Egypt,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.604, 'eating': 0.0, 'standing': 0.368, 'playing': 0.004, 'running': 0.0, 'walking': 0.008, 'lying down': 0.016}",1.1531170222807587,0.4107485709130076,2.2239386995346564,7,0.203989783255776
A photo of a dog in India,India,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.032, 'floppy (whole ear droops down)': 0.056, 'folded (ear starts upright but bends partway)': 0.912}",0.5129767161086167,0.323652273082305,1.426991475083067,3,0.2134957375415335
A photo of a dog in India,India,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.82, 'yes': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a dog in India,India,"Does the dog have short, medium, or long fur?","{'long': 0.004, 'medium': 0.152, 'short': 0.844}",0.6514915873497978,0.4110454266604856,1.5707913813712706,3,0.2853956906856353
A photo of a dog in India,India,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.204, 'multiple colors/patterns': 0.796}",0.7298563169471574,0.7298563169471574,1.658473910177218,2,0.6584739101772179
A photo of a dog in India,India,Is the dog alone or with other animals or people?,"{'with other animals': 0.012, 'with other animals and people': 0.024, 'with people': 0.492, 'alone': 0.472}",1.2204009787104302,0.6102004893552151,2.330114708649256,4,0.4433715695497519
A photo of a dog in India,India,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in India,India,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.1, 'yes': 0.9}",0.4689955935892812,0.4689955935892812,1.384145488461686,2,0.3841454884616859
A photo of a dog in India,India,Is the dog's mouth open or closed?,"{'closed': 0.512, 'open': 0.488}",0.9995844639313984,0.9995844639313984,1.9994240276432207,2,0.9994240276432212
A photo of a dog in India,India,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.4112903225806452, 'eating': 0.0, 'standing': 0.5080645161290323, 'playing': 0.012096774193548387, 'running': 0.004032258064516129, 'walking': 0.036290322580645164, 'lying down': 0.028225806451612902}",1.4515335998561107,0.5170467005975267,2.734986287713512,7,0.2891643812855853
A photo of a dog in Indonesia,Indonesia,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.176, 'floppy (whole ear droops down)': 0.032, 'folded (ear starts upright but bends partway)': 0.792}",0.8664738766788719,0.546684149489106,1.823201323095751,3,0.4116006615478753
A photo of a dog in Indonesia,Indonesia,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.78, 'yes': 0.22}",0.7601675029619657,0.7601675029619657,1.6936872575238315,2,0.6936872575238315
A photo of a dog in Indonesia,Indonesia,"Does the dog have short, medium, or long fur?","{'long': 0.0, 'medium': 0.324, 'short': 0.676}",0.908678384800712,0.5733122293980232,1.8773249421841236,3,0.4386624710920617
A photo of a dog in Indonesia,Indonesia,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.14, 'multiple colors/patterns': 0.86}",0.584238811642856,0.584238811642856,1.499247754121369,2,0.4992477541213687
A photo of a dog in Indonesia,Indonesia,Is the dog alone or with other animals or people?,"{'with other animals': 0.008, 'with other animals and people': 0.004, 'with people': 0.268, 'alone': 0.72}",0.9379381522620382,0.4689690761310191,1.91578830563497,4,0.30526276854499
A photo of a dog in Indonesia,Indonesia,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Indonesia,Indonesia,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.232, 'yes': 0.768}",0.7814814932386422,0.7814814932386422,1.7188950879858442,2,0.7188950879858442
A photo of a dog in Indonesia,Indonesia,Is the dog's mouth open or closed?,"{'closed': 0.512, 'open': 0.488}",0.9995844639313984,0.9995844639313984,1.9994240276432207,2,0.9994240276432212
A photo of a dog in Indonesia,Indonesia,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.29435483870967744, 'eating': 0.0, 'standing': 0.6733870967741935, 'playing': 0.008064516129032258, 'running': 0.004032258064516129, 'walking': 0.012096774193548387, 'lying down': 0.008064516129032258}",1.1247983380337647,0.4006612520547856,2.180710621190754,7,0.1967851035317923
A photo of a dog in Italy,Italy,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.05622489959839357, 'floppy (whole ear droops down)': 0.19678714859437751, 'folded (ear starts upright but bends partway)': 0.7469879518072289}",1.0093702447727175,0.6368417197968124,2.0130321934571613,3,0.5065160967285807
A photo of a dog in Italy,Italy,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.896, 'yes': 0.104}",0.4815485438118001,0.4815485438118001,1.3962415443979084,2,0.3962415443979084
A photo of a dog in Italy,Italy,"Does the dog have short, medium, or long fur?","{'long': 0.008, 'medium': 0.376, 'short': 0.616}",1.0169183673632365,0.6416040549227755,2.0235918970398137,3,0.5117959485199068
A photo of a dog in Italy,Italy,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'single solid color': 0.116, 'multiple colors/patterns': 0.884}",0.5177526267252631,0.5177526267252631,1.431723228172233,2,0.4317232281722329
A photo of a dog in Italy,Italy,Is the dog alone or with other animals or people?,"{'with other animals': 0.008, 'with other animals and people': 0.012, 'with people': 0.352, 'alone': 0.628}",1.0840229745891627,0.5420114872945814,2.1199393260755497,4,0.3733131086918499
A photo of a dog in Italy,Italy,Is the dog in an indoor or outdoor setting?,"{'indoor': 0.0, 'outdoor': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Italy,Italy,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.404, 'yes': 0.596}",0.9732424074349136,0.9732424074349136,1.9632479728316257,2,0.9632479728316256
A photo of a dog in Italy,Italy,Is the dog's mouth open or closed?,"{'closed': 0.5742971887550201, 'open': 0.42570281124497994}",0.9840133001684472,0.9840133001684472,1.97796006744076,2,0.9779600674407596
A photo of a dog in Italy,Italy,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'sitting': 0.5813008130081301, 'eating': 0.0, 'standing': 0.3699186991869919, 'playing': 0.012195121951219513, 'running': 0.0, 'walking': 0.0, 'lying down': 0.036585365853658534}",1.237818871467145,0.4409199783545381,2.358417069662088,7,0.2264028449436813
A photo of a dog in Japan,Japan,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.172, 'floppy (whole ear droops down)': 0.056, 'folded (ear starts upright but bends partway)': 0.772}",0.9578780384471424,0.6043537547489666,1.9424507745856616,3,0.4712253872928309
A photo of a dog in Japan,Japan,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.908, 'yes': 0.092}",0.443110558244691,0.443110558244691,1.3595324231473491,2,0.3595324231473493
A photo of a dog in Japan,Japan,"Does the dog have short, medium, or long fur?","{'long': 0.056, 'medium': 0.696, 'short': 0.248}",1.095643050940201,0.691273800131981,2.1370831636618863,3,0.5685415818309432
