prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a car in China,China,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'yes': 0.208, 'no': 0.792}",0.7376423801856891,0.7376423801856891,1.6674487039527333,2,0.6674487039527333
A photo of a car in China,China,Are any wheels visible on the car?,"{'yes': 0.964, 'no': 0.036}",0.2236416644844808,0.2236416644844808,1.1676773317692477,2,0.1676773317692477
A photo of a car in China,China,Are the car’s lights turned on or off?,"{'on': 0.06329113924050633, 'off': 0.9367088607594937}",0.340373285759646,0.340373285759646,1.2660841407004917,2,0.2660841407004917
A photo of a car in China,China,Are there any logos or brand badges on the car?,"{'yes': 0.888, 'no': 0.112}",0.5059192440727412,0.5059192440727412,1.420027869203235,2,0.4200278692032351
A photo of a car in China,China,Does the car appear modern or vintage?,"{'vintage': 0.11382113821138211, 'modern': 0.8861788617886179}",0.5113351532295534,0.5113351532295534,1.4253687038287364,2,0.4253687038287363
A photo of a car in China,China,Is the car a convertible or does it have a fixed roof?,"{'fixed roof': 0.994475138121547, 'convertible': 0.0055248618784530384}",0.0493842443244128,0.0493842443244128,1.034823157414821,2,0.034823157414821
A photo of a car in China,China,Is the car a sedan or SUV?,"{'suv': 0.31343283582089554, 'sedan': 0.6865671641791045}",0.8970964164730477,0.8970964164730477,1.8623140954545383,2,0.8623140954545383
A photo of a car in China,China,Is the car moving or stationary?,"{'stationary': 0.9021739130434783, 'moving': 0.09782608695652174}",0.4620663276355393,0.4620663276355393,1.3775133758479874,2,0.3775133758479874
A photo of a car in China,China,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 1.0, 'unpaved surface': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in China,China,"Is the car viewed from the front, side, or rear?","{'front': 0.535483870967742, 'rear': 0.0967741935483871, 'side': 0.36774193548387096}",1.3393091630593164,0.8450100002050094,2.5303012587938025,3,0.7651506293969013
A photo of a car in China,China,Is there a license plate on the car?,"{'yes': 0.6775510204081633, 'no': 0.3224489795918367}",0.9070247769226496,0.9070247769226496,1.87517439698418,2,0.8751743969841801
A photo of a car in China,China,What is the primary color of the car?,"{'yellow': 0.0, 'gray': 0.14919354838709678, 'black': 0.3588709677419355, 'green': 0.004032258064516129, 'blue': 0.06451612903225806, 'brown': 0.04032258064516129, 'orange': 0.0, 'white': 0.125, 'red': 0.15725806451612903, 'beige': 0.10080645161290322}",2.5424361985516204,0.7653495578259432,5.825719334796662,10,0.5361910371996291
A photo of a car in Colombia,Colombia,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'yes': 0.16, 'no': 0.84}",0.6343095546405662,0.6343095546405662,1.552194722472226,2,0.5521947224722259
A photo of a car in Colombia,Colombia,Are any wheels visible on the car?,"{'yes': 0.98, 'no': 0.02}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a car in Colombia,Colombia,Are the car’s lights turned on or off?,"{'on': 0.034782608695652174, 'off': 0.9652173913043478}",0.2178364755977512,0.2178364755977512,1.162988213458484,2,0.1629882134584841
A photo of a car in Colombia,Colombia,Are there any logos or brand badges on the car?,"{'yes': 0.852, 'no': 0.148}",0.6048125901165883,0.6048125901165883,1.520781186929767,2,0.5207811869297669
A photo of a car in Colombia,Colombia,Does the car appear modern or vintage?,"{'vintage': 0.8514056224899599, 'modern': 0.14859437751004015}",0.6063115268645894,0.6063115268645894,1.52236207503334,2,0.52236207503334
A photo of a car in Colombia,Colombia,Is the car a convertible or does it have a fixed roof?,"{'fixed roof': 1.0, 'convertible': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Colombia,Colombia,Is the car a sedan or SUV?,"{'suv': 0.2897727272727273, 'sedan': 0.7102272727272727}",0.8684274821412339,0.8684274821412339,1.82567185820093,2,0.8256718582009301
A photo of a car in Colombia,Colombia,Is the car moving or stationary?,"{'stationary': 0.9825581395348837, 'moving': 0.01744186046511628}",0.1268257300866757,0.1268257300866757,1.091888643419154,2,0.0918886434191539
A photo of a car in Colombia,Colombia,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.94, 'unpaved surface': 0.06}",0.3274449191544762,0.3274449191544762,1.2547891148657844,2,0.2547891148657843
A photo of a car in Colombia,Colombia,"Is the car viewed from the front, side, or rear?","{'front': 0.6733333333333333, 'rear': 0.06, 'side': 0.26666666666666666}",1.1362466333865038,0.7168918083989451,2.198084172639458,3,0.599042086319729
A photo of a car in Colombia,Colombia,Is there a license plate on the car?,"{'yes': 0.8775510204081632, 'no': 0.12244897959183673}",0.5363596511250623,0.5363596511250623,1.4503083368695786,2,0.4503083368695786
A photo of a car in Colombia,Colombia,What is the primary color of the car?,"{'yellow': 0.14682539682539683, 'gray': 0.06349206349206349, 'black': 0.023809523809523808, 'green': 0.015873015873015872, 'blue': 0.2222222222222222, 'brown': 0.011904761904761904, 'orange': 0.11904761904761904, 'white': 0.1984126984126984, 'red': 0.0992063492063492, 'beige': 0.0992063492063492}",2.930380520659776,0.8821324354280273,7.623114367636611,10,0.7359015964040679
A photo of a car in Egypt,Egypt,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'yes': 0.296, 'no': 0.704}",0.8763462289152606,0.8763462289152606,1.8357202618570612,2,0.8357202618570614
A photo of a car in Egypt,Egypt,Are any wheels visible on the car?,"{'yes': 0.96, 'no': 0.04}",0.2422921890824148,0.2422921890824148,1.182870542802813,2,0.182870542802813
A photo of a car in Egypt,Egypt,Are the car’s lights turned on or off?,"{'on': 0.004464285714285714, 'off': 0.9955357142857143}",0.0412804681190864,0.0412804681190864,1.029026737098257,2,0.0290267370982573
A photo of a car in Egypt,Egypt,Are there any logos or brand badges on the car?,"{'yes': 0.804, 'no': 0.196}",0.7138555955076475,0.7138555955076475,1.640181642546222,2,0.6401816425462219
A photo of a car in Egypt,Egypt,Does the car appear modern or vintage?,"{'vintage': 0.6160714285714286, 'modern': 0.38392857142857145}",0.9607694580407836,0.9607694580407836,1.9463476980577448,2,0.9463476980577448
