prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a stove in China,China,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.896, 'yes': 0.104}",0.4815485438118001,0.4815485438118001,1.3962415443979084,2,0.3962415443979084
A photo of a stove in China,China,Does the stove have a backguard or splash guard?,"{'no': 0.904, 'yes': 0.096}",0.4561861025695263,0.4561861025695263,1.3719102487578487,2,0.3719102487578487
A photo of a stove in China,China,Does the stove's oven door have a glass window?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in China,China,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.9458333333333333, 'built-in': 0.05416666666666667}",0.3038396666465523,0.3038396666465523,1.2344254118810634,2,0.2344254118810633
A photo of a stove in China,China,Is there a digital clock or timer display on the stove?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in China,China,Is there a range hood or vent above the stove?,"{'no': 0.98, 'yes': 0.02}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a stove in China,China,Is there an oven integrated below the cooktop?,"{'no': 0.9959677419354839, 'yes': 0.004032258064516129}",0.0378789466714906,0.0378789466714906,1.0266034021004022,2,0.0266034021004022
A photo of a stove in China,China,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.048, 'yes': 0.952}",0.2778395739583094,0.2778395739583094,1.212377996516553,2,0.2123779965165531
A photo of a stove in China,China,What is the primary color of the stove?,"{'cream': 0.01195219123505976, 'blue': 0.00398406374501992, 'green': 0.0, 'silver': 0.00398406374501992, 'white': 0.00398406374501992, 'red': 0.00796812749003984, 'gray': 0.27091633466135456, 'black': 0.6972111553784861}",1.1003710229633454,0.3667903409877818,2.1440982594739286,8,0.1634426084962755
A photo of a stove in China,China,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.816, 'none of the above': 0.18, 'stainless steel': 0.004}",0.7165516482740052,0.4520937548667397,1.6432496164082435,3,0.3216248082041217
A photo of a stove in China,China,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'none of the above': 0.29959514170040485, 'flat glass/ceramic top': 0.0, 'gas burners': 0.7004048582995951, 'electric coils': 0.0}",0.8807954403389464,0.4403977201694732,1.841390285258449,4,0.2804634284194829
A photo of a stove in Colombia,Colombia,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.7630522088353414, 'yes': 0.23694779116465864}",0.7899276128101341,0.7899276128101341,1.7289877085215517,2,0.7289877085215515
A photo of a stove in Colombia,Colombia,Does the stove have a backguard or splash guard?,"{'no': 0.596, 'yes': 0.404}",0.9732424074349136,0.9732424074349136,1.9632479728316257,2,0.9632479728316256
A photo of a stove in Colombia,Colombia,Does the stove's oven door have a glass window?,"{'no': 0.9914893617021276, 'yes': 0.00851063829787234}",0.0707494073971389,0.0707494073971389,1.0502621002060757,2,0.0502621002060756
A photo of a stove in Colombia,Colombia,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.416, 'built-in': 0.584}",0.9795438195294628,0.9795438195294628,1.9718418136118256,2,0.971841813611826
A photo of a stove in Colombia,Colombia,Is there a digital clock or timer display on the stove?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in Colombia,Colombia,Is there a range hood or vent above the stove?,"{'no': 0.652, 'yes': 0.348}",0.932269191548067,0.932269191548067,1.9082751317187612,2,0.9082751317187614
A photo of a stove in Colombia,Colombia,Is there an oven integrated below the cooktop?,"{'no': 0.984, 'yes': 0.016}",0.118350011408275,0.118350011408275,1.0854926906916853,2,0.0854926906916853
A photo of a stove in Colombia,Colombia,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.108, 'yes': 0.892}",0.4938537236995206,0.4938537236995206,1.4082014407139023,2,0.4082014407139023
A photo of a stove in Colombia,Colombia,What is the primary color of the stove?,"{'cream': 0.16030534351145037, 'blue': 0.0, 'green': 0.0, 'silver': 0.015267175572519083, 'white': 0.011450381679389313, 'red': 0.03816793893129771, 'gray': 0.3473282442748092, 'black': 0.42748091603053434}",1.8231765750631064,0.6077255250210355,3.538594812314165,8,0.3626564017591664
A photo of a stove in Colombia,Colombia,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.26, 'none of the above': 0.74, 'stainless steel': 0.0}",0.8267463724926178,0.5216188850628638,1.7736807677013762,3,0.3868403838506881
A photo of a stove in Colombia,Colombia,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'none of the above': 0.8693693693693694, 'flat glass/ceramic top': 0.0, 'gas burners': 0.13063063063063063, 'electric coils': 0.0}",0.559165158911191,0.2795825794555955,1.4734163520313808,4,0.1578054506771269
A photo of a stove in Egypt,Egypt,Are there multiple burners or heating zones visible on the cooktop?,"{'no': 0.84, 'yes': 0.16}",0.6343095546405662,0.6343095546405662,1.552194722472226,2,0.5521947224722259
A photo of a stove in Egypt,Egypt,Does the stove have a backguard or splash guard?,"{'no': 0.5823293172690763, 'yes': 0.41767068273092367}",0.9803531419522612,0.9803531419522612,1.9729482868814197,2,0.9729482868814194
A photo of a stove in Egypt,Egypt,Does the stove's oven door have a glass window?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in Egypt,Egypt,Is the stove freestanding or built into the surrounding counter?,"{'freestanding': 0.3024193548387097, 'built-in': 0.6975806451612904}",0.8842282250306477,0.8842282250306477,1.8457769521970575,2,0.8457769521970577
A photo of a stove in Egypt,Egypt,Is there a digital clock or timer display on the stove?,"{'no': 1.0, 'yes': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a stove in Egypt,Egypt,Is there a range hood or vent above the stove?,"{'no': 0.468, 'yes': 0.532}",0.9970433402104208,0.9970433402104208,1.995905396380224,2,0.995905396380224
A photo of a stove in Egypt,Egypt,Is there an oven integrated below the cooktop?,"{'no': 0.904, 'yes': 0.096}",0.4561861025695263,0.4561861025695263,1.3719102487578487,2,0.3719102487578487
A photo of a stove in Egypt,Egypt,"Is there any cookware, such as a pot or pan, on the stove?","{'no': 0.056, 'yes': 0.944}",0.3113573704292831,0.3113573704292831,1.2408746370836587,2,0.2408746370836587
A photo of a stove in Egypt,Egypt,What is the primary color of the stove?,"{'cream': 0.6198347107438017, 'blue': 0.008264462809917356, 'green': 0.004132231404958678, 'silver': 0.008264462809917356, 'white': 0.0, 'red': 0.008264462809917356, 'gray': 0.15289256198347106, 'black': 0.19834710743801653}",1.5091492780296822,0.5030497593432274,2.8464214311412435,8,0.2637744901630348
A photo of a stove in Egypt,Egypt,What is the primary material of the stove's body: stainless steel or enamel/painted metal?,"{'enamel/painted metal': 0.132, 'none of the above': 0.868, 'stainless steel': 0.0}",0.5628977911449632,0.3551489646530094,1.4772334041229542,3,0.2386167020614771
A photo of a stove in Egypt,Egypt,"What type of cooktop does the stove have: gas burners, electric coils, or a flat glass/ceramic top?","{'none of the above': 0.9363057324840764, 'flat glass/ceramic top': 0.0, 'gas burners': 0.06369426751592357, 'electric coils': 0.0}",0.3419384836698487,0.1709692418349243,1.2674584766164971,4,0.0891528255388323
