prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a chair in China,China,Does the chair have a backrest?,"{'yes': 0.992, 'no': 0.008}",0.0672215447583068,0.0672215447583068,1.0476970023725325,2,0.0476970023725324
A photo of a chair in China,China,Does the chair have armrests?,"{'yes': 0.812, 'no': 0.188}",0.6972688157923281,0.6972688157923281,1.621432331342122,2,0.621432331342122
A photo of a chair in China,China,Does the chair have multiple distinct legs or a single central base?,"{'multiple distinct legs': 1.0, 'a single central base': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in China,China,Does the chair have wheels?,"{'yes': 0.004, 'no': 0.996}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a chair in China,China,"Is the backrest of the chair solid, slatted, or woven?","{'woven': 0.19879518072289157, 'solid': 0.7349397590361446, 'slatted': 0.06626506024096386}",1.049324317331796,0.6620499329506878,2.069560347178818,3,0.5347801735894093
A photo of a chair in China,China,Is the chair designed for a single person or multiple people?,"{'multiple people': 0.012, 'single person': 0.988}",0.0937779098477716,0.0937779098477716,1.0671610453823115,2,0.0671610453823117
A photo of a chair in China,China,Is the chair's backrest straight or curved?,"{'straight': 0.46586345381526106, 'curved': 0.5341365461847389}",0.9966350270220706,0.9966350270220706,1.99534059289844,2,0.9953405928984396
A photo of a chair in China,China,Is the chair's seat primarily square or round?,"{'square': 0.967479674796748, 'round': 0.032520325203252036}",0.2068778075047253,0.2068778075047253,1.1541876567021652,2,0.1541876567021651
A photo of a chair in China,China,Is the seat of the chair cushioned or hard?,"{'cushioned': 0.606425702811245, 'hard': 0.39357429718875503}",0.9670674727854413,0.9670674727854413,1.9548629568306872,2,0.9548629568306872
A photo of a chair in China,China,What is the primary color of the chair?,"{'white': 0.03007518796992481, 'green': 0.07142857142857142, 'orange': 0.011278195488721804, 'black': 0.022556390977443608, 'purple': 0.0, 'red': 0.4849624060150376, 'brown': 0.24812030075187969, 'gray': 0.0037593984962406013, 'blue': 0.06390977443609022, 'yellow': 0.06390977443609022}",2.163074353953492,0.6511502633914884,4.478682372045581,10,0.3865202635606201
A photo of a chair in China,China,"What is the primary material of the chair (e.g., wood, metal, plastic, fabric, woven)?","{'wood': 0.5753424657534246, 'metal': 0.023972602739726026, 'leather': 0.0136986301369863, 'plastic': 0.1506849315068493, 'stone': 0.0, 'fabric': 0.2363013698630137}",1.5759067841575185,0.6096439633912948,2.9812281433723697,6,0.3962456286744739
A photo of a chair in Colombia,Colombia,Does the chair have a backrest?,"{'yes': 0.996, 'no': 0.004}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a chair in Colombia,Colombia,Does the chair have armrests?,"{'yes': 0.78, 'no': 0.22}",0.7601675029619657,0.7601675029619657,1.6936872575238315,2,0.6936872575238315
A photo of a chair in Colombia,Colombia,Does the chair have multiple distinct legs or a single central base?,"{'multiple distinct legs': 1.0, 'a single central base': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in Colombia,Colombia,Does the chair have wheels?,"{'yes': 0.004, 'no': 0.996}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a chair in Colombia,Colombia,"Is the backrest of the chair solid, slatted, or woven?","{'woven': 0.4520547945205479, 'solid': 0.365296803652968, 'slatted': 0.182648401826484}",1.4965328277547587,0.9442070882269064,2.8216378385697065,3,0.9108189192848531
A photo of a chair in Colombia,Colombia,Is the chair designed for a single person or multiple people?,"{'multiple people': 0.0, 'single person': 1.0}",-0.0,-0.0,1.0,2,0.0
