prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a car in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.06477732793522267, 'moderately busy': 0.5789473684210527, 'crowded': 0.3562753036437247}",1.242733289886735,0.7840774083432843,2.3664645162759257,3,0.6832322581379628
A photo of a car in China,China,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9906976744186047, 'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'moderate (some houses/buildings, not crowded)': 0.009302325581395349}",0.0761316909471181,0.0480337490082436,1.0541876464215514,3,0.0270938232107756
A photo of a car in China,China,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.9563492063492064, 'waterbody': 0.0, 'open ground / fields': 0.0, 'mountains / hills': 0.04365079365079365}",0.2587875511331266,0.1293937755665633,1.1964727596731388,4,0.0654909198910462
A photo of a car in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.7, 'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.3}",0.8812908992306927,0.5560326498763891,1.8420227750373133,3,0.4210113875186566
A photo of a car in China,China,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.3093385214007782, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.4805447470817121, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.21011673151750973}",1.504607143891772,0.9493014145174902,2.837473942878777,3,0.9187369714393884
A photo of a car in China,China,What type of road or terrain is visible?,"{'paved road': 0.992, 'tiled / courtyard-style surface': 0.008, 'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.0}",0.0672215447583068,0.0336107723791534,1.0476970023725325,4,0.0158990007908441
A photo of a car in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.292, 'moderately busy': 0.628, 'crowded': 0.08}",1.2315794355741911,0.7770401097904991,2.348239300249955,3,0.6741196501249775
A photo of a car in Colombia,Colombia,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9336734693877551, 'sparse / open (fields, wide spaces, few or no buildings)': 0.01020408163265306, 'moderate (some houses/buildings, not crowded)': 0.05612244897959184}",0.3931444450795447,0.2480465278520245,1.3132526039248682,3,0.1566263019624341
A photo of a car in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.7302052785923754, 'waterbody': 0.0, 'open ground / fields': 0.002932551319648094, 'mountains / hills': 0.2668621700879765}",0.8645083004522267,0.4322541502261133,1.8207190236857904,4,0.2735730078952634
A photo of a car in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.948, 'natural (trees, sky, soil, water, mountains)': 0.02, 'built structures (walls, windows, houses, buildings, fences)': 0.032}",0.3448171228087902,0.217555382320969,1.2699899873762406,3,0.1349949936881203
A photo of a car in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.5458515283842795, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.45414847161572053}",0.9939253327719024,0.6270970652742054,1.9915964276943008,3,0.4957982138471503
A photo of a car in Colombia,Colombia,What type of road or terrain is visible?,"{'paved road': 0.8461538461538461, 'tiled / courtyard-style surface': 0.0, 'dirt / gravel road (man-made)': 0.1258741258741259, 'natural ground / grass (wild, non-constructed)': 0.027972027972027972}",0.7246188770847701,0.362309438542385,1.652464040153879,4,0.2174880133846263
A photo of a car in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.7, 'moderately busy': 0.208, 'crowded': 0.092}",1.1480773450488646,0.7243561563926533,2.216183505472696,3,0.6080917527363479
A photo of a car in Egypt,Egypt,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.4205607476635514, 'sparse / open (fields, wide spaces, few or no buildings)': 0.4205607476635514, 'moderate (some houses/buildings, not crowded)': 0.1588785046728972}",1.4727413137756658,0.9291963141749854,2.775487727292573,3,0.8877438636462864
A photo of a car in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.30687830687830686, 'waterbody': 0.0, 'open ground / fields': 0.5555555555555556, 'mountains / hills': 0.13756613756613756}",1.3877973991204882,0.6938986995602441,2.616788635646304,4,0.5389295452154346
A photo of a car in Egypt,Egypt,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.784, 'natural (trees, sky, soil, water, mountains)': 0.08, 'built structures (walls, windows, houses, buildings, fences)': 0.136}",0.9582025728747284,0.604558513175389,1.9428877782774252,3,0.4714438891387127
A photo of a car in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.02564102564102564, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.8397435897435898, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.1346153846153846}",0.736574788863787,0.4647269500247775,1.6662152518211166,3,0.3331076259105583
A photo of a car in Egypt,Egypt,What type of road or terrain is visible?,"{'paved road': 0.22525597269624573, 'tiled / courtyard-style surface': 0.0, 'dirt / gravel road (man-made)': 0.3822525597269625, 'natural ground / grass (wild, non-constructed)': 0.3924914675767918}",1.5442956974027506,0.7721478487013753,2.916616491402046,4,0.638872163800682
A photo of a car in India,India,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.17408906882591094, 'moderately busy': 0.5789473684210527, 'crowded': 0.24696356275303644}",1.3938491619375686,0.8794209082570527,2.6277884968235394,3,0.8138942484117697
A photo of a car in India,India,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.8833922261484098, 'waterbody': 0.0, 'open ground / fields': 0.10247349823321555, 'mountains / hills': 0.014134275618374558}",0.5816634724282733,0.2908317362141366,1.4965738505620512,4,0.165524616854017
A photo of a car in India,India,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.852, 'natural (trees, sky, soil, water, mountains)': 0.14, 'built structures (walls, windows, houses, buildings, fences)': 0.008}",0.6497120658573776,0.4099226736037978,1.568855051294986,3,0.2844275256474929
A photo of a car in India,India,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.020588235294117647, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.6794117647058824, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.3}",1.015294177600628,0.6405793052760997,2.0213150140134117,3,0.5106575070067056
A photo of a car in India,India,What type of road or terrain is visible?,"{'paved road': 0.4750830564784053, 'tiled / courtyard-style surface': 0.0, 'dirt / gravel road (man-made)': 0.4584717607973422, 'natural ground / grass (wild, non-constructed)': 0.0664451827242525}",1.2858570917349703,0.6429285458674852,2.438268649926453,4,0.4794228833088176
A photo of a car in Indonesia,Indonesia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.18699186991869918, 'moderately busy': 0.6463414634146342, 'crowded': 0.16666666666666666}",1.2901085213629124,0.8139678514639397,2.44546449942765,3,0.7227322497138251
A photo of a car in Indonesia,Indonesia,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9090909090909091, 'sparse / open (fields, wide spaces, few or no buildings)': 0.006060606060606061, 'moderate (some houses/buildings, not crowded)': 0.08484848484848485}",0.4716205628325516,0.2975594454871738,1.386666219905501,3,0.1933331099527506
A photo of a car in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.9157509157509157, 'waterbody': 0.0, 'open ground / fields': 0.003663003663003663, 'mountains / hills': 0.08058608058608059}",0.4387147717786719,0.2193573858893359,1.35539633149086,4,0.1184654438302867
A photo of a car in Indonesia,Indonesia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.948, 'natural (trees, sky, soil, water, mountains)': 0.024, 'built structures (walls, windows, houses, buildings, fences)': 0.028}",0.3466106468716168,0.2186869700159526,1.2715697904192689,3,0.1357848952096344
A photo of a car in Indonesia,Indonesia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.013071895424836602, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.5403050108932462, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.4466230936819172}",1.081034699886818,0.6820569568017845,2.115552810173421,3,0.5577764050867104
A photo of a car in Indonesia,Indonesia,What type of road or terrain is visible?,"{'paved road': 0.9377431906614786, 'tiled / courtyard-style surface': 0.0038910505836575876, 'dirt / gravel road (man-made)': 0.05058365758754864, 'natural ground / grass (wild, non-constructed)': 0.007782101167315175}",0.3904025788932752,0.1952012894466376,1.310759115475713,4,0.1035863718252376
A photo of a car in Italy,Italy,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.724, 'moderately busy': 0.252, 'crowded': 0.024}",0.9675822216745598,0.6104764126812533,1.9555605700088088,3,0.4777802850044044
A photo of a car in Italy,Italy,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 1.0, 'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'moderate (some houses/buildings, not crowded)': 0.0}",-0.0,-0.0,1.0,3,0.0
A photo of a car in Italy,Italy,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.9310344827586207, 'waterbody': 0.009852216748768473, 'open ground / fields': 0.0, 'mountains / hills': 0.059113300492610835}",0.4028562709465723,0.2014281354732861,1.3221228815759216,4,0.1073742938586405
A photo of a car in Italy,Italy,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.36, 'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.64}",0.9426831892554922,0.5947668722929234,1.9220997241070776,3,0.4610498620535389
A photo of a car in Italy,Italy,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.9104477611940298, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.08955223880597014}",0.4349734800747426,0.2744377105936766,1.3518859821457787,3,0.1759429910728893
A photo of a car in Italy,Italy,What type of road or terrain is visible?,"{'paved road': 0.32, 'tiled / courtyard-style surface': 0.68, 'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.0}",0.9043814577244936,0.4521907288622468,1.8717418306597016,4,0.2905806102199006
A photo of a car in Japan,Japan,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.3643724696356275, 'moderately busy': 0.6032388663967612, 'crowded': 0.032388663967611336}",1.130865659849727,0.7134967920914119,2.1899010139929014,3,0.5949505069964507
A photo of a car in Japan,Japan,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9743589743589743, 'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'moderate (some houses/buildings, not crowded)': 0.02564102564102564}",0.1720369493531137,0.1085432300605453,1.1266480830948178,3,0.0633240415474089
A photo of a car in Japan,Japan,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.8984962406015038, 'waterbody': 0.0, 'open ground / fields': 0.0, 'mountains / hills': 0.10150375939849623}",0.4737443540507664,0.2368721770253832,1.38870903434678,4,0.1295696781155933
A photo of a car in Japan,Japan,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.484, 'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.516}",0.999261214022784,0.6304636315169106,1.9989760873544773,3,0.4994880436772387
A photo of a car in Japan,Japan,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.02564102564102564, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.532051282051282, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.4423076923076923}",1.140424909121938,0.7195280068790562,2.204459403585587,3,0.6022297017927936
A photo of a car in Japan,Japan,What type of road or terrain is visible?,"{'paved road': 1.0, 'tiled / courtyard-style surface': 0.0, 'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.0}",-0.0,-0.0,1.0,4,0.0
A photo of a car in Mexico,Mexico,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.6122448979591837, 'moderately busy': 0.363265306122449, 'crowded': 0.024489795918367346}",1.095116086207801,0.690941322403227,2.1363027064091047,3,0.5681513532045523
A photo of a car in Mexico,Mexico,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.9656862745098039, 'sparse / open (fields, wide spaces, few or no buildings)': 0.0, 'moderate (some houses/buildings, not crowded)': 0.03431372549019608}",0.2155837101709595,0.136018177132184,1.1611736267898785,3,0.0805868133949392
A photo of a car in Mexico,Mexico,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.9653679653679653, 'waterbody': 0.0, 'open ground / fields': 0.025974025974025976, 'mountains / hills': 0.008658008658008658}",0.2452102851972052,0.1226051425986026,1.1852655209843337,4,0.0617551736614445
A photo of a car in Mexico,Mexico,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.716, 'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.284}",0.8608440062015498,0.54313209669621,1.8161004559468843,3,0.4080502279734421
