prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a bag in China,China,"Does the bag have a zipper, buckle, or flap closure?","{'none of the above': 0.7913669064748201, 'flap': 0.05755395683453238, 'buckle': 0.007194244604316547, 'zipper': 0.14388489208633093}",0.957875386497178,0.478937693248589,1.9424472039921676,4,0.3141490679973891
A photo of a bag in China,China,Does the bag have any visible external pockets or compartments?,"{'yes': 0.112, 'no': 0.888}",0.5059192440727412,0.5059192440727412,1.420027869203235,2,0.4200278692032351
A photo of a bag in China,China,"Does the bag have handles, a shoulder strap, or both?","{'shoulder strap': 0.1875, 'both': 0.26171875, 'handles': 0.55078125}",1.4328792324862651,0.9040461410502184,2.699849957259464,3,0.849924978629732
A photo of a bag in China,China,Is a brand logo or label visible on the bag?,"{'yes': 0.508, 'no': 0.492}",0.9998153271549208,0.9998153271549208,1.9997440054609137,2,0.9997440054609136
A photo of a bag in China,China,"Is the bag a backpack, handbag, or tote bag?","{'backpack': 0.14233576642335766, 'tote bag': 0.7408759124087592, 'handbag': 0.11678832116788321}",1.0827259598794374,0.6831240230521533,2.118034310247628,3,0.5590171551238137
A photo of a bag in China,China,"Is the bag being carried by a person, placed on a surface, or hanging?","{'hanging': 0.06390977443609022, 'carried by a person': 0.868421052631579, 'placed on a surface': 0.06766917293233082}",0.6932540637180066,0.4373946155840134,1.616926459029403,3,0.3084632295147015
A photo of a bag in China,China,"Is the bag made of fabric, leather, or plastic?","{'leather': 0.19117647058823528, 'fabric': 0.6764705882352942, 'plastic': 0.1323529411764706}",1.223949733493904,0.77222630373716,2.335853401800999,3,0.6679267009004994
A photo of a bag in China,China,Is the bag's surface a solid color or patterned?,"{'solid color': 0.4198473282442748, 'patterned': 0.5801526717557252}",0.9813827323346352,0.9813827323346352,1.9743567990981887,2,0.9743567990981892
A photo of a bag in China,China,"Is the bag’s overall shape best described as rectangular, circular, trapezoidal, or non-geometric/unstructured?","{'circular': 0.0038910505836575876, 'trapezoidal': 0.23735408560311283, 'unstructured': 0.33852140077821014, 'rectangular': 0.42023346303501946}",1.578235786688703,0.7891178933443515,2.9860447505769887,4,0.6620149168589963
A photo of a bag in China,China,What is the main color of the bag?,"{'yellow': 0.04861111111111111, 'brown': 0.1423611111111111, 'purple': 0.003472222222222222, 'gray': 0.003472222222222222, 'blue': 0.0763888888888889, 'pink': 0.059027777777777776, 'red': 0.3958333333333333, 'black': 0.08680555555555555, 'white': 0.125, 'green': 0.034722222222222224, 'orange': 0.024305555555555556}",2.7025954985819896,0.7812252984051083,6.5097200357598775,11,0.5509720035759877
