prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a plate of food in China,China,Are any vegetables visible on the plate?,"{'no': 0.076, 'yes': 0.924}",0.3879256793719373,0.3879256793719373,1.3085106616169009,2,0.3085106616169009
A photo of a plate of food in China,China,Are there smaller dishes or bowls visible along with the main plate of food?,"{'no': 0.044, 'yes': 0.956}",0.2603406250124503,0.2603406250124503,1.197761466632466,2,0.1977614666324658
A photo of a plate of food in China,China,Is a sauce or liquid topping visible on the food?,"{'no': 0.0, 'yes': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a plate of food in China,China,"Is any cutlery (e.g., fork, knife, spoon) visible next to the plate?","{'no': 0.714859437751004, 'yes': 0.285140562248996}",0.862360983486349,0.862360983486349,1.8180110690597335,2,0.8180110690597338
A photo of a plate of food in China,China,Is more than half of the plate's surface covered by food?,"{'no': 0.02, 'yes': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a plate of food in China,China,"Is the food on the plate solid, liquid, or a mix of both?","{'liquid': 0.0, 'a mix of both': 0.984, 'solid': 0.016}",0.118350011408275,0.0746705435330021,1.0854926906916853,3,0.0427463453458426
A photo of a plate of food in China,China,"Is the food on the plate topped with any garnish, like fresh herbs or seeds?","{'no': 0.408, 'yes': 0.592}",0.9754383526853788,0.9754383526853788,1.966238534010851,2,0.966238534010851
A photo of a plate of food in China,China,Is the plate a single solid color?,"{'no': 0.64, 'yes': 0.36}",0.9426831892554922,0.9426831892554922,1.9220997241070776,2,0.922099724107078
A photo of a plate of food in China,China,"Is the plate made up of a single kind of food (e.g., only cookies) or multiple different types (e.g., rice, curry, and vegetables)?","{'multiple': 0.892, 'single': 0.108}",0.4938537236995206,0.4938537236995206,1.4082014407139023,2,0.4082014407139023
A photo of a plate of food in China,China,"Is the plate of food on a table, placemat, or countertop?","{'placemat': 0.06896551724137931, 'countertop': 0.0, 'table': 0.9310344827586207}",0.362051251733998,0.228428907036769,1.2852519952289732,3,0.1426259976144865
A photo of a plate of food in China,China,Is the plate primarily white or black?,"{'black': 0.03070175438596491, 'white': 0.9692982456140351}",0.1978990050423311,0.1978990050423311,1.147026724532127,2,0.147026724532127
A photo of a plate of food in China,China,Is the plate round or square?,"{'round': 0.9878048780487805, 'square': 0.012195121951219513}",0.0950172456710763,0.0950172456710763,1.0680781755519222,2,0.0680781755519222
A photo of a plate of food in China,China,"Is there any food item on the plate that visually resembles meat, fish, or eggs?","{'no': 0.0, 'yes': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a plate of food in China,China,"Is there any food item on the plate that visually resembles rice, bread, pasta, or potatoes?","{'no': 0.508, 'yes': 0.492}",0.9998153271549208,0.9998153271549208,1.9997440054609137,2,0.9997440054609136
A photo of a plate of food in Colombia,Colombia,Are any vegetables visible on the plate?,"{'no': 0.016, 'yes': 0.984}",0.118350011408275,0.118350011408275,1.0854926906916853,2,0.0854926906916853
A photo of a plate of food in Colombia,Colombia,Are there smaller dishes or bowls visible along with the main plate of food?,"{'no': 0.312, 'yes': 0.688}",0.8954686411420223,0.8954686411420223,1.8602140539779497,2,0.8602140539779497
