prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a storefront in China,China,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'yes': 0.808, 'no': 0.192}",0.7056366064601749,0.7056366064601749,1.6308641443841274,2,0.6308641443841274
A photo of a storefront in China,China,Are there any lights on inside or on the exterior of the storefront?,"{'yes': 0.936, 'no': 0.064}",0.3431229071320203,0.3431229071320203,1.2684994616574572,2,0.2684994616574572
A photo of a storefront in China,China,Are there any signs or logos identifying the store visible on the storefront?,"{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in China,China,Are there products or displays visible in the storefront window?,"{'yes': 0.9799196787148594, 'no': 0.020080321285140562}",0.1418912861251851,0.1418912861251851,1.1033505942388104,2,0.1033505942388104
A photo of a storefront in China,China,Does the storefront have an awning or a canopy?,"{'yes': 0.532, 'no': 0.468}",0.9970433402104208,0.9970433402104208,1.995905396380224,2,0.995905396380224
A photo of a storefront in China,China,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.33157894736842103, 'glass': 0.6052631578947368, 'wood': 0.031578947368421054, 'brick': 0.031578947368421054}",1.2813317080796227,0.6406658540398114,2.4306323766896663,4,0.4768774588965554
A photo of a storefront in China,China,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.02564102564102564, 'open': 0.9273504273504274, 'closed': 0.04700854700854701}",0.4437829236441343,0.2799958506540145,1.36016617842885,3,0.1800830892144249
A photo of a storefront in China,China,"Is the storefront entrance a single door, double doors, or a revolving door?","{'none of the above': 0.453125, 'revolving door': 0.0, 'single door': 0.19791666666666666, 'double doors': 0.3489583333333333}",1.5100390350421646,0.7550195175210823,2.8481774533727497,4,0.6160591511242499
A photo of a storefront in China,China,Is the storefront part of a larger building or a standalone structure?,"{'part of a larger building': 1.0, 'standalone structure': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in China,China,Is there a sidewalk in front of the storefront?,"{'yes': 0.952, 'no': 0.048}",0.2778395739583094,0.2778395739583094,1.212377996516553,2,0.2123779965165531
A photo of a storefront in China,China,Is there an 'Open' or 'Closed' sign on the storefront?,"{'yes': 0.004, 'no': 0.996}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a storefront in China,China,What is the primary color of the storefront's facade?,"{'brown': 0.0, 'pink': 0.01195219123505976, 'orange': 0.0, 'beige': 0.00796812749003984, 'yellow': 0.01195219123505976, 'purple': 0.0, 'blue': 0.0, 'red': 0.9561752988047809, 'gray': 0.00398406374501992, 'green': 0.00398406374501992, 'white': 0.00398406374501992}",0.3653143987700094,0.1055995432318763,1.288162321209539,11,0.0288162321209539
A photo of a storefront in Colombia,Colombia,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'yes': 0.764, 'no': 0.236}",0.7883249003933805,0.7883249003933805,1.7270680156220035,2,0.7270680156220035
A photo of a storefront in Colombia,Colombia,Are there any lights on inside or on the exterior of the storefront?,"{'yes': 0.34, 'no': 0.66}",0.92481870497303,0.92481870497303,1.8984456603756208,2,0.8984456603756208
A photo of a storefront in Colombia,Colombia,Are there any signs or logos identifying the store visible on the storefront?,"{'yes': 0.40160642570281124, 'no': 0.5983935742971888}",0.9718825403960546,0.9718825403960546,1.96139831071532,2,0.96139831071532
A photo of a storefront in Colombia,Colombia,Are there products or displays visible in the storefront window?,"{'yes': 0.944, 'no': 0.056}",0.3113573704292831,0.3113573704292831,1.2408746370836587,2,0.2408746370836587
A photo of a storefront in Colombia,Colombia,Does the storefront have an awning or a canopy?,"{'yes': 0.768, 'no': 0.232}",0.7814814932386422,0.7814814932386422,1.7188950879858442,2,0.7188950879858442
A photo of a storefront in Colombia,Colombia,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.6484018264840182, 'glass': 0.3013698630136986, 'wood': 0.0365296803652968, 'brick': 0.0136986301369863}",1.1859788844893642,0.5929894422446821,2.2751771556520306,4,0.4250590518840102
A photo of a storefront in Colombia,Colombia,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.061946902654867256, 'open': 0.9026548672566371, 'closed': 0.035398230088495575}",0.5525783488267295,0.3486381214541713,1.4667046131559094,3,0.2333523065779547
A photo of a storefront in Colombia,Colombia,"Is the storefront entrance a single door, double doors, or a revolving door?","{'none of the above': 0.3853658536585366, 'revolving door': 0.0, 'single door': 0.4097560975609756, 'double doors': 0.2048780487804878}",1.5261597366951292,0.7630798683475646,2.880181516068183,4,0.6267271720227278
A photo of a storefront in Colombia,Colombia,Is the storefront part of a larger building or a standalone structure?,"{'part of a larger building': 1.0, 'standalone structure': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in Colombia,Colombia,Is there a sidewalk in front of the storefront?,"{'yes': 0.932, 'no': 0.068}",0.3584153246392747,0.3584153246392747,1.282016939491634,2,0.2820169394916338
A photo of a storefront in Colombia,Colombia,Is there an 'Open' or 'Closed' sign on the storefront?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in Colombia,Colombia,What is the primary color of the storefront's facade?,"{'brown': 0.0, 'pink': 0.08163265306122448, 'orange': 0.22040816326530613, 'beige': 0.04081632653061224, 'yellow': 0.42857142857142855, 'purple': 0.0, 'blue': 0.0653061224489796, 'red': 0.11020408163265306, 'gray': 0.0163265306122449, 'green': 0.02040816326530612, 'white': 0.0163265306122449}",2.404355692670973,0.6950146607083597,5.29399081827028,11,0.429399081827028
A photo of a storefront in Egypt,Egypt,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'yes': 0.748, 'no': 0.252}",0.8144326879441559,0.8144326879441559,1.758606477712301,2,0.7586064777123009
A photo of a storefront in Egypt,Egypt,Are there any lights on inside or on the exterior of the storefront?,"{'yes': 0.184, 'no': 0.816}",0.6887498056988564,0.6887498056988564,1.611886103081181,2,0.6118861030811811
A photo of a storefront in Egypt,Egypt,Are there any signs or logos identifying the store visible on the storefront?,"{'yes': 0.872, 'no': 0.128}",0.5519275534566073,0.5519275534566073,1.4660431363466553,2,0.4660431363466553
A photo of a storefront in Egypt,Egypt,Are there products or displays visible in the storefront window?,"{'yes': 0.8714859437751004, 'no': 0.1285140562248996}",0.5533488499779122,0.5533488499779122,1.467488146328604,2,0.467488146328604
A photo of a storefront in Egypt,Egypt,Does the storefront have an awning or a canopy?,"{'yes': 0.672, 'no': 0.328}",0.9128699190400288,0.9128699190400288,1.8827871594527168,2,0.8827871594527168
A photo of a storefront in Egypt,Egypt,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.6507936507936508, 'glass': 0.11904761904761904, 'wood': 0.023809523809523808, 'brick': 0.20634920634920634}",1.367050213288468,0.683525106644234,2.579426277195159,4,0.5264754257317197
A photo of a storefront in Egypt,Egypt,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.013043478260869565, 'open': 0.9826086956521739, 'closed': 0.004347826086956522}",0.140640776996567,0.0887344507725423,1.1023946387879242,3,0.0511973193939621
A photo of a storefront in Egypt,Egypt,"Is the storefront entrance a single door, double doors, or a revolving door?","{'none of the above': 0.4724770642201835, 'revolving door': 0.0, 'single door': 0.25229357798165136, 'double doors': 0.27522935779816515}",1.524616552849225,0.7623082764246125,2.877102366842091,4,0.6257007889473637
A photo of a storefront in Egypt,Egypt,Is the storefront part of a larger building or a standalone structure?,"{'part of a larger building': 1.0, 'standalone structure': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in Egypt,Egypt,Is there a sidewalk in front of the storefront?,"{'yes': 0.868, 'no': 0.132}",0.5628977911449632,0.5628977911449632,1.4772334041229542,2,0.4772334041229542
A photo of a storefront in Egypt,Egypt,Is there an 'Open' or 'Closed' sign on the storefront?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in Egypt,Egypt,What is the primary color of the storefront's facade?,"{'brown': 0.07480314960629922, 'pink': 0.007874015748031496, 'orange': 0.1377952755905512, 'beige': 0.5393700787401575, 'yellow': 0.14173228346456693, 'purple': 0.0, 'blue': 0.027559055118110236, 'red': 0.05905511811023622, 'gray': 0.0, 'green': 0.011811023622047244, 'white': 0.0}",2.0682399833992844,0.5978554315850254,4.193747448006217,11,0.3193747448006217
A photo of a storefront in India,India,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'yes': 0.824, 'no': 0.176}",0.6712478853829508,0.6712478853829508,1.5924497904542831,2,0.5924497904542831
A photo of a storefront in India,India,Are there any lights on inside or on the exterior of the storefront?,"{'yes': 0.06, 'no': 0.94}",0.3274449191544762,0.3274449191544762,1.2547891148657844,2,0.2547891148657843
A photo of a storefront in India,India,Are there any signs or logos identifying the store visible on the storefront?,"{'yes': 0.86, 'no': 0.14}",0.584238811642856,0.584238811642856,1.499247754121369,2,0.4992477541213687
A photo of a storefront in India,India,Are there products or displays visible in the storefront window?,"{'yes': 0.796, 'no': 0.204}",0.7298563169471574,0.7298563169471574,1.658473910177218,2,0.6584739101772179
A photo of a storefront in India,India,Does the storefront have an awning or a canopy?,"{'yes': 0.38, 'no': 0.62}",0.9580420222262996,0.9580420222262996,1.94267157559583,2,0.94267157559583
A photo of a storefront in India,India,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.7304347826086957, 'glass': 0.0391304347826087, 'wood': 0.05652173913043478, 'brick': 0.17391304347826086}",1.1871357371568048,0.5935678685784024,2.277002281715874,4,0.4256674272386247
A photo of a storefront in India,India,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.0811965811965812, 'open': 0.8333333333333334, 'closed': 0.08547008547008547}",0.816610036530629,0.5152235691122486,1.7612626109604432,3,0.3806313054802216
A photo of a storefront in India,India,"Is the storefront entrance a single door, double doors, or a revolving door?","{'none of the above': 0.6055555555555555, 'revolving door': 0.0, 'single door': 0.2111111111111111, 'double doors': 0.18333333333333332}",1.3606400804942849,0.6803200402471424,2.567990882906789,4,0.5226636276355964
A photo of a storefront in India,India,Is the storefront part of a larger building or a standalone structure?,"{'part of a larger building': 1.0, 'standalone structure': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in India,India,Is there a sidewalk in front of the storefront?,"{'yes': 0.8353413654618473, 'no': 0.1646586345381526}",0.6453389057119019,0.6453389057119019,1.5641066698086452,2,0.5641066698086452
A photo of a storefront in India,India,Is there an 'Open' or 'Closed' sign on the storefront?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in India,India,What is the primary color of the storefront's facade?,"{'brown': 0.015748031496062992, 'pink': 0.11023622047244094, 'orange': 0.12598425196850394, 'beige': 0.08661417322834646, 'yellow': 0.18110236220472442, 'purple': 0.0, 'blue': 0.15354330708661418, 'red': 0.25196850393700787, 'gray': 0.027559055118110236, 'green': 0.031496062992125984, 'white': 0.015748031496062992}",2.884041165526942,0.8336748586066843,7.382150578804096,11,0.6382150578804097
A photo of a storefront in Indonesia,Indonesia,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'yes': 0.9036144578313253, 'no': 0.0963855421686747}",0.4574321808988395,0.4574321808988395,1.373095701025402,2,0.3730957010254019
A photo of a storefront in Indonesia,Indonesia,Are there any lights on inside or on the exterior of the storefront?,"{'yes': 0.216, 'no': 0.784}",0.7527960664084545,0.7527960664084545,1.6850554494825192,2,0.6850554494825192
A photo of a storefront in Indonesia,Indonesia,Are there any signs or logos identifying the store visible on the storefront?,"{'yes': 0.824, 'no': 0.176}",0.6712478853829508,0.6712478853829508,1.5924497904542831,2,0.5924497904542831
A photo of a storefront in Indonesia,Indonesia,Are there products or displays visible in the storefront window?,"{'yes': 0.868, 'no': 0.132}",0.5628977911449632,0.5628977911449632,1.4772334041229542,2,0.4772334041229542
A photo of a storefront in Indonesia,Indonesia,Does the storefront have an awning or a canopy?,"{'yes': 0.5582329317269076, 'no': 0.44176706827309237}",0.990193186701494,0.990193186701494,1.9864509723930632,2,0.9864509723930632
A photo of a storefront in Indonesia,Indonesia,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.6934673366834171, 'glass': 0.1658291457286432, 'wood': 0.10050251256281408, 'brick': 0.04020100502512563}",1.3156198824935808,0.6578099412467904,2.489092564777732,4,0.4963641882592438
A photo of a storefront in Indonesia,Indonesia,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.02666666666666667, 'open': 0.9422222222222222, 'closed': 0.03111111111111111}",0.3760905431009109,0.2372867136792133,1.297820215184343,3,0.1489101075921715
