prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a bag in China,China,"Does the bag have a zipper, buckle, or flap closure?","{'none of the above': 0.36507936507936506, 'zipper': 0.3386243386243386, 'buckle': 0.09523809523809523, 'flap': 0.20105820105820105}",1.848125582662811,0.9240627913314052,3.600321103652571,4,0.8667737012175237
A photo of a bag in China,China,Does the bag have any visible external pockets or compartments?,"{'no': 0.82, 'yes': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a bag in China,China,"Does the bag have handles, a shoulder strap, or both?","{'shoulder strap': 0.0794979079497908, 'handles': 0.7280334728033473, 'both': 0.19246861924686193}",1.081341113371002,0.6822502821858518,2.116002179397772,3,0.5580010896988858
A photo of a bag in China,China,Is a brand logo or label visible on the bag?,"{'no': 0.32, 'yes': 0.68}",0.9043814577244936,0.9043814577244936,1.8717418306597016,2,0.8717418306597018
A photo of a bag in China,China,"Is the bag a backpack, handbag, or tote bag?","{'tote bag': 0.5428571428571428, 'backpack': 0.004081632653061225, 'handbag': 0.4530612244897959}",1.0283411019147335,0.648810998018464,2.039677557768841,3,0.5198387788844205
A photo of a bag in China,China,"Is the bag being carried by a person, placed on a surface, or hanging?","{'hanging': 0.16334661354581673, 'carried by a person': 0.09163346613545817, 'placed on a surface': 0.7450199203187251}",1.059309206629494,0.6683496966947228,2.083933450659336,3,0.5419667253296678
A photo of a bag in China,China,"Is the bag made of fabric, leather, or plastic?","{'plastic': 0.13793103448275862, 'leather': 0.3, 'fabric': 0.5620689655172414}",1.382474962173557,0.8722445872028723,2.6071524807822457,3,0.8035762403911229
A photo of a bag in China,China,Is the bag's surface a solid color or patterned?,"{'solid color': 0.5, 'patterned': 0.5}",1.0,1.0,2.0,2,1.0
A photo of a bag in China,China,"Is the bag’s overall shape best described as rectangular, circular, trapezoidal, or non-geometric/unstructured?","{'rectangular': 0.54, 'unstructured': 0.168, 'circular': 0.0, 'trapezoidal': 0.292}",1.4309657640348417,0.7154828820174208,2.6962714786754747,4,0.5654238262251582
A photo of a bag in China,China,What is the main color of the bag?,"{'gray': 0.027450980392156862, 'white': 0.403921568627451, 'purple': 0.0, 'orange': 0.06274509803921569, 'brown': 0.20784313725490197, 'pink': 0.01568627450980392, 'green': 0.027450980392156862, 'black': 0.047058823529411764, 'blue': 0.00392156862745098, 'yellow': 0.03529411764705882, 'red': 0.16862745098039217}",2.470939449508456,0.7142616828141793,5.544046851840807,11,0.4544046851840806
A photo of a bag in Colombia,Colombia,"Does the bag have a zipper, buckle, or flap closure?","{'none of the above': 0.4589041095890411, 'zipper': 0.4657534246575342, 'buckle': 0.0410958904109589, 'flap': 0.03424657534246575}",1.3850652133700336,0.6925326066850168,2.6118376330050066,4,0.5372792110016689
A photo of a bag in Colombia,Colombia,Does the bag have any visible external pockets or compartments?,"{'no': 0.716, 'yes': 0.284}",0.8608440062015498,0.8608440062015498,1.8161004559468843,2,0.8161004559468843
A photo of a bag in Colombia,Colombia,"Does the bag have handles, a shoulder strap, or both?","{'shoulder strap': 0.11715481171548117, 'handles': 0.6527196652719666, 'both': 0.2301255230125523}",1.2518983217716275,0.7898598996518942,2.381545846280913,3,0.6907729231404565
A photo of a bag in Colombia,Colombia,Is a brand logo or label visible on the bag?,"{'no': 0.82, 'yes': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a bag in Colombia,Colombia,"Is the bag a backpack, handbag, or tote bag?","{'tote bag': 0.8559322033898306, 'backpack': 0.0211864406779661, 'handbag': 0.1228813559322034}",0.6815845372898118,0.4300319641503768,1.603900380083434,3,0.3019501900417169
A photo of a bag in Colombia,Colombia,"Is the bag being carried by a person, placed on a surface, or hanging?","{'hanging': 0.2125984251968504, 'carried by a person': 0.015748031496062992, 'placed on a surface': 0.7716535433070866}",0.8577907711681969,0.541205719869021,1.8122610318276828,3,0.4061305159138414
A photo of a bag in Colombia,Colombia,"Is the bag made of fabric, leather, or plastic?","{'plastic': 0.04377104377104377, 'leather': 0.16498316498316498, 'fabric': 0.7912457912457912}",0.8937535277359365,0.5638956930080552,1.8580038971108208,3,0.4290019485554104
A photo of a bag in Colombia,Colombia,Is the bag's surface a solid color or patterned?,"{'solid color': 0.6546184738955824, 'patterned': 0.3453815261044177}",0.9298755945417916,0.9298755945417916,1.9051117087594216,2,0.9051117087594218
