prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a cooking pot in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.46596858638743455, 'crowded': 0.09947643979057591, 'quiet / empty': 0.43455497382198954}",1.3670666766575692,0.8625230414193115,2.5794557125837683,3,0.7897278562918841
A photo of a cooking pot in China,China,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.01092896174863388, 'open ground / fields': 0.00546448087431694, 'trees / forest / plants': 0.3005464480874317, 'none of the above': 0.6830601092896175, 'mountains / hills': 0.0}",1.009154374750615,0.434619132682302,2.012731006593437,5,0.2531827516483592
A photo of a cooking pot in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.20600858369098712, 'built structures (walls, windows, houses, buildings, fences)': 0.7939914163090128, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.7337836973146528,0.4629659673214868,1.662994845911522,3,0.331497422955761
A photo of a cooking pot in China,China,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0111731843575419, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.0111731843575419, 'none of the above': 0.9497206703910615, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.027932960893854747}",0.3597593548181887,0.1798796774090943,1.2832118367304777,4,0.0944039455768259
A photo of a cooking pot in China,China,What type of road or terrain is visible?,"{'paved road': 0.06629834254143646, 'dirt / gravel road (man-made)': 0.022099447513812154, 'tiled / courtyard-style surface': 0.9116022099447514, 'natural ground / grass (wild, non-constructed)': 0.0}",0.5028143105129651,0.2514071552564825,1.416975005713102,4,0.138991668571034
A photo of a cooking pot in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.21195652173913043, 'crowded': 0.0, 'quiet / empty': 0.7880434782608695}",0.7452059528624848,0.4701726081995107,1.6762135412036263,3,0.3381067706018132
A photo of a cooking pot in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.012605042016806723, 'open ground / fields': 0.07563025210084033, 'trees / forest / plants': 0.5630252100840336, 'none of the above': 0.18067226890756302, 'mountains / hills': 0.16806722689075632}",1.7062631528157113,0.7348475418221264,3.2631451285992195,5,0.5657862821498049
A photo of a cooking pot in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.5173913043478261, 'built structures (walls, windows, houses, buildings, fences)': 0.40869565217391307, 'natural (trees, sky, soil, water, mountains)': 0.07391304347826087}",1.2972225109765538,0.8184562791777844,2.457552967075932,3,0.728776483537966
A photo of a cooking pot in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.050314465408805034, 'none of the above': 0.9308176100628931, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.018867924528301886}",0.4213484545595249,0.2106742272797624,1.3391786701397417,4,0.1130595567132471
A photo of a cooking pot in Colombia,Colombia,What type of road or terrain is visible?,"{'paved road': 0.08426966292134831, 'dirt / gravel road (man-made)': 0.398876404494382, 'tiled / courtyard-style surface': 0.12921348314606743, 'natural ground / grass (wild, non-constructed)': 0.38764044943820225}",1.7410956954272674,0.8705478477136337,3.342889565593482,4,0.7809631885311606
