prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a backyard in China,China,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'mountains / hills': 0.04390243902439024, 'trees / forest / plants': 0.9560975609756097, 'waterbody': 0.0}",0.2599071509222186,0.1299535754611093,1.197401639672774,4,0.0658005465575913
A photo of a backyard in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.07531380753138076, 'mixed (both natural and built elements visible)': 0.9246861924686193}",0.3854479140415519,0.2431905574208686,1.3062652807842696,3,0.1531326403921348
A photo of a backyard in China,China,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.17272727272727273, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.01818181818181818, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.24545454545454545, 'none of the above': 0.5636363636363636}",1.506334653908041,0.7531673269540206,2.8408736222443114,4,0.6136245407481038
A photo of a backyard in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'mountains / hills': 0.1297709923664122, 'trees / forest / plants': 0.8625954198473282, 'waterbody': 0.007633587786259542}",0.6199337568491146,0.3099668784245573,1.5368046153580217,4,0.1789348717860071
A photo of a backyard in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.20164609053497942, 'mixed (both natural and built elements visible)': 0.7983539094650206}",0.7252080848981761,0.4575553582928349,1.653139057080754,3,0.326569528540377
A photo of a backyard in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.6694915254237288, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.01694915254237288, 'none of the above': 0.3135593220338983}",1.011893442291822,0.505946721145911,2.016555961112404,4,0.338851987037468
A photo of a backyard in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.23931623931623933, 'mountains / hills': 0.17094017094017094, 'trees / forest / plants': 0.5897435897435898, 'waterbody': 0.0}",1.378632350070124,0.6893161750350619,2.600217580879859,4,0.5334058602932864
A photo of a backyard in Egypt,Egypt,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.04433497536945813, 'natural (trees, sky, soil, water, mountains)': 0.2561576354679803, 'mixed (both natural and built elements visible)': 0.6995073891625616}",1.0632852702591542,0.6708583135407687,2.0896846871673587,3,0.5448423435836793
A photo of a backyard in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.15454545454545454, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.00909090909090909, 'none of the above': 0.8363636363636363}",0.693590911174651,0.3467954555873255,1.6173040309621154,4,0.2057680103207051
A photo of a backyard in India,India,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'mountains / hills': 0.005, 'trees / forest / plants': 0.995, 'waterbody': 0.0}",0.0454146923337941,0.022707346166897,1.031979771850453,4,0.010659923950151
A photo of a backyard in India,India,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.30434782608695654, 'mixed (both natural and built elements visible)': 0.6956521739130435}",0.8865408928220899,0.5593450270392611,1.8487381408019847,3,0.4243690704009926
A photo of a backyard in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'mountains / hills': 0.04245283018867924, 'trees / forest / plants': 0.9481132075471698, 'waterbody': 0.009433962264150943}",0.3298510444691168,0.1649255222345584,1.2568835969711234,4,0.0856278656570411
A photo of a backyard in Indonesia,Indonesia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.21551724137931033, 'mixed (both natural and built elements visible)': 0.7844827586206896}",0.7518972278650766,0.4743943326879748,1.6840059407337014,3,0.3420029703668507
A photo of a backyard in Italy,Italy,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0070921985815602835, 'mountains / hills': 0.1702127659574468, 'trees / forest / plants': 0.7943262411347518, 'waterbody': 0.028368794326241134}",0.8951339673792232,0.4475669836896116,1.85978257496522,4,0.2865941916550734
A photo of a backyard in Italy,Italy,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.009478672985781991, 'natural (trees, sky, soil, water, mountains)': 0.05687203791469194, 'mixed (both natural and built elements visible)': 0.933649289099526}",0.3914131297424458,0.2469541894930342,1.3116775720580185,3,0.1558387860290092
A photo of a backyard in Italy,Italy,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.30327868852459017, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.01639344262295082, 'none of the above': 0.680327868852459}",0.99731072010333,0.4986553600516649,1.99627533903068,4,0.3320917796768933
A photo of a backyard in Japan,Japan,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'mountains / hills': 0.05405405405405406, 'trees / forest / plants': 0.9459459459459459, 'waterbody': 0.0}",0.3033748360864139,0.1516874180432069,1.234027749026817,4,0.0780092496756056
A photo of a backyard in Japan,Japan,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.04897959183673469, 'natural (trees, sky, soil, water, mountains)': 0.0326530612244898, 'mixed (both natural and built elements visible)': 0.9183673469387755}",0.487167253155684,0.3073683149815995,1.4016899390527844,3,0.2008449695263922
A photo of a backyard in Japan,Japan,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.30128205128205127, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.00641025641025641, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.08333333333333333, 'none of the above': 0.6089743589743589}",1.3026607114512023,0.6513303557256012,2.466834128989873,4,0.488944709663291
A photo of a backyard in Mexico,Mexico,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.006289308176100629, 'mountains / hills': 0.006289308176100629, 'trees / forest / plants': 0.9685534591194969, 'waterbody': 0.018867924528301886}",0.2447067617675108,0.1223533808837554,1.184851916717641,4,0.061617305572547
A photo of a backyard in Mexico,Mexico,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.004329004329004329, 'natural (trees, sky, soil, water, mountains)': 0.18614718614718614, 'mixed (both natural and built elements visible)': 0.8095238095238095}",0.7322743727962382,0.4620136895750241,1.6612559570117955,3,0.3306279785058977
A photo of a backyard in Nigeria,Nigeria,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.00823045267489712, 'mountains / hills': 0.00411522633744856, 'trees / forest / plants': 0.9876543209876543, 'waterbody': 0.0}",0.1073073886014828,0.0536536943007414,1.077215869327179,4,0.0257386231090596
A photo of a backyard in Nigeria,Nigeria,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.0, 'natural (trees, sky, soil, water, mountains)': 0.09274193548387097, 'mixed (both natural and built elements visible)': 0.907258064516129}",0.4455564192048404,0.281114801771091,1.3618392499369236,3,0.1809196249684618
