prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a bag in China,China,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.007518796992481203, 'trees / forest / plants': 0.08270676691729323, 'mountains / hills': 0.0, 'waterbody': 0.08270676691729323, 'none of the above': 0.8270676691729323}",0.8744022543152266,0.3765845532600975,1.8332483670554496,5,0.2083120917638624
A photo of a bag in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8873239436619719, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.11267605633802817}",0.5079353563991224,0.3204715292431287,1.4220136922390203,3,0.2110068461195102
A photo of a bag in China,China,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.011111111111111112, 'paved road': 0.3, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.6888888888888889}",0.963607165191898,0.4818035825959489,1.9501798317233727,4,0.3167266105744577
A photo of a bag in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.004524886877828055, 'trees / forest / plants': 0.13122171945701358, 'mountains / hills': 0.09502262443438914, 'waterbody': 0.00904977375565611, 'none of the above': 0.7601809954751131}",1.1045114201883308,0.4756871767994655,2.1502604552942604,5,0.2875651138235651
A photo of a bag in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8657407407407407, 'natural (trees, sky, soil, water, mountains)': 0.041666666666666664, 'mixed (both natural and built elements visible)': 0.09259259259259259}",0.6889747664703385,0.4346946796260831,1.6121374655684892,3,0.3060687327842446
A photo of a bag in Colombia,Colombia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.010638297872340425, 'paved road': 0.574468085106383, 'dirt / gravel road (man-made)': 0.031914893617021274, 'tiled / courtyard-style surface': 0.3829787234042553}",1.2180344615615308,0.6090172307807654,2.326295650503195,4,0.4420985501677316
A photo of a bag in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.8932038834951457, 'moderately busy': 0.10679611650485436}",0.4901757916273401,0.3092664914181318,1.4046160170294797,3,0.2023080085147398
A photo of a bag in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.13942307692307693, 'trees / forest / plants': 0.0, 'mountains / hills': 0.014423076923076924, 'waterbody': 0.014423076923076924, 'none of the above': 0.8317307692307693}",0.7937959333133042,0.3418693003720305,1.7336298907740146,5,0.1834074726935036
A photo of a bag in Egypt,Egypt,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9142857142857143, 'natural (trees, sky, soil, water, mountains)': 0.0163265306122449, 'mixed (both natural and built elements visible)': 0.06938775510204082}",0.4822119355651865,0.3042418576753586,1.3968837231617877,3,0.1984418615808938
A photo of a bag in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.975609756097561, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.01951219512195122, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.004878048780487805, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.0}",0.1830350363105927,0.0915175181552963,1.1352696721984563,4,0.0450898907328188
A photo of a bag in Egypt,Egypt,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.165, 'paved road': 0.01, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.825}",0.7243153333277819,0.3621576666638909,1.6521163974680806,4,0.2173721324893602
A photo of a bag in India,India,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'trees / forest / plants': 0.006369426751592357, 'mountains / hills': 0.0, 'waterbody': 0.0, 'none of the above': 0.9936305732484076}",0.0556223658183101,0.0239552490625289,1.039307354560549,5,0.0098268386401372
A photo of a bag in India,India,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9895287958115183, 'natural (trees, sky, soil, water, mountains)': 0.005235602094240838, 'mixed (both natural and built elements visible)': 0.005235602094240838}",0.0943721883614935,0.0595422215469163,1.0676007235531304,3,0.0338003617765652
A photo of a bag in India,India,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.042735042735042736, 'paved road': 0.17094017094017094, 'dirt / gravel road (man-made)': 0.008547008547008548, 'tiled / courtyard-style surface': 0.7777777777777778}",0.9707278424016488,0.4853639212008244,1.959829083318864,4,0.3199430277729546
A photo of a bag in Indonesia,Indonesia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.946236559139785, 'moderately busy': 0.053763440860215055}",0.3021736184787951,0.1906503266426218,1.2330006997350549,3,0.1165003498675274
A photo of a bag in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.047337278106508875, 'trees / forest / plants': 0.30177514792899407, 'mountains / hills': 0.13609467455621302, 'waterbody': 0.07100591715976332, 'none of the above': 0.4437869822485207}",1.9126157130531756,0.82371875221483,3.7649108750170863,5,0.6912277187542716
A photo of a bag in Indonesia,Indonesia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.6781609195402298, 'natural (trees, sky, soil, water, mountains)': 0.09195402298850575, 'mixed (both natural and built elements visible)': 0.22988505747126436}",1.1841561187211893,0.7471193281748936,2.2723044097177905,3,0.6361522048588952
A photo of a bag in Indonesia,Indonesia,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.7848101265822784, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.20253164556962025, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.012658227848101266}",0.820740605848163,0.4103703029240815,1.7663124943831248,4,0.2554374981277083
A photo of a bag in Indonesia,Indonesia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.09302325581395349, 'paved road': 0.32558139534883723, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.5813953488372093}",1.3006979255585032,0.6503489627792516,2.4634802843414474,4,0.4878267614471491
A photo of a bag in Italy,Italy,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.9111111111111111, 'moderately busy': 0.08888888888888889}",0.432750158788754,0.2730349510425977,1.3498042102003092,3,0.1749021051001545
A photo of a bag in Italy,Italy,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'trees / forest / plants': 0.03070175438596491, 'mountains / hills': 0.043859649122807015, 'waterbody': 0.12719298245614036, 'none of the above': 0.7982456140350878}",0.9900354581202716,0.4263850634738534,1.98623380732506,5,0.2465584518312649
A photo of a bag in Italy,Italy,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8583333333333333, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.14166666666666666}",0.588587073932458,0.3713570975115509,1.5037732819949594,3,0.2518866409974797
A photo of a bag in Italy,Italy,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.7142857142857143, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.23376623376623376, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.05194805194805195}",1.0585601216063572,0.5292800608031786,2.0828516987327497,4,0.3609505662442498
A photo of a bag in Italy,Italy,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.0, 'paved road': 0.16176470588235295, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.8382352941176471}",0.6385146263620961,0.319257313181048,1.556725556475077,4,0.1855751854916923
A photo of a bag in Japan,Japan,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'trees / forest / plants': 0.12666666666666668, 'mountains / hills': 0.07333333333333333, 'waterbody': 0.02666666666666667, 'none of the above': 0.7733333333333333}",1.080217583860969,0.465224390987599,2.1143549390989955,5,0.2785887347747489
A photo of a bag in Japan,Japan,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.8787878787878788, 'natural (trees, sky, soil, water, mountains)': 0.006060606060606061, 'mixed (both natural and built elements visible)': 0.11515151515151516}",0.5675498457149454,0.3580840842964492,1.4820045178996717,3,0.2410022589498357
A photo of a bag in Japan,Japan,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.015384615384615385, 'paved road': 0.33076923076923076, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.6538461538461539}",1.0213861666908015,0.5106930833454009,2.0298683560301467,4,0.3432894520100489
A photo of a bag in Mexico,Mexico,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0, 'trees / forest / plants': 0.004694835680751174, 'mountains / hills': 0.004694835680751174, 'waterbody': 0.0, 'none of the above': 0.9906103286384976}",0.086109015450176,0.0370851343931704,1.0615034171002211,5,0.0153758542750553
A photo of a bag in Mexico,Mexico,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9915254237288136, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.00847457627118644}",0.0705017596054147,0.0444816578141984,1.0500818315004488,3,0.0250409157502243
A photo of a bag in Mexico,Mexico,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.019801980198019802, 'paved road': 0.2079207920792079, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.7722772277227723}",0.8710823842408111,0.4355411921204055,1.8290346219501208,4,0.2763448739833735
A photo of a bag in Nigeria,Nigeria,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.9306930693069307, 'moderately busy': 0.06930693069306931}",0.3633319133250507,0.2292369145388204,1.2863934032112507,3,0.1431967016056253
A photo of a bag in Nigeria,Nigeria,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.38513513513513514, 'trees / forest / plants': 0.3108108108108108, 'mountains / hills': 0.0, 'waterbody': 0.013513513513513514, 'none of the above': 0.2905405405405405}",1.6561563032086588,0.7132676962974599,3.1517569906094933,5,0.5379392476523733
A photo of a bag in Nigeria,Nigeria,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.44751381215469616, 'natural (trees, sky, soil, water, mountains)': 0.12154696132596685, 'mixed (both natural and built elements visible)': 0.430939226519337}",1.4120187107576223,0.8908846172165937,2.6610925944694195,3,0.8305462972347097
A photo of a bag in Nigeria,Nigeria,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.7311827956989247, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.24731182795698925, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.021505376344086023}",0.9478749595560488,0.4739374797780244,1.929029170203724,4,0.3096763900679078
A photo of a bag in Nigeria,Nigeria,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.2524752475247525, 'paved road': 0.27722772277227725, 'dirt / gravel road (man-made)': 0.41089108910891087, 'tiled / courtyard-style surface': 0.0594059405940594}",1.783689745691296,0.8918448728456481,3.44305623795036,4,0.8143520793167868
A photo of a bag in Philippines,Philippines,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.9166666666666666, 'moderately busy': 0.08333333333333333}",0.4138168503036337,0.2610893633857883,1.3322056912494478,3,0.1661028456247238
A photo of a bag in Philippines,Philippines,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.017937219730941704, 'trees / forest / plants': 0.29596412556053814, 'mountains / hills': 0.11210762331838565, 'waterbody': 0.10762331838565023, 'none of the above': 0.4663677130044843}",1.8371723334359669,0.7912270571518663,3.573090198245623,5,0.6432725495614058
A photo of a bag in Philippines,Philippines,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7376237623762376, 'natural (trees, sky, soil, water, mountains)': 0.0594059405940594, 'mixed (both natural and built elements visible)': 0.20297029702970298}",1.0327892463812136,0.6516174647105504,2.045976034753792,3,0.5229880173768959
A photo of a bag in Philippines,Philippines,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.0603448275862069, 'paved road': 0.6379310344827587, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.3017241379310345}",1.1797401407825778,0.5898700703912889,2.26535969570367,4,0.4217865652345566
A photo of a bag in South Korea,South Korea,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.005714285714285714, 'trees / forest / plants': 0.2, 'mountains / hills': 0.14857142857142858, 'waterbody': 0.022857142857142857, 'none of the above': 0.6228571428571429}",1.4656772280298878,0.6312328238144638,2.7619309045530827,5,0.4404827261382706
A photo of a bag in South Korea,South Korea,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7544910179640718, 'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.24550898203592814}",0.804082121513987,0.5073193347780345,1.7460345677351616,3,0.3730172838675808
A photo of a bag in South Korea,South Korea,What type of modern infrastructure is visible in the background?,"{'none of the above': 0.2236842105263158, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.23684210526315788, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.5263157894736842, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.013157894736842105}",1.5449980118289557,0.7724990059144777,2.918036667145389,4,0.6393455557151299
A photo of a bag in South Korea,South Korea,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.04040404040404041, 'paved road': 0.3333333333333333, 'dirt / gravel road (man-made)': 0.0, 'tiled / courtyard-style surface': 0.6262626262626263}",1.138193214192587,0.5690966070962935,2.2010519768011183,4,0.4003506589337061
A photo of a bag in Spain,Spain,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 1.0, 'moderately busy': 0.0}",-0.0,-0.0,1.0,3,0.0
A photo of a bag in Spain,Spain,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.0045871559633027525, 'trees / forest / plants': 0.01834862385321101, 'mountains / hills': 0.03211009174311927, 'waterbody': 0.05963302752293578, 'none of the above': 0.8853211009174312}",0.69891180650639,0.3010049312230293,1.6232799260802628,5,0.1558199815200657
