prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a plate of food in China,China,Are any vegetables visible on the plate?,"{'no': 0.032, 'yes': 0.968}",0.2043246709802796,0.2043246709802796,1.1521468978151337,2,0.1521468978151334
A photo of a plate of food in China,China,Are there smaller dishes or bowls visible along with the main plate of food?,"{'no': 0.412, 'yes': 0.588}",0.9775387286988187,0.9775387286988187,1.9691032059273064,2,0.9691032059273066
A photo of a plate of food in China,China,Is a sauce or liquid topping visible on the food?,"{'no': 0.0, 'yes': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a plate of food in China,China,"Is any cutlery (e.g., fork, knife, spoon) visible next to the plate?","{'no': 0.916, 'yes': 0.084}",0.4161189512518705,0.4161189512518705,1.334333181880462,2,0.334333181880462
A photo of a plate of food in China,China,Is more than half of the plate's surface covered by food?,"{'no': 0.112, 'yes': 0.888}",0.5059192440727412,0.5059192440727412,1.420027869203235,2,0.4200278692032351
A photo of a plate of food in China,China,"Is the food on the plate solid, liquid, or a mix of both?","{'liquid': 0.0, 'a mix of both': 0.992, 'solid': 0.008}",0.0672215447583068,0.0424120726690512,1.0476970023725325,3,0.0238485011862662
A photo of a plate of food in China,China,"Is the food on the plate topped with any garnish, like fresh herbs or seeds?","{'no': 0.068, 'yes': 0.932}",0.3584153246392747,0.3584153246392747,1.282016939491634,2,0.2820169394916338
A photo of a plate of food in China,China,Is the plate a single solid color?,"{'no': 0.964, 'yes': 0.036}",0.2236416644844808,0.2236416644844808,1.1676773317692477,2,0.1676773317692477
A photo of a plate of food in China,China,"Is the plate made up of a single kind of food (e.g., only cookies) or multiple different types (e.g., rice, curry, and vegetables)?","{'single': 0.176, 'multiple': 0.824}",0.6712478853829508,0.6712478853829508,1.5924497904542831,2,0.5924497904542831
A photo of a plate of food in China,China,"Is the plate of food on a table, placemat, or countertop?","{'countertop': 0.08518518518518518, 'table': 0.7296296296296296, 'placemat': 0.18518518518518517}",1.0850417344176693,0.6845851141108868,2.121436850973309,3,0.5607184254866544
A photo of a plate of food in China,China,Is the plate primarily white or black?,"{'white': 0.940677966101695, 'black': 0.059322033898305086}",0.3247477475036633,0.3247477475036633,1.2524454317658231,2,0.2524454317658231
A photo of a plate of food in China,China,Is the plate round or square?,"{'square': 0.0, 'round': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a plate of food in China,China,"Is there any food item on the plate that visually resembles meat, fish, or eggs?","{'no': 0.044, 'yes': 0.956}",0.2603406250124503,0.2603406250124503,1.197761466632466,2,0.1977614666324658
