prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a chair in China,China,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.125, 'mountains / hills': 0.041666666666666664, 'open ground / fields': 0.004629629629629629, 'none of the above': 0.7962962962962963, 'waterbody': 0.032407407407407406}",1.02396014181829,0.4409956294826446,2.0334931652999764,5,0.2583732913249941
A photo of a chair in China,China,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.004149377593360996, 'built structures (walls, windows, houses, buildings, fences)': 0.9087136929460581, 'mixed (both natural and built elements visible)': 0.08713692946058091}",0.4651008219934017,0.2934459470061792,1.3804138195284514,3,0.1902069097642257
A photo of a chair in China,China,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.09333333333333334, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.02666666666666667, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.03333333333333333, 'none of the above': 0.8466666666666667}",0.8256482598071586,0.4128241299035793,1.7723312376664322,4,0.2574437458888107
A photo of a chair in China,China,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.8911290322580645, 'paved road': 0.0846774193548387, 'natural ground / grass (wild, non-constructed)': 0.020161290322580645, 'dirt / gravel road (man-made)': 0.004032258064516129}",0.5954270685389028,0.2977135342694514,1.5109197838891109,4,0.1703065946297036
A photo of a chair in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.3023255813953488, 'mountains / hills': 0.09302325581395349, 'open ground / fields': 0.05116279069767442, 'none of the above': 0.5395348837209303, 'waterbody': 0.013953488372093023}",1.6262072659310003,0.7003693480051062,3.087003815121156,5,0.5217509537802889
A photo of a chair in Colombia,Colombia,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.07755102040816327, 'built structures (walls, windows, houses, buildings, fences)': 0.7306122448979592, 'mixed (both natural and built elements visible)': 0.19183673469387755}",1.0738651924124525,0.6775335012177542,2.105065599742986,3,0.5525327998714931
A photo of a chair in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.07058823529411765, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.023529411764705882, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'none of the above': 0.9058823529411765}",0.5264222462808271,0.2632111231404135,1.4403528175914293,4,0.1467842725304764
A photo of a chair in Colombia,Colombia,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.5277777777777778, 'paved road': 0.15476190476190477, 'natural ground / grass (wild, non-constructed)': 0.19047619047619047, 'dirt / gravel road (man-made)': 0.12698412698412698}",1.7369567072622123,0.8684783536311063,3.3333128002884176,4,0.7777709334294726
A photo of a chair in Egypt,Egypt,How dense is the built environment in the background?,"{'moderate (some houses/buildings, not crowded)': 0.047619047619047616, 'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.08571428571428572, 'sparse / open (fields, wide spaces, few or no buildings)': 0.8666666666666667}",0.6918809677089894,0.4365282884574142,1.6153882690473944,3,0.3076941345236972
A photo of a chair in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.016260162601626018, 'mountains / hills': 0.10569105691056911, 'open ground / fields': 0.7398373983739838, 'none of the above': 0.1016260162601626, 'waterbody': 0.036585365853658534}",1.2707430136921665,0.5472792273327529,2.412858000368815,5,0.3532145000922038
A photo of a chair in Egypt,Egypt,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0995850622406639, 'built structures (walls, windows, houses, buildings, fences)': 0.29045643153526973, 'mixed (both natural and built elements visible)': 0.6099585062240664}",1.2845044984938578,0.8104321066961583,2.43598373171536,3,0.71799186585768
A photo of a chair in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.008733624454148471, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.008733624454148471, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.021834061135371178, 'none of the above': 0.9606986899563319}",0.295497336350822,0.147748668175411,1.2273079908943556,4,0.0757693302981185
A photo of a chair in Egypt,Egypt,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.1, 'paved road': 0.004, 'natural ground / grass (wild, non-constructed)': 0.812, 'dirt / gravel road (man-made)': 0.084}",0.9081912374168356,0.4540956187084178,1.8766911425779995,4,0.2922303808593331
A photo of a chair in India,India,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.06770833333333333, 'mountains / hills': 0.005208333333333333, 'open ground / fields': 0.203125, 'none of the above': 0.71875, 'waterbody': 0.005208333333333333}",1.1515626157896497,0.4959510237742795,2.2215438461315538,5,0.3053859615328884
A photo of a chair in India,India,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.004291845493562232, 'built structures (walls, windows, houses, buildings, fences)': 0.8454935622317596, 'mixed (both natural and built elements visible)': 0.15021459227467812}",0.6492972432552246,0.4096609496816455,1.568404018358346,3,0.284202009179173
A photo of a chair in India,India,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.04201680672268908, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.04201680672268908, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.008403361344537815, 'none of the above': 0.907563025210084}",0.56921161891695,0.284605809458475,1.4837125533711983,4,0.1612375177903994
