prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a cooking pot in China,China,"Are there any visible markings, patterns, or logos on the cooking pot?","{'no': 0.764, 'yes': 0.236}",0.7883249003933805,0.7883249003933805,1.7270680156220035,2,0.7270680156220035
A photo of a cooking pot in China,China,Does the pot have a lid on it?,"{'no': 0.42, 'yes': 0.58}",0.9814538950336535,0.9814538950336535,1.974454189066204,2,0.974454189066204
A photo of a cooking pot in China,China,Does the pot have a single handle or multiple handles?,"{'multiple handles': 0.7401574803149606, 'no handles': 0.15354330708661418, 'single handle': 0.1062992125984252}",1.0801203040578464,0.6814800372667448,2.1142123745985453,3,0.5571061872992726
A photo of a cooking pot in China,China,Is any food or liquid visible inside the pot?,"{'no': 0.8373983739837398, 'yes': 0.16260162601626016}",0.640497300480551,0.640497300480551,1.5588664117534896,2,0.5588664117534896
A photo of a cooking pot in China,China,"Is the pot placed on a cooking surface (e.g., stove, burner, or fire)?","{'no': 0.804, 'yes': 0.196}",0.7138555955076475,0.7138555955076475,1.640181642546222,2,0.6401816425462219
A photo of a cooking pot in China,China,Is the pot taller than it is wide?,"{'no': 0.924, 'yes': 0.076}",0.3879256793719373,0.3879256793719373,1.3085106616169009,2,0.3085106616169009
A photo of a cooking pot in China,China,What is the primary color of the cooking pot?,"{'blue': 0.043478260869565216, 'black': 0.33201581027667987, 'white': 0.015810276679841896, 'silver': 0.1225296442687747, 'brown': 0.2608695652173913, 'red': 0.043478260869565216, 'copper': 0.08300395256916997, 'orange': 0.02766798418972332, 'green': 0.07114624505928854}",2.605439989785985,0.821924805350446,6.085770754213207,9,0.6357213442766508
A photo of a cooking pot in China,China,What material does the pot appear to be made of?,"{'cast iron': 0.6693877551020408, 'stainless steel': 0.024489795918367346, 'copper': 0.02040816326530612, 'ceramic': 0.2571428571428571, 'enamel': 0.02857142857142857}",1.2836662497330706,0.5528449621500195,2.4345687637688727,5,0.3586421909422181
A photo of a cooking pot in Colombia,Colombia,"Are there any visible markings, patterns, or logos on the cooking pot?","{'no': 0.812, 'yes': 0.188}",0.6972688157923281,0.6972688157923281,1.621432331342122,2,0.621432331342122
A photo of a cooking pot in Colombia,Colombia,Does the pot have a lid on it?,"{'no': 0.62, 'yes': 0.38}",0.9580420222262996,0.9580420222262996,1.94267157559583,2,0.94267157559583
