prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a storefront in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.15315315315315314, 'quiet / empty': 0.8468468468468469, 'crowded': 0.0}",0.6176751423955682,0.3897096253788507,1.5344005497854605,3,0.2672002748927301
A photo of a storefront in China,China,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.96, 'mixed (both natural and built elements visible)': 0.04}",0.2422921890824148,0.1528693511500569,1.182870542802813,3,0.0914352714014065
A photo of a storefront in China,China,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.08, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.05, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.87}",0.6823989436419629,0.4305457973494465,1.6048060430093112,3,0.3024030215046556
A photo of a storefront in China,China,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.0, 'paved road': 0.8166666666666667, 'tiled / courtyard-style surface': 0.18333333333333332, 'dirt / gravel road (man-made)': 0.0}",0.6873150928309273,0.3436575464154636,1.6102839320401667,4,0.2034279773467222
A photo of a storefront in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.02654867256637168, 'quiet / empty': 0.9734513274336283, 'crowded': 0.0}",0.1767766970180548,0.1115336778867775,1.130355595073486,3,0.065177797536743
A photo of a storefront in Colombia,Colombia,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.6742424242424242, 'mixed (both natural and built elements visible)': 0.32575757575757575}",0.910533060205426,0.5744823992940745,1.879739913687088,3,0.4398699568435439
A photo of a storefront in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.17391304347826086, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.8260869565217391}",0.6665783579949205,0.4205641191458019,1.5873038886840467,3,0.2936519443420233
A photo of a storefront in Colombia,Colombia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.0, 'paved road': 0.8805970149253731, 'tiled / courtyard-style surface': 0.11940298507462686, 'dirt / gravel road (man-made)': 0.0}",0.52764232609436,0.26382116304718,1.4415714318139818,4,0.1471904772713272
A photo of a storefront in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'moderately busy': 0.05194805194805195, 'quiet / empty': 0.948051948051948, 'crowded': 0.0}",0.2946152056528071,0.1858814991009298,1.226557787212051,3,0.1132788936060255
A photo of a storefront in Egypt,Egypt,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.9834710743801653, 'mixed (both natural and built elements visible)': 0.01652892561983471}",0.1214804783188483,0.0766456482494537,1.0878506306896063,3,0.0439253153448032
A photo of a storefront in Egypt,Egypt,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.0125, 'paved road': 0.74375, 'tiled / courtyard-style surface': 0.18125, 'dirt / gravel road (man-made)': 0.0625}",1.0932778221297468,0.5466389110648734,2.1335823895351744,4,0.3778607965117248
