prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a storefront in China,China,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'no': 0.556, 'yes': 0.444}",0.99093240356837,0.99093240356837,1.9874690630394851,2,0.9874690630394852
A photo of a storefront in China,China,Are there any lights on inside or on the exterior of the storefront?,"{'no': 0.056, 'yes': 0.944}",0.3113573704292831,0.3113573704292831,1.2408746370836587,2,0.2408746370836587
A photo of a storefront in China,China,Are there any signs or logos identifying the store visible on the storefront?,"{'no': 0.0, 'yes': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in China,China,Are there products or displays visible in the storefront window?,"{'no': 0.02, 'yes': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a storefront in China,China,Does the storefront have an awning or a canopy?,"{'no': 0.888, 'yes': 0.112}",0.5059192440727412,0.5059192440727412,1.420027869203235,2,0.4200278692032351
A photo of a storefront in China,China,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.32098765432098764, 'wood': 0.03292181069958848, 'brick': 0.1646090534979424, 'glass': 0.48148148148148145}",1.6245196268238544,0.8122598134119272,3.0833948040225723,4,0.6944649346741908
A photo of a storefront in China,China,Is the main entrance door to the storefront open or closed?,"{'partially open': 0.016666666666666666, 'open': 0.8791666666666667, 'closed': 0.10416666666666667}",0.6016892057685845,0.379623622322179,1.5174923102404856,3,0.2587461551202428
A photo of a storefront in China,China,"Is the storefront entrance a single door, double doors, or a revolving door?","{'double doors': 0.452991452991453, 'single door': 0.11538461538461539, 'none of the above': 0.43162393162393164, 'revolving door': 0.0}",1.4001899738567207,0.7000949869283604,2.6393633496160014,4,0.5464544498720004
A photo of a storefront in China,China,Is the storefront part of a larger building or a standalone structure?,"{'part of a larger building': 1.0, 'standalone structure': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in China,China,Is there a sidewalk in front of the storefront?,"{'no': 0.0, 'yes': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a storefront in China,China,Is there an 'Open' or 'Closed' sign on the storefront?,"{'no': 0.992, 'yes': 0.008}",0.0672215447583068,0.0672215447583068,1.0476970023725325,2,0.0476970023725324
A photo of a storefront in China,China,What is the primary color of the storefront's facade?,"{'blue': 0.026217228464419477, 'red': 0.5767790262172284, 'brown': 0.018726591760299626, 'green': 0.018726591760299626, 'yellow': 0.03745318352059925, 'orange': 0.02247191011235955, 'gray': 0.0299625468164794, 'white': 0.12359550561797752, 'beige': 0.1348314606741573, 'pink': 0.011235955056179775, 'purple': 0.0}",2.098066185933217,0.6064771376402189,4.281351203007808,11,0.3281351203007808
A photo of a storefront in Colombia,Colombia,"Are there any items placed outside the storefront, such as displays, furniture, or plants?","{'no': 0.616, 'yes': 0.384}",0.960818175317104,0.960818175317104,1.9464134239089588,2,0.9464134239089588
A photo of a storefront in Colombia,Colombia,Are there any lights on inside or on the exterior of the storefront?,"{'no': 0.084, 'yes': 0.916}",0.4161189512518705,0.4161189512518705,1.334333181880462,2,0.334333181880462
A photo of a storefront in Colombia,Colombia,Are there any signs or logos identifying the store visible on the storefront?,"{'no': 0.412, 'yes': 0.588}",0.9775387286988187,0.9775387286988187,1.9691032059273064,2,0.9691032059273066
A photo of a storefront in Colombia,Colombia,Are there products or displays visible in the storefront window?,"{'no': 0.088, 'yes': 0.912}",0.4297586093037604,0.4297586093037604,1.3470081775702776,2,0.3470081775702776
A photo of a storefront in Colombia,Colombia,Does the storefront have an awning or a canopy?,"{'no': 0.908, 'yes': 0.092}",0.443110558244691,0.443110558244691,1.3595324231473491,2,0.3595324231473493
A photo of a storefront in Colombia,Colombia,"Is the facade primarily made of brick, wood, or glass?","{'none of the above': 0.7464788732394366, 'wood': 0.07981220657276995, 'brick': 0.046948356807511735, 'glass': 0.1267605633802817}",1.1908762789171268,0.5954381394585634,2.282913630217722,4,0.4276378767392407
