prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a stove in China,China,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9421487603305785, 'natural (trees, sky, soil, water, mountains)': 0.008264462809917356, 'mixed (both natural and built elements visible)': 0.049586776859504134}",0.3530844222406484,0.2227714675142127,1.2772885001483638,3,0.1386442500741819
A photo of a stove in China,China,What type of environment is visible?,"{'residential': 0.050505050505050504, 'plain / solid color background': 0.0, 'commercial / public': 0.9494949494949495}",0.2885385136944104,0.1820475333410889,1.2214023395247366,3,0.1107011697623683
A photo of a stove in China,China,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.05970149253731343, 'paved road': 0.417910447761194, 'tiled / courtyard-style surface': 0.40298507462686567, 'dirt / gravel road (man-made)': 0.11940298507462686}",1.6632847072334955,0.8316423536167478,3.167368463026322,4,0.7224561543421073
A photo of a stove in China,China,Which main elements are visible in the background?,"{'appliances (e.g. fridge, microwave, washing machine)': 0.18285714285714286, 'plain / solid color background': 0.011428571428571429, 'furniture': 0.2057142857142857, 'walls': 0.5828571428571429, 'windows': 0.017142857142857144, 'electronic equipment (e.g. tvs, computers, speakers)': 0.0}",1.5457278407741617,0.597969154424071,2.919513213699068,6,0.3839026427398136
A photo of a stove in Colombia,Colombia,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.7894736842105263, 'natural (trees, sky, soil, water, mountains)': 0.015037593984962405, 'mixed (both natural and built elements visible)': 0.19548872180451127}",0.8206417435717817,0.5177672930421954,1.7661914600091848,3,0.3830957300045924
A photo of a stove in Colombia,Colombia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.37755102040816324, 'paved road': 0.04081632653061224, 'tiled / courtyard-style surface': 0.5204081632653061, 'dirt / gravel road (man-made)': 0.061224489795918366}",1.4560032933688374,0.7280016466844187,2.7434728399445567,4,0.5811576133148523
A photo of a stove in Colombia,Colombia,Which main elements are visible in the background?,"{'appliances (e.g. fridge, microwave, washing machine)': 0.06611570247933884, 'plain / solid color background': 0.008264462809917356, 'furniture': 0.1322314049586777, 'walls': 0.7520661157024794, 'windows': 0.04132231404958678, 'electronic equipment (e.g. tvs, computers, speakers)': 0.0}",1.201351231220725,0.4647460962724103,2.299549464582169,6,0.2599098929164339
A photo of a stove in Egypt,Egypt,What type of background elements are most visible?,"{'built structures (walls, windows, houses, buildings, fences)': 0.9191919191919192, 'natural (trees, sky, soil, water, mountains)': 0.010101010101010102, 'mixed (both natural and built elements visible)': 0.0707070707070707}",0.4489445320747147,0.2832524629891531,1.365041234540714,3,0.182520617270357
A photo of a stove in Egypt,Egypt,What type of floor or ground is visible?,"{'concrete floor': 0.5454545454545454, 'carpeted floor': 0.0, 'tiled floor': 0.45454545454545453, 'wooden floor': 0.0}",0.9940302114769564,0.4970151057384782,1.9917412148051288,4,0.3305804049350431
A photo of a stove in Egypt,Egypt,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.6197183098591549, 'paved road': 0.0, 'tiled / courtyard-style surface': 0.19718309859154928, 'dirt / gravel road (man-made)': 0.18309859154929578}",1.3381460425373335,0.6690730212686669,2.528262117329713,4,0.509420705776571
A photo of a stove in Egypt,Egypt,Which main elements are visible in the background?,"{'appliances (e.g. fridge, microwave, washing machine)': 0.05223880597014925, 'plain / solid color background': 0.0, 'furniture': 0.03731343283582089, 'walls': 0.9104477611940298, 'windows': 0.0, 'electronic equipment (e.g. tvs, computers, speakers)': 0.0}",0.5227229209688757,0.202216829382649,1.436664229271915,6,0.0873328458543829
