prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a backyard in China,China,Are there any animals or pets in the backyard?,"{'yes': 0.06, 'no': 0.94}",0.3274449191544762,0.3274449191544762,1.2547891148657844,2,0.2547891148657843
A photo of a backyard in China,China,Are there any distinct pathways or walkways visible in the backyard?,"{'yes': 0.796, 'no': 0.204}",0.7298563169471574,0.7298563169471574,1.658473910177218,2,0.6584739101772179
A photo of a backyard in China,China,"Are there any plants, trees, or shrubs in the backyard?","{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a backyard in China,China,"Are there any structures (e.g., a shed, playhouse) in the backyard?","{'yes': 0.076, 'no': 0.924}",0.3879256793719373,0.3879256793719373,1.3085106616169009,2,0.3085106616169009
A photo of a backyard in China,China,"Are there any visible recreational items (e.g., a swing set, trampoline, basketball hoop) in the backyard?","{'yes': 0.02, 'no': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a backyard in China,China,"Is a body of water (e.g., a pool, pond, or fountain) visible in the backyard?","{'yes': 0.02, 'no': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a backyard in China,China,Is the backyard enclosed by a fence or wall?,"{'yes': 0.996, 'no': 0.004}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a backyard in China,China,Is there a garden or vegetable patch in the backyard?,"{'yes': 0.076, 'no': 0.924}",0.3879256793719373,0.3879256793719373,1.3085106616169009,2,0.3085106616169009
A photo of a backyard in China,China,Is there a patio or deck attached to the house in the backyard?,"{'yes': 0.3672566371681416, 'no': 0.6327433628318584}",0.9485423519678228,0.9485423519678228,1.9299217477898232,2,0.9299217477898232
A photo of a backyard in China,China,Is there a visible grill or outdoor kitchen area in the backyard?,"{'yes': 0.02, 'no': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a backyard in China,China,"Is there any outdoor furniture (e.g., a table, chairs) in the backyard?","{'yes': 0.312, 'no': 0.688}",0.8954686411420223,0.8954686411420223,1.8602140539779497,2,0.8602140539779497
A photo of a backyard in China,China,"What is the primary ground cover in the backyard: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.61003861003861, 'dirt/gravel': 0.04633204633204633, 'grass': 0.3436293436293436}",1.1698693549581929,0.7381053838345726,2.2499132164656386,3,0.6249566082328193
