prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a dog in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.018957345971563982, 'moderately busy': 0.1895734597156398, 'quiet / empty': 0.7914691943127962}",0.830313688050023,0.5238696105884091,1.7780719300190984,3,0.3890359650095492
A photo of a dog in China,China,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.046610169491525424, 'none of the above': 0.9279661016949152, 'waterbody': 0.01694915254237288, 'mountains / hills': 0.00423728813559322, 'open ground / fields': 0.00423728813559322}",0.4727612109818954,0.2036071711362919,1.387763003114765,5,0.0969407507786912
A photo of a dog in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.04819277108433735, 'built structures (walls, windows, houses, buildings, fences)': 0.9518072289156626, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.2786698035638991,0.1758210704903773,1.213075886059271,3,0.1065379430296354
A photo of a dog in China,China,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.005555555555555556, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.2, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.06111111111111111, 'none of the above': 0.7333333333333333}",1.0805693651505115,0.5402846825752557,2.114870558252623,4,0.371623519417541
A photo of a dog in China,China,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.9650655021834061, 'paved road': 0.03056768558951965, 'natural ground / grass (wild, non-constructed)': 0.004366812227074236, 'dirt / gravel road (man-made)': 0.0}",0.2375533510667709,0.1187766755333854,1.178991527700205,4,0.0596638425667349
A photo of a dog in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'moderately busy': 0.023121387283236993, 'quiet / empty': 0.976878612716763}",0.1586246164708913,0.1000809901803464,1.1162224875288174,3,0.0581112437644086
A photo of a dog in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.28700906344410876, 'none of the above': 0.4169184290030212, 'waterbody': 0.012084592145015106, 'mountains / hills': 0.25075528700906347, 'open ground / fields': 0.03323262839879154}",1.78369442060289,0.7681953737199677,3.443067394854036,5,0.6107668487135088
A photo of a dog in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.22267206477732793, 'built structures (walls, windows, houses, buildings, fences)': 0.5951417004048583, 'natural (trees, sky, soil, water, mountains)': 0.18218623481781376}",1.3756546474970777,0.8679414477447615,2.594856302529384,3,0.7974281512646917
A photo of a dog in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.11016949152542373, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.00847457627118644, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.3644067796610169, 'none of the above': 0.5169491525423728}",1.4317101817401423,0.7158550908700712,2.6976630895810896,4,0.5658876965270299
A photo of a dog in Colombia,Colombia,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.2608695652173913, 'paved road': 0.48792270531400966, 'natural ground / grass (wild, non-constructed)': 0.1642512077294686, 'dirt / gravel road (man-made)': 0.08695652173913043}",1.7452953077252589,0.8726476538626294,3.3526347249999424,4,0.7842115749999808
A photo of a dog in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.039301310043668124, 'moderately busy': 0.26200873362445415, 'quiet / empty': 0.6986899563318777}",1.051207037304499,0.6632377969991095,2.072262890684429,3,0.5361314453422146
A photo of a dog in Egypt,Egypt,How dense is the built environment in the background?,"{'dense / crowded (clustered buildings, narrow streets, crowded interiors)': 0.22666666666666666, 'sparse / open (fields, wide spaces, few or no buildings)': 0.5466666666666666, 'moderate (some houses/buildings, not crowded)': 0.22666666666666666}",1.4470404399378411,0.9129808681779156,2.726481639034203,3,0.8632408195171015
A photo of a dog in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.008032128514056224, 'none of the above': 0.6506024096385542, 'waterbody': 0.012048192771084338, 'mountains / hills': 0.01606425702811245, 'open ground / fields': 0.3132530120481928}",1.156500080498892,0.4980774740808649,2.2291598600529365,5,0.3072899650132341
A photo of a dog in Egypt,Egypt,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.228, 'built structures (walls, windows, houses, buildings, fences)': 0.772, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.7745085286615678,0.4886604751274351,1.710607213267905,3,0.3553036066339526
A photo of a dog in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.0, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.049586776859504134, 'none of the above': 0.9504132231404959}",0.2846390152669077,0.1423195076334538,1.2181054366188042,4,0.072701812206268
A photo of a dog in Egypt,Egypt,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.7215686274509804, 'paved road': 0.00784313725490196, 'natural ground / grass (wild, non-constructed)': 0.25098039215686274, 'dirt / gravel road (man-made)': 0.0196078431372549}",1.006333670627771,0.5031668353138855,2.0087996336691223,4,0.3362665445563741
A photo of a dog in India,India,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.007352941176470588, 'moderately busy': 0.11029411764705882, 'quiet / empty': 0.8823529411764706}",0.5622405588448247,0.3547342972398438,1.4765605908350292,3,0.2382802954175146
A photo of a dog in India,India,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.05803571428571429, 'none of the above': 0.9375, 'waterbody': 0.004464285714285714, 'mountains / hills': 0.0, 'open ground / fields': 0.0}",0.3604920870320686,0.1552554912556653,1.283863734350089,5,0.0709659335875222
A photo of a dog in India,India,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.056451612903225805, 'built structures (walls, windows, houses, buildings, fences)': 0.9435483870967742, 'natural (trees, sky, soil, water, mountains)': 0.0}",0.3131950471154109,0.1976040738963272,1.2424562459896948,3,0.1212281229948474
A photo of a dog in India,India,What type of modern infrastructure is visible in the background?,"{'utility-related (electric poles, wires, water tanks, pipelines)': 0.009523809523809525, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0761904761904762, 'none of the above': 0.9142857142857143}",0.4651369455782085,0.2325684727891042,1.3804483840889163,4,0.1268161280296388
A photo of a dog in India,India,What type of road or terrain is visible?,"{'tiled / courtyard-style surface': 0.8358974358974359, 'paved road': 0.15897435897435896, 'natural ground / grass (wild, non-constructed)': 0.0, 'dirt / gravel road (man-made)': 0.005128205128205128}",0.6769571098436682,0.3384785549218341,1.5987641300343418,4,0.1995880433447806
A photo of a dog in Indonesia,Indonesia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'moderately busy': 0.18981481481481483, 'quiet / empty': 0.8101851851851852}",0.7010839060523621,0.4423346960785317,1.625725752199279,3,0.3128628760996395
A photo of a dog in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'trees / forest / plants': 0.5149501661129569, 'none of the above': 0.23920265780730898, 'waterbody': 0.07308970099667775, 'mountains / hills': 0.08637873754152824, 'open ground / fields': 0.08637873754152824}",1.8729411256809287,0.8066318374823689,3.662785269599836,5,0.6656963173999589
