prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a cooking pot in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.05825242718446602, 'quiet / empty': 0.27184466019417475, 'moderately busy': 0.6699029126213593}",1.1369480967013397,0.7173343824753139,2.1991531790963603,3,0.5995765895481802
A photo of a cooking pot in China,China,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.007575757575757576, 'waterbody': 0.007575757575757576, 'none of the above': 0.946969696969697, 'trees / forest / plants': 0.03787878787878788, 'mountains / hills': 0.0}",0.3600556643796829,0.1550675342498706,1.2834754177197478,5,0.0708688544299369
A photo of a cooking pot in China,China,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.0297029702970297, 'built structures (walls, windows, houses, buildings, fences)': 0.9702970297029703}",0.1929000745789841,0.1217063965180342,1.1430591609382177,3,0.0715295804691087
A photo of a cooking pot in China,China,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.16842105263157894, 'tiled / courtyard-style surface': 0.5473684210526316, 'paved road': 0.24210526315789474, 'natural ground / grass (wild, non-constructed)': 0.042105263157894736}",1.5965420258820204,0.7982710129410102,3.024175837310567,4,0.6747252791035224
A photo of a cooking pot in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.013422818791946308, 'quiet / empty': 0.6442953020134228, 'moderately busy': 0.3422818791946309}",1.021516892879764,0.6445054014937104,2.030052295788341,3,0.5150261478941704
A photo of a cooking pot in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.152, 'waterbody': 0.0, 'none of the above': 0.608, 'trees / forest / plants': 0.224, 'mountains / hills': 0.016}",1.4285118719040586,0.6152265761586198,2.6916892659036167,5,0.4229223164759041
A photo of a cooking pot in Colombia,Colombia,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.02666666666666667, 'mixed (both natural and built elements visible)': 0.26666666666666666, 'built structures (walls, windows, houses, buildings, fences)': 0.7066666666666667}",1.0019074106345902,0.632133195693099,2.002645981369197,3,0.5013229906845984
A photo of a cooking pot in Colombia,Colombia,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.34591194968553457, 'tiled / courtyard-style surface': 0.16981132075471697, 'paved road': 0.15723270440251572, 'natural ground / grass (wild, non-constructed)': 0.3270440251572327}",1.9111470000014947,0.9555735000007474,3.761080016872497,4,0.9203600056241656
A photo of a cooking pot in Egypt,Egypt,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.0, 'quiet / empty': 0.96, 'moderately busy': 0.04}",0.2422921890824148,0.1528693511500569,1.182870542802813,3,0.0914352714014065
A photo of a cooking pot in Egypt,Egypt,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.7715736040609137, 'waterbody': 0.0, 'none of the above': 0.1116751269035533, 'trees / forest / plants': 0.025380710659898477, 'mountains / hills': 0.09137055837563451}",1.091794113091686,0.4702101307511201,2.1313892800158034,5,0.2828473200039508
A photo of a cooking pot in Egypt,Egypt,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.16666666666666666, 'mixed (both natural and built elements visible)': 0.4188034188034188, 'built structures (walls, windows, houses, buildings, fences)': 0.41452991452991456}",1.4833399462882355,0.9358833067743356,2.795952684279707,3,0.8979763421398534
A photo of a cooking pot in Egypt,Egypt,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.0, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.004807692307692308, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.009615384615384616, 'none of the above': 0.9855769230769231}",0.1221059662246669,0.0610529831123334,1.088322376220329,4,0.0294407920734429
A photo of a cooking pot in Egypt,Egypt,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.08333333333333333, 'tiled / courtyard-style surface': 0.0043859649122807015, 'paved road': 0.0, 'natural ground / grass (wild, non-constructed)': 0.9122807017543859}",0.453933504828008,0.226966752414004,1.369769844529521,4,0.1232566148431736
A photo of a cooking pot in India,India,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'crowded': 0.016260162601626018, 'quiet / empty': 0.5609756097560976, 'moderately busy': 0.42276422764227645}",1.0895791162251711,0.6874478832965538,2.128119428688268,3,0.5640597143441339
A photo of a cooking pot in India,India,"What natural features, if any, are visible in the background of the image?","{'open ground / fields': 0.13043478260869565, 'waterbody': 0.0, 'none of the above': 0.8152173913043478, 'trees / forest / plants': 0.05434782608695652, 'mountains / hills': 0.0}",0.8519250835539504,0.3669041627214031,1.8049077270202276,5,0.2012269317550568
A photo of a cooking pot in India,India,What type of background elements are most visible?,"{'natural (trees, sky, soil, water, mountains)': 0.0, 'mixed (both natural and built elements visible)': 0.3230769230769231, 'built structures (walls, windows, houses, buildings, fences)': 0.676923076923077}",0.9076961653608384,0.5726925179288707,1.8760472518590092,3,0.4380236259295047
A photo of a cooking pot in India,India,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.45222929936305734, 'tiled / courtyard-style surface': 0.07643312101910828, 'paved road': 0.03184713375796178, 'natural ground / grass (wild, non-constructed)': 0.4394904458598726}",1.4809301534418386,0.7404650767209193,2.791286387787748,4,0.5970954625959158
