prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a dog in China,China,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.19786096256684493, 'folded (ear starts upright but bends partway)': 0.42245989304812837, 'floppy (whole ear droops down)': 0.37967914438502676}",1.5181217373256328,0.9578281736223344,2.8641791570391373,3,0.9320895785195686
A photo of a dog in China,China,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.788, 'yes': 0.212}",0.7452883145630642,0.7452883145630642,1.676309236922173,2,0.676309236922173
A photo of a dog in China,China,"Does the dog have short, medium, or long fur?","{'long': 0.2976190476190476, 'short': 0.3531746031746032, 'medium': 0.3492063492063492}",1.5807257188043504,0.9973268882292938,2.9912027834536654,3,0.9956013917268328
A photo of a dog in China,China,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.5991902834008097, 'single solid color': 0.4008097165991903}",0.9714222781394716,0.9714222781394716,1.960772666626216,2,0.9607726666262156
A photo of a dog in China,China,Is the dog alone or with other animals or people?,"{'alone': 0.596, 'with other animals': 0.02, 'with other animals and people': 0.028, 'with people': 0.356}",1.232754245327241,0.6163771226636205,2.350152288026339,4,0.4500507626754462
A photo of a dog in China,China,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in China,China,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.20481927710843373, 'yes': 0.7951807228915663}",0.7314625617214585,0.7314625617214585,1.6603214236711374,2,0.6603214236711374
A photo of a dog in China,China,Is the dog's mouth open or closed?,"{'open': 0.7447916666666666, 'closed': 0.2552083333333333}",0.8194292532161829,0.8194292532161829,1.764707715758363,2,0.764707715758363
A photo of a dog in China,China,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.024193548387096774, 'standing': 0.375, 'walking': 0.06451612903225806, 'eating': 0.004032258064516129, 'running': 0.020161290322580645, 'sitting': 0.4596774193548387, 'lying down': 0.05241935483870968}",1.799694847231934,0.6410642391852889,3.4814657903454256,7,0.4135776317242376
A photo of a dog in Colombia,Colombia,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.18137254901960784, 'folded (ear starts upright but bends partway)': 0.4166666666666667, 'floppy (whole ear droops down)': 0.4019607843137255}",1.5015073592329728,0.9473456681465896,2.8313838714404254,3,0.9156919357202128
A photo of a dog in Colombia,Colombia,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.856, 'yes': 0.144}",0.5946193440950123,0.5946193440950123,1.510074099086978,2,0.5100740990869781
A photo of a dog in Colombia,Colombia,"Does the dog have short, medium, or long fur?","{'long': 0.18503937007874016, 'short': 0.4566929133858268, 'medium': 0.35826771653543305}",1.4973430185763836,0.94471826172234,2.8232228631521967,3,0.9116114315760984
A photo of a dog in Colombia,Colombia,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.82, 'single solid color': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a dog in Colombia,Colombia,Is the dog alone or with other animals or people?,"{'alone': 0.88, 'with other animals': 0.016, 'with other animals and people': 0.004, 'with people': 0.1}",0.6218021177829142,0.3109010588914571,1.5387961420969398,4,0.1795987140323132
A photo of a dog in Colombia,Colombia,Is the dog in an indoor or outdoor setting?,"{'outdoor': 0.9913793103448276, 'indoor': 0.008620689655172414}",0.0715037894499587,0.0715037894499587,1.050811423547786,2,0.0508114235477858
A photo of a dog in Colombia,Colombia,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.26, 'yes': 0.74}",0.8267463724926178,0.8267463724926178,1.7736807677013762,2,0.7736807677013762
A photo of a dog in Colombia,Colombia,Is the dog's mouth open or closed?,"{'open': 0.6086956521739131, 'closed': 0.391304347826087}",0.9656361333706098,0.9656361333706098,1.9529244426221104,2,0.9529244426221104
A photo of a dog in Colombia,Colombia,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.03862660944206009, 'standing': 0.4592274678111588, 'walking': 0.02575107296137339, 'eating': 0.0, 'running': 0.02145922746781116, 'sitting': 0.40772532188841204, 'lying down': 0.04721030042918455}",1.6874662363576385,0.6010876013927152,3.2209052836112364,7,0.3701508806018727
A photo of a dog in Egypt,Egypt,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.18454935622317598, 'folded (ear starts upright but bends partway)': 0.38626609442060084, 'floppy (whole ear droops down)': 0.4291845493562232}",1.503749311609931,0.9487601826073024,2.835787270944926,3,0.9178936354724628
A photo of a dog in Egypt,Egypt,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.82, 'yes': 0.18}",0.6800770457282799,0.6800770457282799,1.6022253181824069,2,0.6022253181824069
A photo of a dog in Egypt,Egypt,"Does the dog have short, medium, or long fur?","{'long': 0.015810276679841896, 'short': 0.9130434782608695, 'medium': 0.07114624505928854}",0.485710260097192,0.3064490547102498,1.4002750720474142,3,0.2001375360237071
A photo of a dog in Egypt,Egypt,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.7551020408163265, 'single solid color': 0.24489795918367346}",0.8030909760146978,0.8030909760146978,1.7448354369903964,2,0.7448354369903964
A photo of a dog in Egypt,Egypt,Is the dog alone or with other animals or people?,"{'alone': 0.848, 'with other animals': 0.056, 'with other animals and people': 0.016, 'with people': 0.08}",0.8215416159662794,0.4107708079831397,1.7672934550040331,4,0.2557644850013444
A photo of a dog in Egypt,Egypt,Is the dog in an indoor or outdoor setting?,"{'outdoor': 0.9917355371900827, 'indoor': 0.008264462809917356}",0.0690543821256504,0.0690543821256504,1.049028869781018,2,0.0490288697810179
A photo of a dog in Egypt,Egypt,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.124, 'yes': 0.876}",0.5407504779634866,0.5407504779634866,1.454729058489411,2,0.454729058489411
A photo of a dog in Egypt,Egypt,Is the dog's mouth open or closed?,"{'open': 0.5817307692307693, 'closed': 0.4182692307692308}",0.9806390650205858,0.9806390650205858,1.9733393378764288,2,0.9733393378764286
A photo of a dog in Egypt,Egypt,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.035856573705179286, 'standing': 0.3386454183266932, 'walking': 0.03187250996015936, 'eating': 0.00398406374501992, 'running': 0.0199203187250996, 'sitting': 0.4860557768924303, 'lying down': 0.08366533864541832}",1.8092893064601407,0.644481854518791,3.504695993352741,7,0.4174493322254568
A photo of a dog in India,India,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.11764705882352941, 'folded (ear starts upright but bends partway)': 0.41596638655462187, 'floppy (whole ear droops down)': 0.46638655462184875}",1.4028328709955231,0.8850889975991457,2.6442028748643867,3,0.8221014374321933
A photo of a dog in India,India,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.772, 'yes': 0.228}",0.7745085286615678,0.7745085286615678,1.710607213267905,2,0.7106072132679053
A photo of a dog in India,India,"Does the dog have short, medium, or long fur?","{'long': 0.03187250996015936, 'short': 0.7768924302788844, 'medium': 0.19123505976095617}",0.8978080510990207,0.5664538124343756,1.8632329411367623,3,0.4316164705683811
A photo of a dog in India,India,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.756, 'single solid color': 0.244}",0.8016291015856118,0.8016291015856118,1.7430683009343368,2,0.7430683009343368
A photo of a dog in India,India,Is the dog alone or with other animals or people?,"{'alone': 0.612, 'with other animals': 0.056, 'with other animals and people': 0.048, 'with people': 0.284}",1.3924446673250133,0.6962223336625066,2.6252315331063687,4,0.5417438443687895
A photo of a dog in India,India,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in India,India,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.168, 'yes': 0.832}",0.6531091121418667,0.6531091121418667,1.5725535132218376,2,0.5725535132218376
A photo of a dog in India,India,Is the dog's mouth open or closed?,"{'open': 0.4808510638297872, 'closed': 0.5191489361702127}",0.9989417213071772,0.9989417213071772,1.998533452169276,2,0.9985334521692756
A photo of a dog in India,India,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.012345679012345678, 'standing': 0.5061728395061729, 'walking': 0.07407407407407407, 'eating': 0.0, 'running': 0.024691358024691357, 'sitting': 0.345679012345679, 'lying down': 0.037037037037037035}",1.6913286138297512,0.602463408007606,3.22953983156182,7,0.37158997192697
A photo of a dog in Indonesia,Indonesia,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.15668202764976957, 'folded (ear starts upright but bends partway)': 0.45161290322580644, 'floppy (whole ear droops down)': 0.391705069124424}",1.4665580025020524,0.9252950791168688,2.7636175957021605,3,0.8818087978510802
A photo of a dog in Indonesia,Indonesia,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.84, 'yes': 0.16}",0.6343095546405662,0.6343095546405662,1.552194722472226,2,0.5521947224722259
A photo of a dog in Indonesia,Indonesia,"Does the dog have short, medium, or long fur?","{'long': 0.09019607843137255, 'short': 0.5647058823529412, 'medium': 0.34509803921568627}",1.3083098774977349,0.8254516286047496,2.476512456430401,3,0.7382562282152008
A photo of a dog in Indonesia,Indonesia,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.7911646586345381, 'single solid color': 0.20883534136546184}",0.7392506317618845,0.7392506317618845,1.6693085372455378,2,0.6693085372455378
A photo of a dog in Indonesia,Indonesia,Is the dog alone or with other animals or people?,"{'alone': 0.792, 'with other animals': 0.032, 'with other animals and people': 0.004, 'with people': 0.172}",0.8940163037502753,0.4470081518751376,1.858342349321497,4,0.286114116440499
A photo of a dog in Indonesia,Indonesia,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Indonesia,Indonesia,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.264, 'yes': 0.736}",0.832722637493494,0.832722637493494,1.7810433572977709,2,0.7810433572977709
A photo of a dog in Indonesia,Indonesia,Is the dog's mouth open or closed?,"{'open': 0.5152838427947598, 'closed': 0.4847161572052402}",0.9993258798455944,0.9993258798455944,1.9990656893333256,2,0.9990656893333256
A photo of a dog in Indonesia,Indonesia,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.058823529411764705, 'standing': 0.4831932773109244, 'walking': 0.07563025210084033, 'eating': 0.004201680672268907, 'running': 0.04201680672268908, 'sitting': 0.21428571428571427, 'lying down': 0.12184873949579832}",2.100753069856302,0.7483033418220558,4.289332246909144,7,0.548222041151524
A photo of a dog in Italy,Italy,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.15384615384615385, 'folded (ear starts upright but bends partway)': 0.5192307692307693, 'floppy (whole ear droops down)': 0.3269230769230769}",1.4337314323782184,0.904583819318042,2.70144522961792,3,0.8507226148089599
A photo of a dog in Italy,Italy,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.844, 'yes': 0.156}",0.6246538232507122,0.6246538232507122,1.5418408140972275,2,0.5418408140972277
A photo of a dog in Italy,Italy,"Does the dog have short, medium, or long fur?","{'long': 0.10040160642570281, 'short': 0.6305220883534136, 'medium': 0.26907630522088355}",1.2620909357587462,0.796290723083036,2.398431000396341,3,0.6992155001981706
A photo of a dog in Italy,Italy,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.5894308943089431, 'single solid color': 0.4105691056910569}",0.9767983353794968,0.9767983353794968,1.9680929183888087,2,0.9680929183888092
A photo of a dog in Italy,Italy,Is the dog alone or with other animals or people?,"{'alone': 0.788, 'with other animals': 0.04, 'with other animals and people': 0.004, 'with people': 0.168}",0.9208210001081364,0.4604105000540681,1.893192353334047,4,0.2977307844446823
A photo of a dog in Italy,Italy,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Italy,Italy,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.268, 'yes': 0.732}",0.8385800999954849,0.8385800999954849,1.7882892417513472,2,0.7882892417513472
A photo of a dog in Italy,Italy,Is the dog's mouth open or closed?,"{'open': 0.7121951219512195, 'closed': 0.28780487804878047}",0.8658687555599283,0.8658687555599283,1.8224367635376388,2,0.8224367635376388
A photo of a dog in Italy,Italy,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.032, 'standing': 0.236, 'walking': 0.12, 'eating': 0.0, 'running': 0.04, 'sitting': 0.5, 'lying down': 0.072}",1.9766497873092856,0.704096860635111,3.935780565606766,7,0.489296760934461
A photo of a dog in Japan,Japan,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.2677595628415301, 'folded (ear starts upright but bends partway)': 0.366120218579235, 'floppy (whole ear droops down)': 0.366120218579235}",1.5704717842786509,0.9908573758458564,2.9700182257789653,3,0.9850091128894828
A photo of a dog in Japan,Japan,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.812, 'yes': 0.188}",0.6972688157923281,0.6972688157923281,1.621432331342122,2,0.621432331342122
A photo of a dog in Japan,Japan,"Does the dog have short, medium, or long fur?","{'long': 0.31906614785992216, 'short': 0.31906614785992216, 'medium': 0.36186770428015563}",1.5823549064296265,0.9983547911762308,2.994582557450326,3,0.9972912787251632
A photo of a dog in Japan,Japan,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.6403162055335968, 'single solid color': 0.35968379446640314}",0.9424204018666796,0.9424204018666796,1.9217496448778424,2,0.9217496448778426
A photo of a dog in Japan,Japan,Is the dog alone or with other animals or people?,"{'alone': 0.42063492063492064, 'with other animals': 0.023809523809523808, 'with other animals and people': 0.0873015873015873, 'with people': 0.46825396825396826}",1.4735945321398218,0.7367972660699109,2.777129652593933,4,0.5923765508646444
A photo of a dog in Japan,Japan,Is the dog in an indoor or outdoor setting?,"{'outdoor': 0.9960159362549801, 'indoor': 0.00398406374501992}",0.0374954616578566,0.0374954616578566,1.0263305553172286,2,0.0263305553172286
A photo of a dog in Japan,Japan,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.23790322580645162, 'yes': 0.7620967741935484}",0.7915359955073132,0.7915359955073132,1.730916338297323,2,0.7309163382973229
A photo of a dog in Japan,Japan,Is the dog's mouth open or closed?,"{'open': 0.8263157894736842, 'closed': 0.1736842105263158}",0.6660636950950826,0.6660636950950826,1.5867377394269593,2,0.5867377394269593
A photo of a dog in Japan,Japan,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.03937007874015748, 'standing': 0.33070866141732286, 'walking': 0.1141732283464567, 'eating': 0.0, 'running': 0.01968503937007874, 'sitting': 0.421259842519685, 'lying down': 0.07480314960629922}",1.98587908009588,0.7073844010576199,3.961039478143556,7,0.4935065796905927
A photo of a dog in Mexico,Mexico,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.21120689655172414, 'folded (ear starts upright but bends partway)': 0.46120689655172414, 'floppy (whole ear droops down)': 0.3275862068965517}",1.5161696118160184,0.9565965195556128,2.860306227581769,3,0.9301531137908848
A photo of a dog in Mexico,Mexico,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.816, 'yes': 0.184}",0.6887498056988564,0.6887498056988564,1.611886103081181,2,0.6118861030811811
A photo of a dog in Mexico,Mexico,"Does the dog have short, medium, or long fur?","{'long': 0.0642570281124498, 'short': 0.7309236947791165, 'medium': 0.20481927710843373}",1.0535267635672416,0.6647013813184149,2.0755975867005154,3,0.5377987933502577
A photo of a dog in Mexico,Mexico,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.8137651821862348, 'single solid color': 0.1862348178137652}",0.6935282036268345,0.6935282036268345,1.6172337354644977,2,0.6172337354644977
A photo of a dog in Mexico,Mexico,Is the dog alone or with other animals or people?,"{'alone': 0.8605577689243028, 'with other animals': 0.02390438247011952, 'with other animals and people': 0.01195219123505976, 'with people': 0.10358565737051793}",0.7303810214987082,0.3651905107493541,1.6590772026612095,4,0.2196924008870698
A photo of a dog in Mexico,Mexico,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Mexico,Mexico,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.17269076305220885, 'yes': 0.8273092369477911}",0.663823245112526,0.663823245112526,1.5842755090359102,2,0.5842755090359102
A photo of a dog in Mexico,Mexico,Is the dog's mouth open or closed?,"{'open': 0.5829787234042553, 'closed': 0.41702127659574467}",0.980040520654861,0.980040520654861,1.9725208099621387,2,0.9725208099621389
A photo of a dog in Mexico,Mexico,"What is the dog's primary activity or posture (e.g., standing, sitting, lying down, in motion/playing, eating, sleeping)?","{'playing': 0.045081967213114756, 'standing': 0.4262295081967213, 'walking': 0.03278688524590164, 'eating': 0.0, 'running': 0.02459016393442623, 'sitting': 0.4385245901639344, 'lying down': 0.03278688524590164}",1.702269218542667,0.6063605300376546,3.254123981681684,7,0.3756873302802806
A photo of a dog in Nigeria,Nigeria,"Are the dog's ears floppy (whole ear droops down), erect, or folded (ear starts upright but bends partway)?","{'erect': 0.11818181818181818, 'folded (ear starts upright but bends partway)': 0.37272727272727274, 'floppy (whole ear droops down)': 0.509090909090909}",1.3906576757028282,0.8774073046334412,2.621981807829903,3,0.8109909039149514
A photo of a dog in Nigeria,Nigeria,"Are there any objects like toys, a leash, or food near the dog?","{'no': 0.7068273092369478, 'yes': 0.2931726907630522}",0.8727844313515927,0.8727844313515927,1.8311937339588324,2,0.8311937339588324
A photo of a dog in Nigeria,Nigeria,"Does the dog have short, medium, or long fur?","{'long': 0.03968253968253968, 'short': 0.8849206349206349, 'medium': 0.07539682539682539}",0.6219998386327351,0.3924382049100379,1.539007048020968,3,0.269503524010484
A photo of a dog in Nigeria,Nigeria,"Does the dog's fur appear predominantly as a single solid color, or does it have multiple distinct colors/patterns (e.g., spots, patches)?","{'multiple colors/patterns': 0.7206477732793523, 'single solid color': 0.2793522267206478}",0.8545666719502143,0.8545666719502143,1.8082155577142345,2,0.8082155577142343
A photo of a dog in Nigeria,Nigeria,Is the dog alone or with other animals or people?,"{'alone': 0.488, 'with other animals': 0.068, 'with other animals and people': 0.064, 'with people': 0.38}",1.5530918595606151,0.7765459297803076,2.9344535254848254,4,0.6448178418282752
A photo of a dog in Nigeria,Nigeria,Is the dog in an indoor or outdoor setting?,"{'outdoor': 1.0, 'indoor': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a dog in Nigeria,Nigeria,"Is the dog wearing an accessory (e.g., collar, harness)?","{'no': 0.1935483870967742, 'yes': 0.8064516129032258}",0.7088356733321961,0.7088356733321961,1.634484474396927,2,0.6344844743969267
