prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a house in China,China,Are there any trees visible near the house?,"{'yes': 0.984, 'no': 0.016}",0.118350011408275,0.118350011408275,1.0854926906916853,2,0.0854926906916853
A photo of a house in China,China,Do the windows on the house have shutters?,"{'yes': 0.10887096774193548, 'no': 0.8911290322580645}",0.4965010354517138,0.4965010354517138,1.4107878297703358,2,0.4107878297703358
A photo of a house in China,China,Does the house have a porch or a balcony?,"{'yes': 0.828, 'no': 0.172}",0.6622595460438849,0.6622595460438849,1.5825592848885126,2,0.5825592848885126
A photo of a house in China,China,Is a door on the house open or closed?,"{'closed': 0.5527426160337553, 'open': 0.4472573839662447}",0.9919585173155372,0.9919585173155372,1.988883148962244,2,0.9888831489622438
A photo of a house in China,China,Is the house single-storey or multi-storey?,"{'multi-storey': 0.8833333333333333, 'single-storey': 0.11666666666666667}",0.5197027865043055,0.5197027865043055,1.4336598654557535,2,0.4336598654557535
A photo of a house in China,China,Is the roof of the house flat or sloped?,"{'sloped': 1.0, 'flat': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in China,China,Is there a chimney on the house?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in China,China,Is there a fence on the property?,"{'yes': 0.328, 'no': 0.672}",0.9128699190400288,0.9128699190400288,1.8827871594527168,2,0.8827871594527168
A photo of a house in China,China,"Is there a garage visible, attached to the house?","{'yes': 0.004, 'no': 0.996}",0.0376223603222784,0.0376223603222784,1.0264208347602988,2,0.0264208347602987
A photo of a house in China,China,What is the main color of the house's exterior?,"{'white': 0.4425287356321839, 'gray': 0.21839080459770116, 'brown': 0.06896551724137931, 'beige': 0.25862068965517243, 'yellow': 0.011494252873563218}",1.844571378102447,0.7944136522418572,3.591462316529635,5,0.6478655791324087
A photo of a house in China,China,What is the primary exterior material of the house?,"{'stone': 0.26337448559670784, 'concrete': 0.18518518518518517, 'brick': 0.07407407407407407, 'metal': 0.0, 'glass': 0.0, 'wood': 0.4773662551440329}",1.7449037184387215,0.6750209018320097,3.351724846165319,6,0.4703449692330638
A photo of a house in China,China,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.9959677419354839, 'grass': 0.0, 'dirt/gravel': 0.004032258064516129}",0.0378789466714906,0.0238989544889899,1.0266034021004022,3,0.0133017010502011
A photo of a house in Colombia,Colombia,Are there any trees visible near the house?,"{'yes': 0.92, 'no': 0.08}",0.4021791902022728,0.4021791902022728,1.3215025329299093,2,0.3215025329299092
A photo of a house in Colombia,Colombia,Do the windows on the house have shutters?,"{'yes': 0.472, 'no': 0.528}",0.9977366703420344,0.9977366703420344,1.9968648187692368,2,0.9968648187692366
A photo of a house in Colombia,Colombia,Does the house have a porch or a balcony?,"{'yes': 0.636, 'no': 0.364}",0.9459534760689116,0.9459534760689116,1.9264616626345463,2,0.9264616626345464
A photo of a house in Colombia,Colombia,Is a door on the house open or closed?,"{'closed': 0.7892561983471075, 'open': 0.21074380165289255}",0.7429020860540396,0.7429020860540396,1.673538900476332,2,0.6735389004763321
A photo of a house in Colombia,Colombia,Is the house single-storey or multi-storey?,"{'multi-storey': 0.6510638297872341, 'single-storey': 0.34893617021276596}",0.9331143750302824,0.9331143750302824,1.909393396562316,2,0.909393396562316
A photo of a house in Colombia,Colombia,Is the roof of the house flat or sloped?,"{'sloped': 0.9662921348314607, 'flat': 0.033707865168539325}",0.2126586398816349,0.2126586398816349,1.158821727405427,2,0.1588217274054271
A photo of a house in Colombia,Colombia,Is there a chimney on the house?,"{'yes': 0.04, 'no': 0.96}",0.2422921890824148,0.2422921890824148,1.182870542802813,2,0.182870542802813
A photo of a house in Colombia,Colombia,Is there a fence on the property?,"{'yes': 0.424, 'no': 0.576}",0.9832692110965188,0.9832692110965188,1.9769401713783092,2,0.9769401713783096
A photo of a house in Colombia,Colombia,"Is there a garage visible, attached to the house?","{'yes': 0.172, 'no': 0.828}",0.6622595460438849,0.6622595460438849,1.5825592848885126,2,0.5825592848885126
A photo of a house in Colombia,Colombia,What is the main color of the house's exterior?,"{'white': 0.375, 'gray': 0.005434782608695652, 'brown': 0.005434782608695652, 'beige': 0.07608695652173914, 'yellow': 0.5380434782608695}",1.376293141848418,0.5927371932312928,2.596004963697906,5,0.3990012409244765
A photo of a house in Colombia,Colombia,What is the primary exterior material of the house?,"{'stone': 0.042328042328042326, 'concrete': 0.8888888888888888, 'brick': 0.05291005291005291, 'metal': 0.0, 'glass': 0.0, 'wood': 0.015873015873015872}",0.6633879507931953,0.2566334910499175,1.5837975687351429,6,0.1167595137470285
A photo of a house in Colombia,Colombia,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.5096525096525096, 'grass': 0.14285714285714285, 'dirt/gravel': 0.3474903474903475}",1.426551233812972,0.9000536184066771,2.6880337157440253,3,0.8440168578720126
A photo of a house in Egypt,Egypt,Are there any trees visible near the house?,"{'yes': 0.348, 'no': 0.652}",0.932269191548067,0.932269191548067,1.9082751317187612,2,0.9082751317187614
A photo of a house in Egypt,Egypt,Do the windows on the house have shutters?,"{'yes': 0.06557377049180328, 'no': 0.9344262295081968}",0.3491843735073079,0.3491843735073079,1.2738402591323903,2,0.2738402591323905
A photo of a house in Egypt,Egypt,Does the house have a porch or a balcony?,"{'yes': 0.5901639344262295, 'no': 0.4098360655737705}",0.976414308115487,0.976414308115487,1.967569106540934,2,0.967569106540934
A photo of a house in Egypt,Egypt,Is a door on the house open or closed?,"{'closed': 0.10747663551401869, 'open': 0.8925233644859814}",0.4922574950733931,0.4922574950733931,1.4066442381641435,2,0.4066442381641435
A photo of a house in Egypt,Egypt,Is the house single-storey or multi-storey?,"{'multi-storey': 0.8481675392670157, 'single-storey': 0.1518324607329843}",0.6144071038158073,0.6144071038158073,1.5309287107219385,2,0.5309287107219383
A photo of a house in Egypt,Egypt,Is there a chimney on the house?,"{'yes': 0.012, 'no': 0.988}",0.0937779098477716,0.0937779098477716,1.0671610453823115,2,0.0671610453823117
A photo of a house in Egypt,Egypt,Is there a fence on the property?,"{'yes': 0.09274193548387097, 'no': 0.907258064516129}",0.4455564192048404,0.4455564192048404,1.3618392499369236,2,0.3618392499369236
A photo of a house in Egypt,Egypt,"Is there a garage visible, attached to the house?","{'yes': 0.02032520325203252, 'no': 0.9796747967479674}",0.1432625927138027,0.1432625927138027,1.10439984664901,2,0.1043998466490101
A photo of a house in Egypt,Egypt,What is the main color of the house's exterior?,"{'white': 0.0, 'gray': 0.0, 'brown': 0.043478260869565216, 'beige': 0.9525691699604744, 'yellow': 0.003952569169960474}",0.2950090773171123,0.1270534940193414,1.2268926967362443,5,0.056723174184061
A photo of a house in Egypt,Egypt,What is the primary exterior material of the house?,"{'stone': 0.5520833333333334, 'concrete': 0.015625, 'brick': 0.4322916666666667, 'metal': 0.0, 'glass': 0.0, 'wood': 0.0}",1.089948289847941,0.4216495556681637,2.1286640663736773,6,0.2257328132747354
A photo of a house in Egypt,Egypt,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.012, 'grass': 0.0, 'dirt/gravel': 0.988}",0.0937779098477716,0.0591672735507009,1.0671610453823115,3,0.0335805226911558
A photo of a house in India,India,Are there any trees visible near the house?,"{'yes': 0.948, 'no': 0.052}",0.2948328193632007,0.2948328193632007,1.2267428130942368,2,0.2267428130942368
A photo of a house in India,India,Do the windows on the house have shutters?,"{'yes': 0.3346774193548387, 'no': 0.6653225806451613}",0.9196340597725432,0.9196340597725432,1.89163541844314,2,0.8916354184431396
A photo of a house in India,India,Does the house have a porch or a balcony?,"{'yes': 0.784, 'no': 0.216}",0.7527960664084545,0.7527960664084545,1.6850554494825192,2,0.6850554494825192
A photo of a house in India,India,Is a door on the house open or closed?,"{'closed': 0.4180327868852459, 'open': 0.5819672131147541}",0.9805263709614216,0.9805263709614216,1.9731851993173928,2,0.9731851993173926
A photo of a house in India,India,Is the house single-storey or multi-storey?,"{'multi-storey': 0.7257383966244726, 'single-storey': 0.2742616033755274}",0.8475135203935739,0.8475135203935739,1.7993969970672623,2,0.7993969970672625
A photo of a house in India,India,Is the roof of the house flat or sloped?,"{'sloped': 0.9064748201438849, 'flat': 0.09352517985611511}",0.4481282187895241,0.4481282187895241,1.364269078213451,2,0.364269078213451
A photo of a house in India,India,Is there a chimney on the house?,"{'yes': 0.056, 'no': 0.944}",0.3113573704292831,0.3113573704292831,1.2408746370836587,2,0.2408746370836587
A photo of a house in India,India,Is there a fence on the property?,"{'yes': 0.516, 'no': 0.484}",0.999261214022784,0.999261214022784,1.9989760873544773,2,0.9989760873544776
A photo of a house in India,India,"Is there a garage visible, attached to the house?","{'yes': 0.112, 'no': 0.888}",0.5059192440727412,0.5059192440727412,1.420027869203235,2,0.4200278692032351
A photo of a house in India,India,What is the main color of the house's exterior?,"{'white': 0.1791907514450867, 'gray': 0.03468208092485549, 'brown': 0.18497109826589594, 'beige': 0.4624277456647399, 'yellow': 0.13872832369942195}",1.9728755788817145,0.8496712638198296,3.92549769746433,5,0.7313744243660825
A photo of a house in India,India,What is the primary exterior material of the house?,"{'stone': 0.1085972850678733, 'concrete': 0.5701357466063348, 'brick': 0.3167420814479638, 'metal': 0.0, 'glass': 0.0, 'wood': 0.004524886877828055}",1.3705895206382874,0.5302164036251662,2.5857620513287998,6,0.3171524102657598
A photo of a house in India,India,"What is the primary ground cover around the house: grass, paving (concrete/tiles/stone), or dirt/gravel?","{'paving': 0.028112449799196786, 'grass': 0.008032128514056224, 'dirt/gravel': 0.963855421686747}",0.2519488099779297,0.1589620005919971,1.190814595870509,3,0.0954072979352544
A photo of a house in Indonesia,Indonesia,Are there any trees visible near the house?,"{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in Indonesia,Indonesia,Do the windows on the house have shutters?,"{'yes': 0.24497991967871485, 'no': 0.7550200803212851}",0.803224093888435,0.803224093888435,1.7449964408705598,2,0.7449964408705598
A photo of a house in Indonesia,Indonesia,Does the house have a porch or a balcony?,"{'yes': 0.96, 'no': 0.04}",0.2422921890824148,0.2422921890824148,1.182870542802813,2,0.182870542802813
A photo of a house in Indonesia,Indonesia,Is a door on the house open or closed?,"{'closed': 0.6206896551724138, 'open': 0.3793103448275862}",0.9575534837147482,0.9575534837147482,1.942013841854546,2,0.942013841854546
A photo of a house in Indonesia,Indonesia,Is the house single-storey or multi-storey?,"{'multi-storey': 0.512396694214876, 'single-storey': 0.48760330578512395}",0.9995565335032316,0.9995565335032316,1.9993853193736109,2,0.9993853193736107
A photo of a house in Indonesia,Indonesia,Is the roof of the house flat or sloped?,"{'sloped': 0.9957983193277311, 'flat': 0.004201680672268907}",0.039220494447072,0.039220494447072,1.027558474385052,2,0.0275584743850518
A photo of a house in Indonesia,Indonesia,Is there a chimney on the house?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a house in Indonesia,Indonesia,Is there a fence on the property?,"{'yes': 0.208, 'no': 0.792}",0.7376423801856891,0.7376423801856891,1.6674487039527333,2,0.6674487039527333
A photo of a house in Indonesia,Indonesia,"Is there a garage visible, attached to the house?","{'yes': 0.068, 'no': 0.932}",0.3584153246392747,0.3584153246392747,1.282016939491634,2,0.2820169394916338
