prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a house in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.0, 'mountains / hills': 0.3716216216216216, 'open ground / fields': 0.04391891891891892, 'trees / forest / plants': 0.5844594594594594}",1.1815953649373954,0.5907976824686977,2.2682746938949903,4,0.42275823129833
A photo of a house in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.5555555555555556, 'natural (trees, sky, soil, water, mountains)': 0.4305555555555556, 'built structures (walls, windows, houses, buildings, fences)': 0.013888888888888888}",1.0802415373105396,0.6815565269329912,2.1143900445879726,3,0.5571950222939863
A photo of a house in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0055248618784530384, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.3756906077348066, 'none of the above': 0.4088397790055249, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.20994475138121546}",1.5723968938654065,0.7861984469327032,2.9739840167738083,4,0.6579946722579361
A photo of a house in Colombia,Colombia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.358695652173913, 'dirt / gravel road (man-made)': 0.2210144927536232, 'paved road': 0.37681159420289856, 'tiled / courtyard-style surface': 0.043478260869565216}",1.739152849261702,0.869576424630851,3.338390798492058,4,0.7794635994973528
A photo of a house in Egypt,Egypt,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.5913978494623656, 'natural (trees, sky, soil, water, mountains)': 0.3655913978494624, 'built structures (walls, windows, houses, buildings, fences)': 0.043010752688172046}",1.1741209525449363,0.7407878432522618,2.2565534517204338,3,0.6282767258602169
A photo of a house in Egypt,Egypt,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.7669902912621359, 'dirt / gravel road (man-made)': 0.21359223300970873, 'paved road': 0.0, 'tiled / courtyard-style surface': 0.019417475728155338}",0.8796444619792215,0.4398222309896107,1.8399218147162903,4,0.2799739382387634
A photo of a house in Indonesia,Indonesia,"What natural features, if any, are visible in the background of the image?","{'waterbody': 0.04296875, 'mountains / hills': 0.1875, 'open ground / fields': 0.02734375, 'trees / forest / plants': 0.7421875}",1.109156258293324,0.5545781291466619,2.1571944964623877,4,0.3857314988207957
A photo of a house in Indonesia,Indonesia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.3888888888888889, 'natural (trees, sky, soil, water, mountains)': 0.6060606060606061, 'built structures (walls, windows, houses, buildings, fences)': 0.005050505050505051}",1.0062786649961266,0.6348911501302213,2.0087230456285696,3,0.5043615228142848
A photo of a house in Indonesia,Indonesia,What type of modern infrastructure is visible in the background?,"{'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0, 'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.21739130434782608, 'none of the above': 0.5714285714285714, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.2111801242236025}",1.413734628718154,0.706867314359077,2.664259537597855,4,0.554753179199285
A photo of a house in Indonesia,Indonesia,What type of road or terrain is visible?,"{'natural ground / grass (wild, non-constructed)': 0.6203208556149733, 'dirt / gravel road (man-made)': 0.13368983957219252, 'paved road': 0.24064171122994651, 'tiled / courtyard-style surface': 0.0053475935828877}",1.350340505267306,0.6751702526336529,2.549722969920815,4,0.5165743233069383
