prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a backyard in China,China,Are there any animals or pets in the backyard?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a backyard in China,China,Are there any distinct pathways or walkways visible in the backyard?,"{'yes': 0.792, 'no': 0.208}",0.7376423801856891,0.7376423801856891,1.6674487039527333,2,0.6674487039527333
A photo of a backyard in China,China,"Are there any plants, trees, or shrubs in the backyard?","{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a backyard in China,China,"Are there any structures (e.g., a shed, playhouse) in the backyard?","{'yes': 0.12, 'no': 0.88}",0.5293608652873644,0.5293608652873644,1.4432896557346917,2,0.4432896557346915
A photo of a backyard in China,China,"Are there any visible recreational items (e.g., a swing set, trampoline, basketball hoop) in the backyard?","{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a backyard in China,China,"Is a body of water (e.g., a pool, pond, or fountain) visible in the backyard?","{'yes': 0.028, 'no': 0.972}",0.1842605933396551,0.1842605933396551,1.1362344837624294,2,0.1362344837624294
A photo of a backyard in China,China,Is the backyard enclosed by a fence or wall?,"{'yes': 0.992, 'no': 0.008}",0.0672215447583068,0.0672215447583068,1.0476970023725325,2,0.0476970023725324
A photo of a backyard in China,China,Is there a garden or vegetable patch in the backyard?,"{'yes': 0.016, 'no': 0.984}",0.118350011408275,0.118350011408275,1.0854926906916853,2,0.0854926906916853
A photo of a backyard in China,China,Is there a patio or deck attached to the house in the backyard?,"{'yes': 0.856, 'no': 0.144}",0.5946193440950123,0.5946193440950123,1.510074099086978,2,0.5100740990869781
A photo of a backyard in China,China,Is there a visible grill or outdoor kitchen area in the backyard?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a backyard in China,China,"Is there any outdoor furniture (e.g., a table, chairs) in the backyard?","{'yes': 0.344, 'no': 0.656}",0.9285950940151024,0.9285950940151024,1.903421528798229,2,0.903421528798229
