prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a car in China,China,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.8273092369477911, 'yes': 0.17269076305220885}",0.663823245112526,0.663823245112526,1.5842755090359102,2,0.5842755090359102
A photo of a car in China,China,Are any wheels visible on the car?,"{'no': 0.08, 'yes': 0.92}",0.4021791902022728,0.4021791902022728,1.3215025329299093,2,0.3215025329299092
A photo of a car in China,China,Are the car’s lights turned on or off?,"{'on': 0.04736842105263158, 'off': 0.9526315789473684}",0.2751112368833638,0.2751112368833638,1.2100873876341371,2,0.2100873876341371
A photo of a car in China,China,Are there any logos or brand badges on the car?,"{'no': 0.6184738955823293, 'yes': 0.3815261044176707}",0.959112735046174,0.959112735046174,1.944113886934631,2,0.944113886934631
A photo of a car in China,China,Does the car appear modern or vintage?,"{'vintage': 0.3333333333333333, 'modern': 0.6666666666666666}",0.9182958340544896,0.9182958340544896,1.88988157484231,2,0.8898815748423099
A photo of a car in China,China,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.005405405405405406, 'fixed roof': 0.9945945945945946}",0.0484874069244722,0.0484874069244722,1.0341800695264685,2,0.0341800695264684
A photo of a car in China,China,Is the car a sedan or SUV?,"{'sedan': 0.8490566037735849, 'suv': 0.1509433962264151}",0.6121961274908337,0.6121961274908337,1.5285843103670822,2,0.5285843103670822
A photo of a car in China,China,Is the car moving or stationary?,"{'moving': 0.034653465346534656, 'stationary': 0.9653465346534653}",0.2172169499024021,0.2172169499024021,1.1624889073794673,2,0.1624889073794673
A photo of a car in China,China,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.987603305785124, 'unpaved surface': 0.012396694214876033}",0.0962927636813615,0.0962927636813615,1.0690229042236898,2,0.0690229042236898
A photo of a car in China,China,"Is the car viewed from the front, side, or rear?","{'rear': 0.18354430379746836, 'side': 0.46835443037974683, 'front': 0.34810126582278483}",1.491402380081545,0.9409701361407344,2.8116214765288348,3,0.9058107382644174
A photo of a car in China,China,Is there a license plate on the car?,"{'no': 0.6184738955823293, 'yes': 0.3815261044176707}",0.959112735046174,0.959112735046174,1.944113886934631,2,0.944113886934631
A photo of a car in China,China,What is the primary color of the car?,"{'yellow': 0.01098901098901099, 'white': 0.25274725274725274, 'brown': 0.007326007326007326, 'beige': 0.05860805860805861, 'orange': 0.014652014652014652, 'gray': 0.2673992673992674, 'green': 0.014652014652014652, 'black': 0.08791208791208792, 'blue': 0.15018315018315018, 'red': 0.13553113553113552}",2.662175549150553,0.8013946940175478,6.3298685898882905,10,0.592207621098699
A photo of a car in Colombia,Colombia,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.8951612903225806, 'yes': 0.10483870967741936}",0.4841489111877143,0.4841489111877143,1.3987604516626089,2,0.3987604516626089
A photo of a car in Colombia,Colombia,Are any wheels visible on the car?,"{'no': 0.008064516129032258, 'yes': 0.9919354838709677}",0.067669825251984,0.067669825251984,1.0480225979359918,2,0.0480225979359918
A photo of a car in Colombia,Colombia,Are the car’s lights turned on or off?,"{'on': 0.0, 'off': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Colombia,Colombia,Are there any logos or brand badges on the car?,"{'no': 0.6975806451612904, 'yes': 0.3024193548387097}",0.8842282250306477,0.8842282250306477,1.8457769521970575,2,0.8457769521970577
A photo of a car in Colombia,Colombia,Does the car appear modern or vintage?,"{'vintage': 1.0, 'modern': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Colombia,Colombia,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.018518518518518517, 'fixed roof': 0.9814814814814815}",0.1330396486106989,0.1330396486106989,1.0966017253362883,2,0.0966017253362883
A photo of a car in Colombia,Colombia,Is the car a sedan or SUV?,"{'sedan': 0.9521739130434783, 'suv': 0.04782608695652174}",0.2770895559110393,0.2770895559110393,1.2117478778628663,2,0.2117478778628665
A photo of a car in Colombia,Colombia,Is the car moving or stationary?,"{'moving': 0.004132231404958678, 'stationary': 0.9958677685950413}",0.0386717908637649,0.0386717908637649,1.0271677349743498,2,0.0271677349743497
A photo of a car in Colombia,Colombia,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.8112449799196787, 'unpaved surface': 0.18875502008032127}",0.698859781286107,0.698859781286107,1.6232213898195482,2,0.6232213898195482
A photo of a car in Colombia,Colombia,"Is the car viewed from the front, side, or rear?","{'rear': 0.06774193548387097, 'side': 0.5612903225806452, 'front': 0.3709677419354839}",1.2614721794205737,0.7959003312990719,2.397402559775633,3,0.6987012798878165
A photo of a car in Colombia,Colombia,Is there a license plate on the car?,"{'no': 0.5267489711934157, 'yes': 0.4732510288065844}",0.9979344959572084,0.9979344959572084,1.9971386521747776,2,0.9971386521747776
A photo of a car in Colombia,Colombia,What is the primary color of the car?,"{'yellow': 0.14772727272727273, 'white': 0.10227272727272728, 'brown': 0.007575757575757576, 'beige': 0.007575757575757576, 'orange': 0.030303030303030304, 'gray': 0.04924242424242424, 'green': 0.1590909090909091, 'black': 0.015151515151515152, 'blue': 0.3068181818181818, 'red': 0.17424242424242425}",2.69322973527186,0.8107429355309933,6.467596770859904,10,0.6075107523177672
A photo of a car in Egypt,Egypt,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.928, 'yes': 0.072}",0.3733433210798535,0.3733433210798535,1.295351219549342,2,0.2953512195493419
A photo of a car in Egypt,Egypt,Are any wheels visible on the car?,"{'no': 0.024, 'yes': 0.976}",0.1633455431834023,0.1633455431834023,1.11988108181015,2,0.1198810818101501
A photo of a car in Egypt,Egypt,Are the car’s lights turned on or off?,"{'on': 0.011494252873563218, 'off': 0.9885057471264368}",0.0905438532696429,0.0905438532696429,1.0647714941012814,2,0.0647714941012813
A photo of a car in Egypt,Egypt,Are there any logos or brand badges on the car?,"{'no': 0.816, 'yes': 0.184}",0.6887498056988564,0.6887498056988564,1.611886103081181,2,0.6118861030811811
A photo of a car in Egypt,Egypt,Does the car appear modern or vintage?,"{'vintage': 0.9758064516129032, 'modern': 0.024193548387096774}",0.1643790586740574,0.1643790586740574,1.1206836277989187,2,0.1206836277989187
A photo of a car in Egypt,Egypt,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.043478260869565216, 'fixed roof': 0.9565217391304348}",0.2580186686648155,0.2580186686648155,1.1958352709427176,2,0.1958352709427175
A photo of a car in Egypt,Egypt,Is the car a sedan or SUV?,"{'sedan': 0.9861111111111112, 'suv': 0.013888888888888888}",0.1055910363751952,0.1055910363751952,1.0759350840982054,2,0.0759350840982053
A photo of a car in Egypt,Egypt,Is the car moving or stationary?,"{'moving': 0.008333333333333333, 'stationary': 0.9916666666666667}",0.0695296469948078,0.0695296469948078,1.0493745067205262,2,0.0493745067205262
A photo of a car in Egypt,Egypt,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.22310756972111553, 'unpaved surface': 0.7768924302788844}",0.765801375399378,0.765801375399378,1.700314211414531,2,0.7003142114145311
A photo of a car in Egypt,Egypt,"Is the car viewed from the front, side, or rear?","{'rear': 0.10542168674698796, 'side': 0.5391566265060241, 'front': 0.35542168674698793}",1.353112294153934,0.853718806305051,2.5546263535102605,3,0.7773131767551302
A photo of a car in Egypt,Egypt,Is there a license plate on the car?,"{'no': 0.6300813008130082, 'yes': 0.3699186991869919}",0.9506096473083936,0.9506096473083936,1.9326891920541076,2,0.9326891920541074
A photo of a car in Egypt,Egypt,What is the primary color of the car?,"{'yellow': 0.005434782608695652, 'white': 0.15217391304347827, 'brown': 0.021739130434782608, 'beige': 0.2391304347826087, 'orange': 0.016304347826086956, 'gray': 0.043478260869565216, 'green': 0.02717391304347826, 'black': 0.016304347826086956, 'blue': 0.40217391304347827, 'red': 0.07608695652173914}",2.410829007786543,0.7257318457605831,5.317798115207707,10,0.4797553461341897
A photo of a car in India,India,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.784, 'yes': 0.216}",0.7527960664084545,0.7527960664084545,1.6850554494825192,2,0.6850554494825192
A photo of a car in India,India,Are any wheels visible on the car?,"{'no': 0.02, 'yes': 0.98}",0.1414405425418206,0.1414405425418206,1.10300592644415,2,0.1030059264441498
A photo of a car in India,India,Are the car’s lights turned on or off?,"{'on': 0.005780346820809248, 'off': 0.9942196531791907}",0.0512898587999568,0.0512898587999568,1.036190928751106,2,0.0361909287511059
A photo of a car in India,India,Are there any logos or brand badges on the car?,"{'no': 0.776, 'yes': 0.224}",0.7674044165839726,0.7674044165839726,1.7022045544868107,2,0.7022045544868107
A photo of a car in India,India,Does the car appear modern or vintage?,"{'vintage': 0.9959677419354839, 'modern': 0.004032258064516129}",0.0378789466714906,0.0378789466714906,1.0266034021004022,2,0.0266034021004022
A photo of a car in India,India,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.04390243902439024, 'fixed roof': 0.9560975609756097}",0.2599071509222186,0.2599071509222186,1.197401639672774,2,0.197401639672774
A photo of a car in India,India,Is the car a sedan or SUV?,"{'sedan': 0.7, 'suv': 0.3}",0.8812908992306927,0.8812908992306927,1.8420227750373133,2,0.8420227750373133
A photo of a car in India,India,Is the car moving or stationary?,"{'moving': 0.02127659574468085, 'stationary': 0.9787234042553191}",0.1485494904303482,0.1485494904303482,1.1084544531043852,2,0.1084544531043851
A photo of a car in India,India,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.46215139442231074, 'unpaved surface': 0.5378486055776892}",0.9958626733266264,0.9958626733266264,1.994272663647573,2,0.9942726636475728
A photo of a car in India,India,"Is the car viewed from the front, side, or rear?","{'rear': 0.12751677852348994, 'side': 0.540268456375839, 'front': 0.33221476510067116}",1.3869364121561518,0.8750594487409622,2.615227426463038,3,0.8076137132315191
A photo of a car in India,India,Is there a license plate on the car?,"{'no': 0.5662650602409639, 'yes': 0.43373493975903615}",0.9872927315785848,0.9872927315785848,1.982461339157085,2,0.9824613391570848
A photo of a car in India,India,What is the primary color of the car?,"{'yellow': 0.06694560669456066, 'white': 0.06694560669456066, 'brown': 0.09623430962343096, 'beige': 0.10460251046025104, 'orange': 0.07531380753138076, 'gray': 0.07531380753138076, 'green': 0.10460251046025104, 'black': 0.02092050209205021, 'blue': 0.2510460251046025, 'red': 0.13807531380753138}",3.102372595931595,0.9339072091013422,8.588300051925808,10,0.8431444502139787
A photo of a car in Indonesia,Indonesia,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.7911646586345381, 'yes': 0.20883534136546184}",0.7392506317618845,0.7392506317618845,1.6693085372455378,2,0.6693085372455378
A photo of a car in Indonesia,Indonesia,Are any wheels visible on the car?,"{'no': 0.024096385542168676, 'yes': 0.9759036144578314}",0.1638605128691584,0.1638605128691584,1.1202808944746514,2,0.1202808944746514
A photo of a car in Indonesia,Indonesia,Are the car’s lights turned on or off?,"{'on': 0.011111111111111112, 'off': 0.9888888888888889}",0.0880722590406813,0.0880722590406813,1.062948912044296,2,0.0629489120442958
A photo of a car in Indonesia,Indonesia,Are there any logos or brand badges on the car?,"{'no': 0.842741935483871, 'yes': 0.15725806451612903}",0.6277094348202131,0.6277094348202131,1.5451098759743511,2,0.5451098759743511
A photo of a car in Indonesia,Indonesia,Does the car appear modern or vintage?,"{'vintage': 1.0, 'modern': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Indonesia,Indonesia,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.03626943005181347, 'fixed roof': 0.9637305699481865}",0.2249180563328624,0.2249180563328624,1.1687108650420543,2,0.1687108650420543
A photo of a car in Indonesia,Indonesia,Is the car a sedan or SUV?,"{'sedan': 0.615819209039548, 'suv': 0.384180790960452}",0.9609413432710876,0.9609413432710876,1.9465796031679623,2,0.9465796031679624
A photo of a car in Indonesia,Indonesia,Is the car moving or stationary?,"{'moving': 0.0045662100456621, 'stationary': 0.9954337899543378}",0.0420738961245983,0.0420738961245983,1.0295928187443566,2,0.0295928187443565
A photo of a car in Indonesia,Indonesia,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 0.7911646586345381, 'unpaved surface': 0.20883534136546184}",0.7392506317618845,0.7392506317618845,1.6693085372455378,2,0.6693085372455378
A photo of a car in Indonesia,Indonesia,"Is the car viewed from the front, side, or rear?","{'rear': 0.11447811447811448, 'side': 0.5151515151515151, 'front': 0.37037037037037035}",1.3816469153388136,0.871722147817482,2.605656513253835,3,0.8028282566269176
A photo of a car in Indonesia,Indonesia,Is there a license plate on the car?,"{'no': 0.6213991769547325, 'yes': 0.3786008230452675}",0.9570478303739616,0.9570478303739616,1.941333300444136,2,0.9413333004441362
A photo of a car in Indonesia,Indonesia,What is the primary color of the car?,"{'yellow': 0.016877637130801686, 'white': 0.046413502109704644, 'brown': 0.046413502109704644, 'beige': 0.08438818565400844, 'orange': 0.08860759493670886, 'gray': 0.05907172995780591, 'green': 0.07172995780590717, 'black': 0.016877637130801686, 'blue': 0.25316455696202533, 'red': 0.31645569620253167}",2.761530598603381,0.8313035441235272,6.781153013297769,10,0.6423503348108632
A photo of a car in Italy,Italy,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.9678714859437751, 'yes': 0.0321285140562249}",0.204956429933861,0.204956429933861,1.1526515356568152,2,0.1526515356568152
A photo of a car in Italy,Italy,Are any wheels visible on the car?,"{'no': 0.020080321285140562, 'yes': 0.9799196787148594}",0.1418912861251851,0.1418912861251851,1.1033505942388104,2,0.1033505942388104
A photo of a car in Italy,Italy,Are the car’s lights turned on or off?,"{'on': 0.0044444444444444444, 'off': 0.9955555555555555}",0.0411256243685779,0.0411256243685779,1.02891629809051,2,0.0289162980905099
A photo of a car in Italy,Italy,Are there any logos or brand badges on the car?,"{'no': 0.7298387096774194, 'yes': 0.2701612903225806}",0.8416959824726375,0.8416959824726375,1.7921557003592783,2,0.7921557003592783
A photo of a car in Italy,Italy,Does the car appear modern or vintage?,"{'vintage': 0.9919678714859438, 'modern': 0.008032128514056224}",0.0674448790503484,0.0674448790503484,1.0478592021261763,2,0.0478592021261763
A photo of a car in Italy,Italy,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.04072398190045249, 'fixed roof': 0.9592760180995475}",0.2456018291634721,0.2456018291634721,1.1855872428529823,2,0.1855872428529823
A photo of a car in Italy,Italy,Is the car a sedan or SUV?,"{'sedan': 1.0, 'suv': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Italy,Italy,Is the car moving or stationary?,"{'moving': 0.0, 'stationary': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Italy,Italy,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 1.0, 'unpaved surface': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Italy,Italy,"Is the car viewed from the front, side, or rear?","{'rear': 0.1357615894039735, 'side': 0.5662251655629139, 'front': 0.2980132450331126}",1.3762219879856727,0.8682993997394218,2.595876931632492,3,0.7979384658162461
A photo of a car in Italy,Italy,Is there a license plate on the car?,"{'no': 0.5846774193548387, 'yes': 0.4153225806451613}",0.9792109379996292,0.9792109379996292,1.9713868914138613,2,0.9713868914138613
A photo of a car in Italy,Italy,What is the primary color of the car?,"{'yellow': 0.024896265560165973, 'white': 0.11203319502074689, 'brown': 0.004149377593360996, 'beige': 0.08713692946058091, 'orange': 0.07053941908713693, 'gray': 0.04149377593360996, 'green': 0.14107883817427386, 'black': 0.004149377593360996, 'blue': 0.3153526970954357, 'red': 0.1991701244813278}",2.7065367206695323,0.8147487372875553,6.527527907882637,10,0.6141697675425152
A photo of a car in Japan,Japan,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.74, 'yes': 0.26}",0.8267463724926178,0.8267463724926178,1.7736807677013762,2,0.7736807677013762
A photo of a car in Japan,Japan,Are any wheels visible on the car?,"{'no': 0.04, 'yes': 0.96}",0.2422921890824148,0.2422921890824148,1.182870542802813,2,0.182870542802813
A photo of a car in Japan,Japan,Are the car’s lights turned on or off?,"{'on': 0.04205607476635514, 'off': 0.9579439252336449}",0.2516410732628419,0.2516410732628419,1.1905606140652945,2,0.1905606140652944
A photo of a car in Japan,Japan,Are there any logos or brand badges on the car?,"{'no': 0.568, 'yes': 0.432}",0.9866165198488092,0.9866165198488092,1.9815323490019776,2,0.9815323490019776
A photo of a car in Japan,Japan,Does the car appear modern or vintage?,"{'vintage': 0.5435684647302904, 'modern': 0.45643153526970953}",0.9945159682253204,0.9945159682253204,1.9924119488177272,2,0.9924119488177272
A photo of a car in Japan,Japan,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.009615384615384616, 'fixed roof': 0.9903846153846154}",0.0782324652577123,0.0782324652577123,1.05572381549679,2,0.05572381549679
A photo of a car in Japan,Japan,Is the car a sedan or SUV?,"{'sedan': 0.9024390243902439, 'suv': 0.0975609756097561}",0.4612160405139094,0.4612160405139094,1.376701744313703,2,0.376701744313703
A photo of a car in Japan,Japan,Is the car moving or stationary?,"{'moving': 0.010638297872340425, 'stationary': 0.9893617021276596}",0.0849955598367126,0.0849955598367126,1.0606844769087242,2,0.0606844769087242
A photo of a car in Japan,Japan,Is the car on a paved surface (like a street or driveway) or an unpaved one (like grass or dirt)?,"{'paved surface': 1.0, 'unpaved surface': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Japan,Japan,"Is the car viewed from the front, side, or rear?","{'rear': 0.1377049180327869, 'side': 0.46229508196721314, 'front': 0.4}",1.4372423910482488,0.906798987606524,2.708027502821359,3,0.8540137514106796
A photo of a car in Japan,Japan,Is there a license plate on the car?,"{'no': 0.5483870967741935, 'yes': 0.45161290322580644}",0.9932338197397066,0.9932338197397066,1.9906420438260544,2,0.9906420438260546
A photo of a car in Japan,Japan,What is the primary color of the car?,"{'yellow': 0.015503875968992248, 'white': 0.2751937984496124, 'brown': 0.007751937984496124, 'beige': 0.05426356589147287, 'orange': 0.03875968992248062, 'gray': 0.17829457364341086, 'green': 0.03488372093023256, 'black': 0.10077519379844961, 'blue': 0.13953488372093023, 'red': 0.15503875968992248}",2.829160097077509,0.8516620517559513,7.106602948667407,10,0.6785114387408231
A photo of a car in Mexico,Mexico,"Are any of the following modifications visible on the car: a spoiler, a roof rack, or custom rims?","{'no': 0.936, 'yes': 0.064}",0.3431229071320203,0.3431229071320203,1.2684994616574572,2,0.2684994616574572
A photo of a car in Mexico,Mexico,Are any wheels visible on the car?,"{'no': 0.028, 'yes': 0.972}",0.1842605933396551,0.1842605933396551,1.1362344837624294,2,0.1362344837624294
A photo of a car in Mexico,Mexico,Are the car’s lights turned on or off?,"{'on': 0.0, 'off': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Mexico,Mexico,Are there any logos or brand badges on the car?,"{'no': 0.704, 'yes': 0.296}",0.8763462289152606,0.8763462289152606,1.8357202618570612,2,0.8357202618570614
A photo of a car in Mexico,Mexico,Does the car appear modern or vintage?,"{'vintage': 1.0, 'modern': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Mexico,Mexico,Is the car a convertible or does it have a fixed roof?,"{'convertible': 0.021739130434782608, 'fixed roof': 0.9782608695652174}",0.1510969705171136,0.1510969705171136,1.110413467384501,2,0.1104134673845009
A photo of a car in Mexico,Mexico,Is the car a sedan or SUV?,"{'sedan': 1.0, 'suv': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a car in Mexico,Mexico,Is the car moving or stationary?,"{'moving': 0.004098360655737705, 'stationary': 0.9959016393442623}",0.0384035737259814,0.0384035737259814,1.0269767879109304,2,0.0269767879109303
