prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a chair in China,China,Does the chair have a backrest?,"{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in China,China,Does the chair have armrests?,"{'yes': 0.484, 'no': 0.516}",0.999261214022784,0.999261214022784,1.9989760873544773,2,0.9989760873544776
A photo of a chair in China,China,Does the chair have multiple distinct legs or a single central base?,"{'a single central base': 0.0, 'multiple distinct legs': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in China,China,Does the chair have wheels?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in China,China,"Is the backrest of the chair solid, slatted, or woven?","{'woven': 0.16, 'slatted': 0.23555555555555555, 'solid': 0.6044444444444445}",1.353372166533397,0.8538827675213857,2.5550865593097547,3,0.7775432796548774
A photo of a chair in China,China,Is the chair designed for a single person or multiple people?,"{'multiple people': 0.0, 'single person': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in China,China,Is the chair's backrest straight or curved?,"{'curved': 0.732, 'straight': 0.268}",0.8385800999954849,0.8385800999954849,1.7882892417513472,2,0.7882892417513472
A photo of a chair in China,China,Is the chair's seat primarily square or round?,"{'square': 0.9918032786885246, 'round': 0.00819672131147541}",0.0685860940364442,0.0685860940364442,1.048688418062549,2,0.048688418062549
A photo of a chair in China,China,Is the seat of the chair cushioned or hard?,"{'hard': 0.784, 'cushioned': 0.216}",0.7527960664084545,0.7527960664084545,1.6850554494825192,2,0.6850554494825192
A photo of a chair in China,China,What is the primary color of the chair?,"{'brown': 0.8352059925093633, 'black': 0.003745318352059925, 'gray': 0.00749063670411985, 'blue': 0.018726591760299626, 'green': 0.00749063670411985, 'yellow': 0.0299625468164794, 'red': 0.0599250936329588, 'purple': 0.0, 'orange': 0.03745318352059925, 'white': 0.0}",1.0328697178091328,0.3109247666735407,2.046090159499623,10,0.1162322399444025
A photo of a chair in China,China,"What is the primary material of the chair (e.g., wood, metal, plastic, fabric, woven)?","{'metal': 0.0, 'wood': 0.9320754716981132, 'stone': 0.0, 'plastic': 0.011320754716981131, 'leather': 0.022641509433962263, 'fabric': 0.033962264150943396}",0.4572421580509894,0.1768854124280052,1.3729148572812382,6,0.0745829714562476
A photo of a chair in Colombia,Colombia,Does the chair have a backrest?,"{'yes': 1.0, 'no': 0.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in Colombia,Colombia,Does the chair have armrests?,"{'yes': 0.352, 'no': 0.648}",0.9358415530325216,0.9358415530325216,1.9130062047819787,2,0.9130062047819788
A photo of a chair in Colombia,Colombia,Does the chair have multiple distinct legs or a single central base?,"{'a single central base': 0.0, 'multiple distinct legs': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in Colombia,Colombia,Does the chair have wheels?,"{'yes': 0.0, 'no': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in Colombia,Colombia,"Is the backrest of the chair solid, slatted, or woven?","{'woven': 0.07755102040816327, 'slatted': 0.4489795918367347, 'solid': 0.47346938775510206}",1.3154706464395542,0.8299695707885938,2.4888351000120656,3,0.7444175500060328
A photo of a chair in Colombia,Colombia,Is the chair designed for a single person or multiple people?,"{'multiple people': 0.0, 'single person': 1.0}",-0.0,-0.0,1.0,2,0.0
A photo of a chair in Colombia,Colombia,Is the chair's backrest straight or curved?,"{'curved': 0.796, 'straight': 0.204}",0.7298563169471574,0.7298563169471574,1.658473910177218,2,0.6584739101772179
A photo of a chair in Colombia,Colombia,Is the chair's seat primarily square or round?,"{'square': 0.9831223628691983, 'round': 0.016877637130801686}",0.1235307100609287,0.1235307100609287,1.0893976876680114,2,0.0893976876680113
