prompt,country,question,distribution,entropy,normalised entropy,D_q,max D,normalised D_q
A photo of a chair in China,China,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.8025751072961373, 'crowded': 0.004291845493562232, 'moderately busy': 0.19313304721030042}",0.746578190431862,0.4710383937109993,1.677808651321728,3,0.3389043256608639
A photo of a chair in China,China,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.06611570247933884, 'trees / forest / plants': 0.4297520661157025, 'none of the above': 0.5, 'open ground / fields': 0.0, 'waterbody': 0.004132231404958678}",1.3154409959650923,0.5665296004908821,2.488783949643372,5,0.372195987410843
A photo of a chair in China,China,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.36475409836065575, 'natural (trees, sky, soil, water, mountains)': 0.0, 'built structures (walls, windows, houses, buildings, fences)': 0.6352459016393442}",0.9465588204583116,0.5972121233326521,1.9272701616026968,3,0.4636350808013483
A photo of a chair in China,China,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.32038834951456313, 'none of the above': 0.5728155339805825, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.009708737864077669, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0970873786407767}",1.3781488106778668,0.6890744053389334,2.5993462276731187,4,0.533115409224373
A photo of a chair in China,China,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.0, 'natural ground / grass (wild, non-constructed)': 0.020161290322580645, 'tiled / courtyard-style surface': 0.6491935483870968, 'paved road': 0.33064516129032256}",1.0461054949450486,0.5230527474725243,2.064948061724508,4,0.3549826872415026
A photo of a chair in Colombia,Colombia,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), or quiet / empty (few or no people or vehicles)?","{'quiet / empty': 0.9282700421940928, 'crowded': 0.0, 'moderately busy': 0.07172995780590717}",0.3723466021612089,0.234924549944741,1.294456605552932,3,0.147228302776466
A photo of a chair in Colombia,Colombia,"What natural features, if any, are visible in the background of the image?","{'mountains / hills': 0.03007518796992481, 'trees / forest / plants': 0.41353383458646614, 'none of the above': 0.37969924812030076, 'open ground / fields': 0.16541353383458646, 'waterbody': 0.011278195488721804}",1.7116778980280754,0.7371795456530318,3.275415427207357,5,0.5688538568018392
A photo of a chair in Colombia,Colombia,What type of background elements are most visible?,"{'mixed (both natural and built elements visible)': 0.444, 'natural (trees, sky, soil, water, mountains)': 0.024, 'built structures (walls, windows, houses, buildings, fences)': 0.532}",1.1336142842986994,0.7152309810376626,2.194077193191423,3,0.5970385965957115
A photo of a chair in Colombia,Colombia,What type of modern infrastructure is visible in the background?,"{'transport-related (paved roads, vehicles, bridges, rail tracks)': 0.5, 'none of the above': 0.36875, 'utility-related (electric poles, wires, water tanks, pipelines)': 0.13125, 'high-rise / industrial (skyscrapers, factories, construction sites, large machinery)': 0.0}",1.41524776125179,0.707623880625895,2.6670553416391463,4,0.5556851138797154
A photo of a chair in Colombia,Colombia,What type of road or terrain is visible?,"{'dirt / gravel road (man-made)': 0.2545454545454545, 'natural ground / grass (wild, non-constructed)': 0.16727272727272727, 'tiled / courtyard-style surface': 0.10909090909090909, 'paved road': 0.4690909090909091}",1.7949652812024743,0.8974826406012372,3.470071239517985,4,0.8233570798393283
